100073at32523	13735_0:0024ff
104246at32523	13735_0:00366b
10430at32523	13735_0:00040c
104336at32523	13735_0:0012f2
104339at32523	13735_0:002d35
104395at32523	13735_0:000275
104547at32523	13735_0:001c88
104554at32523	13735_0:0003cf
10459at32523	13735_0:000e03
104661at32523	13735_0:003b8f
104828at32523	13735_0:00271f
104841at32523	13735_0:0005f8
104853at32523	13735_0:002ccd
104932at32523	13735_0:002dd8
104943at32523	13735_0:00094e
105040at32523	13735_0:00276e
105125at32523	13735_0:001627
105130at32523	13735_0:0013eb
105251at32523	13735_0:0039a2
105267at32523	13735_0:0046d7
105327at32523	13735_0:001b1f
105411at32523	13735_0:004902
105469at32523	13735_0:001c4c
105477at32523	13735_0:003818
105574at32523	13735_0:001e6b
105588at32523	13735_0:000e35
105594at32523	13735_0:000209
105768at32523	13735_0:003b96
10578at32523	13735_0:00089f
10583at32523	13735_0:00309c
105855at32523	13735_0:002f00
105863at32523	13735_0:001564
105863at32523	13735_0:001571
105916at32523	13735_0:004b0a
105917at32523	13735_0:003bc8
105920at32523	13735_0:0022a6
106036at32523	13735_0:002202
106036at32523	13735_0:002634
106057at32523	13735_0:0015a4
106122at32523	13735_0:00223f
106313at32523	13735_0:000196
106366at32523	13735_0:00069a
106408at32523	13735_0:00367e
106441at32523	13735_0:00028a
106522at32523	13735_0:000518
106549at32523	13735_0:001b9d
106672at32523	13735_0:004adf
106709at32523	13735_0:003bf9
106726at32523	13735_0:001248
106804at32523	13735_0:000e8a
106876at32523	13735_0:0003b6
106882at32523	13735_0:0043ae
106895at32523	13735_0:0048d6
106918at32523	13735_0:0030fb
106954at32523	13735_0:001525
107047at32523	13735_0:0044b1
107049at32523	13735_0:000964
107057at32523	13735_0:0047d3
107180at32523	13735_0:0021b4
107207at32523	13735_0:0043cb
107213at32523	13735_0:001db4
10722at32523	13735_0:0043cc
107250at32523	13735_0:002538
107280at32523	13735_0:0049af
107285at32523	13735_0:003d3b
107381at32523	13735_0:0003f3
107411at32523	13735_0:002541
107444at32523	13735_0:0026aa
107460at32523	13735_0:002b68
107469at32523	13735_0:003bbc
107527at32523	13735_0:003716
107601at32523	13735_0:002cd3
107649at32523	13735_0:00242b
107664at32523	13735_0:000c03
107685at32523	13735_0:002fe6
107727at32523	13735_0:00165c
107749at32523	13735_0:0007af
107952at32523	13735_0:002e9b
107978at32523	13735_0:00236f
108138at32523	13735_0:0040bf
108402at32523	13735_0:00228f
108666at32523	13735_0:002fc4
10881at32523	13735_0:002c57
108863at32523	13735_0:000c90
108898at32523	13735_0:0048ab
108945at32523	13735_0:0018a0
108973at32523	13735_0:004583
108998at32523	13735_0:000317
109060at32523	13735_0:0013bc
109107at32523	13735_0:004769
109112at32523	13735_0:001c79
109155at32523	13735_0:0035a1
109227at32523	13735_0:0021a8
109312at32523	13735_0:003aab
109331at32523	13735_0:000d28
109347at32523	13735_0:000d0d
109356at32523	13735_0:001370
109366at32523	13735_0:002933
1093at32523	13735_0:001e3f
109425at32523	13735_0:0008d8
10949at32523	13735_0:0015ed
109514at32523	13735_0:000622
109602at32523	13735_0:0006dd
109624at32523	13735_0:002abc
109646at32523	13735_0:004077
109650at32523	13735_0:003b62
109835at32523	13735_0:0004ce
109851at32523	13735_0:000c70
109929at32523	13735_0:001abe
109971at32523	13735_0:0027d3
109977at32523	13735_0:001b20
110019at32523	13735_0:000d4a
110140at32523	13735_0:0006d9
110140at32523	13735_0:001c21
110217at32523	13735_0:00197a
110242at32523	13735_0:0014fe
11031at32523	13735_0:002760
110363at32523	13735_0:001809
110563at32523	13735_0:003762
110575at32523	13735_0:001cd8
110615at32523	13735_0:002a0c
110637at32523	13735_0:0038fa
110654at32523	13735_0:001e8a
110811at32523	13735_0:003170
110876at32523	13735_0:0026a1
11088at32523	13735_0:003b11
110921at32523	13735_0:000fb6
110948at32523	13735_0:002f7d
111050at32523	13735_0:001235
111173at32523	13735_0:0007f3
111190at32523	13735_0:000c3d
111285at32523	13735_0:0013ff
111303at32523	13735_0:002b8b
111371at32523	13735_0:00093f
111464at32523	13735_0:004013
111475at32523	13735_0:00141c
111650at32523	13735_0:00498c
11195at32523	13735_0:001f08
112209at32523	13735_0:000e18
112288at32523	13735_0:00353e
112312at32523	13735_0:00375b
112317at32523	13735_0:0032fe
112317at32523	13735_0:0042a2
112394at32523	13735_0:000ae2
112399at32523	13735_0:00129b
112421at32523	13735_0:0042c6
112434at32523	13735_0:00034f
11278at32523	13735_0:0017da
112833at32523	13735_0:003a6d
112843at32523	13735_0:0012b0
112844at32523	13735_0:000b70
112998at32523	13735_0:003feb
11302at32523	13735_0:0016cc
113035at32523	13735_0:001b09
113035at32523	13735_0:0023a4
113062at32523	13735_0:001f31
113181at32523	13735_0:001d75
113182at32523	13735_0:0021a6
113206at32523	13735_0:002f1c
113306at32523	13735_0:001fc5
113548at32523	13735_0:001251
113557at32523	13735_0:000a72
113562at32523	13735_0:001e7d
113563at32523	13735_0:00280c
113567at32523	13735_0:004661
113607at32523	13735_0:004abb
113678at32523	13735_0:001d55
113787at32523	13735_0:002bf8
113921at32523	13735_0:003849
113971at32523	13735_0:0013d5
113987at32523	13735_0:000d30
114091at32523	13735_0:001dbc
114099at32523	13735_0:004518
114228at32523	13735_0:000d9d
114246at32523	13735_0:001566
114354at32523	13735_0:0021e1
114384at32523	13735_0:0037d3
114393at32523	13735_0:0015b0
114393at32523	13735_0:003cf4
114439at32523	13735_0:001574
114448at32523	13735_0:0048a5
114451at32523	13735_0:002db2
114457at32523	13735_0:003a00
11446at32523	13735_0:00121d
114567at32523	13735_0:003145
114654at32523	13735_0:001a06
114659at32523	13735_0:001a05
114689at32523	13735_0:002ac5
114733at32523	13735_0:001dbf
114777at32523	13735_0:00388d
114783at32523	13735_0:002ae1
114808at32523	13735_0:0008a8
114923at32523	13735_0:0046a7
115074at32523	13735_0:0043af
115119at32523	13735_0:002cd8
115135at32523	13735_0:000e08
115212at32523	13735_0:003bd8
11525at32523	13735_0:000d91
115278at32523	13735_0:003c07
115292at32523	13735_0:0046f7
115348at32523	13735_0:001005
115359at32523	13735_0:002cc2
115468at32523	13735_0:0038a9
115484at32523	13735_0:00196d
115587at32523	13735_0:002532
115644at32523	13735_0:00138e
115678at32523	13735_0:003880
115729at32523	13735_0:0008fb
115764at32523	13735_0:00177d
115831at32523	13735_0:001130
116004at32523	13735_0:003a43
116031at32523	13735_0:0033b8
116059at32523	13735_0:0045b6
116128at32523	13735_0:004680
116132at32523	13735_0:003185
116183at32523	13735_0:00347d
116192at32523	13735_0:000704
116216at32523	13735_0:001884
116236at32523	13735_0:001d51
116298at32523	13735_0:002ba7
116407at32523	13735_0:004586
116463at32523	13735_0:003659
116464at32523	13735_0:003bcf
116517at32523	13735_0:0049d2
116561at32523	13735_0:00121a
116569at32523	13735_0:003bca
116580at32523	13735_0:002fae
116598at32523	13735_0:002340
116657at32523	13735_0:00073a
116676at32523	13735_0:00047d
116722at32523	13735_0:00296f
116780at32523	13735_0:003427
116784at32523	13735_0:0029c7
116885at32523	13735_0:000cb2
117055at32523	13735_0:0040b7
117071at32523	13735_0:00248c
117158at32523	13735_0:0030cd
117316at32523	13735_0:0023fb
117333at32523	13735_0:002739
117352at32523	13735_0:002ba8
117356at32523	13735_0:001dd4
117499at32523	13735_0:001e2e
1174at32523	13735_0:001841
11754at32523	13735_0:003bc7
117562at32523	13735_0:0016b7
117571at32523	13735_0:00262c
117710at32523	13735_0:001fbd
117717at32523	13735_0:0049f1
11773at32523	13735_0:004274
118030at32523	13735_0:001f9d
118055at32523	13735_0:0013e6
118167at32523	13735_0:001f68
118167at32523	13735_0:001f6b
118231at32523	13735_0:000a98
118239at32523	13735_0:003db6
118292at32523	13735_0:000f91
118318at32523	13735_0:00302b
118322at32523	13735_0:003085
118504at32523	13735_0:003191
11855at32523	13735_0:000193
118610at32523	13735_0:001cbf
118640at32523	13735_0:001f1a
118658at32523	13735_0:003fc6
118790at32523	13735_0:0043b6
118813at32523	13735_0:004836
118839at32523	13735_0:004554
118895at32523	13735_0:003e10
118895at32523	13735_0:00445d
118901at32523	13735_0:002113
118907at32523	13735_0:003c99
118915at32523	13735_0:000594
118955at32523	13735_0:0023ad
118979at32523	13735_0:004a9a
11900at32523	13735_0:00251c
119090at32523	13735_0:002346
119112at32523	13735_0:002dfb
119144at32523	13735_0:0036bc
119217at32523	13735_0:001221
119258at32523	13735_0:000ebb
119260at32523	13735_0:001874
119267at32523	13735_0:003ae9
119364at32523	13735_0:0038e4
119371at32523	13735_0:0031ac
119417at32523	13735_0:0016af
119436at32523	13735_0:003304
119446at32523	13735_0:00032e
119509at32523	13735_0:0015a2
119513at32523	13735_0:0021a3
119568at32523	13735_0:003b2b
119571at32523	13735_0:004aa3
119577at32523	13735_0:001f46
119666at32523	13735_0:001c3a
119720at32523	13735_0:004947
119840at32523	13735_0:001b96
119863at32523	13735_0:001aa3
119909at32523	13735_0:000df2
11992at32523	13735_0:001a52
119977at32523	13735_0:0031b1
119988at32523	13735_0:000394
120023at32523	13735_0:002cdd
12002at32523	13735_0:000cfe
120146at32523	13735_0:000bcb
120186at32523	13735_0:000763
120192at32523	13735_0:001819
120234at32523	13735_0:0034e4
120245at32523	13735_0:001404
120253at32523	13735_0:001b64
120257at32523	13735_0:001b98
120363at32523	13735_0:001d45
120495at32523	13735_0:00009c
120510at32523	13735_0:001eea
120528at32523	13735_0:002c9e
120535at32523	13735_0:002d32
120577at32523	13735_0:0022b1
120594at32523	13735_0:002d34
120928at32523	13735_0:0008ab
121011at32523	13735_0:00418b
121108at32523	13735_0:002b92
121120at32523	13735_0:002268
121184at32523	13735_0:0014c1
121201at32523	13735_0:00131a
121264at32523	13735_0:003f66
121275at32523	13735_0:00169d
121285at32523	13735_0:0015af
121468at32523	13735_0:0019c1
121471at32523	13735_0:002ba0
121474at32523	13735_0:00128b
121481at32523	13735_0:001ffb
121499at32523	13735_0:00230d
121512at32523	13735_0:000bd8
121526at32523	13735_0:0046ba
121589at32523	13735_0:0018ab
121708at32523	13735_0:0048cb
12176at32523	13735_0:000278
121793at32523	13735_0:0039df
121983at32523	13735_0:0038f0
121993at32523	13735_0:003ca3
122011at32523	13735_0:004648
122018at32523	13735_0:0040b1
122044at32523	13735_0:001d2a
122093at32523	13735_0:0020ee
122167at32523	13735_0:000743
122221at32523	13735_0:002d79
122335at32523	13735_0:001987
122349at32523	13735_0:00478c
122359at32523	13735_0:002693
122544at32523	13735_0:0022bb
122566at32523	13735_0:0020f8
12263at32523	13735_0:00034b
122656at32523	13735_0:0018bb
122695at32523	13735_0:0038d7
122749at32523	13735_0:00124b
122907at32523	13735_0:00439e
122928at32523	13735_0:003b92
122940at32523	13735_0:002051
122941at32523	13735_0:002bfa
122950at32523	13735_0:0030fa
122960at32523	13735_0:001e96
122967at32523	13735_0:002115
122969at32523	13735_0:0019df
12302at32523	13735_0:0013f5
123057at32523	13735_0:001628
123090at32523	13735_0:00346c
123135at32523	13735_0:002f95
123139at32523	13735_0:00266e
12314at32523	13735_0:002cb9
123289at32523	13735_0:001bcc
123480at32523	13735_0:003e2e
12350at32523	13735_0:00058d
123644at32523	13735_0:00318b
123648at32523	13735_0:002b00
12370at32523	13735_0:00423d
123728at32523	13735_0:0033bb
123751at32523	13735_0:00186d
123811at32523	13735_0:000ba3
123902at32523	13735_0:001356
123907at32523	13735_0:0018e8
123919at32523	13735_0:0023ca
123927at32523	13735_0:000e54
123938at32523	13735_0:001efe
124004at32523	13735_0:002520
124036at32523	13735_0:004af1
124056at32523	13735_0:002a00
1240at32523	13735_0:000786
124180at32523	13735_0:000b8f
124185at32523	13735_0:004037
124255at32523	13735_0:002853
124263at32523	13735_0:00397f
124289at32523	13735_0:0024e5
124297at32523	13735_0:00454b
124314at32523	13735_0:00355a
124451at32523	13735_0:0037a7
124465at32523	13735_0:002f58
124505at32523	13735_0:001f91
124555at32523	13735_0:00056b
124589at32523	13735_0:0034d8
124648at32523	13735_0:000504
124651at32523	13735_0:001e1a
124683at32523	13735_0:0023f6
124770at32523	13735_0:00254b
12479at32523	13735_0:000407
124887at32523	13735_0:00491a
124988at32523	13735_0:002f7b
124988at32523	13735_0:003689
125055at32523	13735_0:0008a2
125111at32523	13735_0:001ef9
125113at32523	13735_0:003c23
125206at32523	13735_0:00347c
125210at32523	13735_0:0042dc
125224at32523	13735_0:003c01
125310at32523	13735_0:003f9e
125390at32523	13735_0:0004cb
125671at32523	13735_0:0012fb
125685at32523	13735_0:003f84
125701at32523	13735_0:000fe0
125782at32523	13735_0:0006d1
125793at32523	13735_0:0032de
125910at32523	13735_0:004094
126074at32523	13735_0:004ab4
126133at32523	13735_0:001ff2
126373at32523	13735_0:0012f9
126395at32523	13735_0:002f9c
126407at32523	13735_0:002412
126505at32523	13735_0:000537
126597at32523	13735_0:004895
126689at32523	13735_0:001672
126721at32523	13735_0:0001d2
126941at32523	13735_0:00104b
126946at32523	13735_0:001315
126992at32523	13735_0:0034e9
127099at32523	13735_0:003c1d
127100at32523	13735_0:002fc2
127141at32523	13735_0:000b3d
127149at32523	13735_0:004355
127170at32523	13735_0:003a9c
127181at32523	13735_0:00247e
127183at32523	13735_0:0037c9
127304at32523	13735_0:002845
127324at32523	13735_0:0017e2
127447at32523	13735_0:0046db
127505at32523	13735_0:002ab9
127508at32523	13735_0:000d5c
127797at32523	13735_0:000605
127883at32523	13735_0:0040f5
127900at32523	13735_0:002ce2
128019at32523	13735_0:002993
128067at32523	13735_0:003f8d
128087at32523	13735_0:002ea9
128093at32523	13735_0:004a8b
128177at32523	13735_0:00178c
128317at32523	13735_0:001671
128346at32523	13735_0:001fd9
128422at32523	13735_0:001c45
128486at32523	13735_0:0046aa
128643at32523	13735_0:0046a0
128696at32523	13735_0:001806
128718at32523	13735_0:0026f2
128719at32523	13735_0:000887
128737at32523	13735_0:004b21
128741at32523	13735_0:00227a
128806at32523	13735_0:003e44
128883at32523	13735_0:0012ee
128891at32523	13735_0:002cbc
129099at32523	13735_0:001173
129141at32523	13735_0:001098
129250at32523	13735_0:00401d
129376at32523	13735_0:00199c
129406at32523	13735_0:00157a
129418at32523	13735_0:00252e
129460at32523	13735_0:000174
129465at32523	13735_0:00196b
129649at32523	13735_0:001f2a
129664at32523	13735_0:0044fd
129665at32523	13735_0:0047f8
129777at32523	13735_0:000387
129800at32523	13735_0:0040ee
129874at32523	13735_0:00213e
129956at32523	13735_0:001433
129996at32523	13735_0:001e8e
130080at32523	13735_0:003c1f
130200at32523	13735_0:0039fd
130217at32523	13735_0:0008f9
130225at32523	13735_0:001acc
130225at32523	13735_0:001e24
130229at32523	13735_0:001693
130233at32523	13735_0:000e09
130319at32523	13735_0:0002a9
13033at32523	13735_0:000eb4
130390at32523	13735_0:0039e9
130393at32523	13735_0:003f21
130399at32523	13735_0:0004e2
130462at32523	13735_0:0049e5
130466at32523	13735_0:0023e6
130482at32523	13735_0:001a8c
130600at32523	13735_0:0023f7
130721at32523	13735_0:00434b
130802at32523	13735_0:001b46
130932at32523	13735_0:00141e
130936at32523	13735_0:000891
131044at32523	13735_0:00269d
131366at32523	13735_0:001398
131408at32523	13735_0:003aa3
131464at32523	13735_0:00177c
131584at32523	13735_0:0010a9
131624at32523	13735_0:003b8a
131697at32523	13735_0:002711
13169at32523	13735_0:00203c
131824at32523	13735_0:001a77
131843at32523	13735_0:002e7e
132033at32523	13735_0:003104
132085at32523	13735_0:003702
132121at32523	13735_0:00291c
132150at32523	13735_0:0024b9
132310at32523	13735_0:00450d
132319at32523	13735_0:00089e
132408at32523	13735_0:0021b3
132426at32523	13735_0:001475
132493at32523	13735_0:003dbf
132496at32523	13735_0:004779
132580at32523	13735_0:003fbd
132586at32523	13735_0:003f13
132590at32523	13735_0:002f53
132719at32523	13735_0:002d13
132813at32523	13735_0:003c09
132836at32523	13735_0:000073
132999at32523	13735_0:002638
133001at32523	13735_0:001a86
133131at32523	13735_0:002cfc
133132at32523	13735_0:00241c
133170at32523	13735_0:001109
133235at32523	13735_0:0028ca
133248at32523	13735_0:002f54
133266at32523	13735_0:004675
133315at32523	13735_0:003a6c
133368at32523	13735_0:001a40
133380at32523	13735_0:002c0a
133426at32523	13735_0:001237
133600at32523	13735_0:001a78
133621at32523	13735_0:003cd6
133626at32523	13735_0:004597
133706at32523	13735_0:0040a2
133742at32523	13735_0:0004ea
133765at32523	13735_0:0019be
133800at32523	13735_0:002f0c
133898at32523	13735_0:001b5f
133989at32523	13735_0:001093
134031at32523	13735_0:003f69
134044at32523	13735_0:00076f
134124at32523	13735_0:001cc7
134141at32523	13735_0:000404
134159at32523	13735_0:001bd0
134350at32523	13735_0:003ac3
134360at32523	13735_0:002bd2
134376at32523	13735_0:002670
134415at32523	13735_0:0035bb
134419at32523	13735_0:0041dd
134448at32523	13735_0:00198e
134484at32523	13735_0:0028fa
134608at32523	13735_0:0042b5
134629at32523	13735_0:0030d8
134671at32523	13735_0:0022ef
134746at32523	13735_0:00156c
134798at32523	13735_0:003f97
134811at32523	13735_0:002550
134965at32523	13735_0:003372
134992at32523	13735_0:000e94
134999at32523	13735_0:002efc
135004at32523	13735_0:0016fc
135005at32523	13735_0:00036f
135019at32523	13735_0:00229a
135026at32523	13735_0:003c1e
135046at32523	13735_0:003f08
135073at32523	13735_0:001949
135079at32523	13735_0:003179
135094at32523	13735_0:00110f
135116at32523	13735_0:0047fc
135131at32523	13735_0:0048d9
135233at32523	13735_0:0013ca
135243at32523	13735_0:001e82
135286at32523	13735_0:001061
135387at32523	13735_0:00300a
135414at32523	13735_0:003be8
135451at32523	13735_0:001dab
135502at32523	13735_0:004742
135504at32523	13735_0:000f82
13552at32523	13735_0:0002ec
135534at32523	13735_0:000b0f
135540at32523	13735_0:001799
135651at32523	13735_0:0025f9
135697at32523	13735_0:003075
135698at32523	13735_0:00331c
135809at32523	13735_0:002cf1
135990at32523	13735_0:0040ab
136001at32523	13735_0:0030d3
136046at32523	13735_0:002f2c
136073at32523	13735_0:000ea0
136173at32523	13735_0:001940
136252at32523	13735_0:003ac9
136320at32523	13735_0:0031dd
136341at32523	13735_0:002260
136697at32523	13735_0:0045d4
136705at32523	13735_0:0047bd
136715at32523	13735_0:00387d
13671at32523	13735_0:001b3c
136752at32523	13735_0:004ac2
136768at32523	13735_0:0031d2
136780at32523	13735_0:002d08
136833at32523	13735_0:0002e0
136883at32523	13735_0:000da3
137003at32523	13735_0:00231a
13705at32523	13735_0:004a89
137083at32523	13735_0:001dff
137112at32523	13735_0:002a0d
137161at32523	13735_0:001a83
137199at32523	13735_0:001352
137251at32523	13735_0:0007ca
137316at32523	13735_0:0007d9
137324at32523	13735_0:003e4f
137553at32523	13735_0:00466b
137560at32523	13735_0:001366
137662at32523	13735_0:002488
137697at32523	13735_0:0046b3
137727at32523	13735_0:002480
137765at32523	13735_0:0007ba
137810at32523	13735_0:0040eb
137810at32523	13735_0:0040ed
137836at32523	13735_0:000d10
13794at32523	13735_0:0019cd
138009at32523	13735_0:0026c9
138010at32523	13735_0:001b94
138015at32523	13735_0:001be5
138099at32523	13735_0:002ada
138161at32523	13735_0:000a70
13828at32523	13735_0:00163d
138387at32523	13735_0:0008d5
138400at32523	13735_0:0044e5
138430at32523	13735_0:002c5c
138465at32523	13735_0:0041cf
138588at32523	13735_0:001a91
138615at32523	13735_0:003da4
138631at32523	13735_0:0008fc
138631at32523	13735_0:000906
138747at32523	13735_0:001858
138754at32523	13735_0:0049ce
138762at32523	13735_0:000592
138863at32523	13735_0:00246f
138888at32523	13735_0:0019bb
138953at32523	13735_0:001117
139002at32523	13735_0:003904
139005at32523	13735_0:001846
139006at32523	13735_0:0003f4
139137at32523	13735_0:004537
139146at32523	13735_0:00496a
139147at32523	13735_0:002948
139217at32523	13735_0:003184
139223at32523	13735_0:004715
139285at32523	13735_0:000302
139327at32523	13735_0:002938
139376at32523	13735_0:0040fb
139378at32523	13735_0:0030f0
139406at32523	13735_0:00493c
139448at32523	13735_0:00118d
13944at32523	13735_0:004b0b
13946at32523	13735_0:003001
139628at32523	13735_0:002962
139654at32523	13735_0:0002ab
139657at32523	13735_0:002755
139691at32523	13735_0:0049fe
139731at32523	13735_0:000f03
139756at32523	13735_0:0045ba
139887at32523	13735_0:003f80
140105at32523	13735_0:001bfc
14011at32523	13735_0:001da1
140141at32523	13735_0:004978
140174at32523	13735_0:0009a2
140221at32523	13735_0:0008d9
140314at32523	13735_0:001d02
140603at32523	13735_0:001ebf
140700at32523	13735_0:004279
140712at32523	13735_0:00206e
14074at32523	13735_0:000b4d
140837at32523	13735_0:004646
140901at32523	13735_0:0032a5
140988at32523	13735_0:0017c2
141057at32523	13735_0:000f20
141108at32523	13735_0:0048f6
141209at32523	13735_0:00282b
141227at32523	13735_0:0026a9
141234at32523	13735_0:00245e
141239at32523	13735_0:00221c
141279at32523	13735_0:0048ed
141334at32523	13735_0:003a64
141340at32523	13735_0:004988
141390at32523	13735_0:003c3f
141418at32523	13735_0:002988
14142at32523	13735_0:00144b
141518at32523	13735_0:001305
141597at32523	13735_0:0016b1
141624at32523	13735_0:001a50
141791at32523	13735_0:001349
141874at32523	13735_0:001b8f
141926at32523	13735_0:00235e
141965at32523	13735_0:00380f
142005at32523	13735_0:004458
142022at32523	13735_0:001a53
142027at32523	13735_0:001725
142037at32523	13735_0:003ae8
14203at32523	13735_0:002121
142053at32523	13735_0:002079
142117at32523	13735_0:002a91
142125at32523	13735_0:003e36
142150at32523	13735_0:00159e
142178at32523	13735_0:0034ea
142349at32523	13735_0:0028a9
142371at32523	13735_0:00466d
142406at32523	13735_0:00485e
142484at32523	13735_0:00159d
142537at32523	13735_0:003a9d
142624at32523	13735_0:001b4c
14268at32523	13735_0:000b5f
142771at32523	13735_0:0046d9
142826at32523	13735_0:001801
142837at32523	13735_0:00123a
142846at32523	13735_0:003828
142856at32523	13735_0:0012b9
142862at32523	13735_0:003590
142903at32523	13735_0:0030ca
143078at32523	13735_0:00417c
143217at32523	13735_0:002c29
143241at32523	13735_0:003850
143387at32523	13735_0:0040b6
143474at32523	13735_0:004a84
143511at32523	13735_0:003265
143526at32523	13735_0:00250b
143557at32523	13735_0:00435f
143618at32523	13735_0:001684
143634at32523	13735_0:0029f1
143774at32523	13735_0:001142
143915at32523	13735_0:000751
14391at32523	13735_0:00366a
144000at32523	13735_0:003569
144001at32523	13735_0:000b78
144070at32523	13735_0:0034b0
14413at32523	13735_0:004145
144146at32523	13735_0:002a53
144155at32523	13735_0:00146d
144209at32523	13735_0:00179d
144258at32523	13735_0:002c84
144299at32523	13735_0:001d24
144300at32523	13735_0:0026ee
144301at32523	13735_0:000b7c
144308at32523	13735_0:002784
144360at32523	13735_0:003c93
144435at32523	13735_0:004691
144469at32523	13735_0:002a01
144618at32523	13735_0:00453d
144650at32523	13735_0:000175
144656at32523	13735_0:003dab
144670at32523	13735_0:00292e
144772at32523	13735_0:0019fe
144781at32523	13735_0:002ce0
144786at32523	13735_0:000aae
144794at32523	13735_0:004745
144934at32523	13735_0:0015a6
145097at32523	13735_0:0032dc
145103at32523	13735_0:0024a1
145184at32523	13735_0:002be7
145190at32523	13735_0:001b24
145193at32523	13735_0:002c3d
14519at32523	13735_0:000d11
145233at32523	13735_0:003e54
145311at32523	13735_0:0001d4
145343at32523	13735_0:0015ca
145427at32523	13735_0:004640
145469at32523	13735_0:000c68
145492at32523	13735_0:003d98
145527at32523	13735_0:001cd3
145540at32523	13735_0:002f45
145548at32523	13735_0:004724
145562at32523	13735_0:001b1d
145578at32523	13735_0:000d84
145603at32523	13735_0:00297b
145628at32523	13735_0:0008a6
145721at32523	13735_0:0003f0
145779at32523	13735_0:0011ff
145796at32523	13735_0:001e8d
145866at32523	13735_0:00409f
145923at32523	13735_0:0013e9
145957at32523	13735_0:0013da
145983at32523	13735_0:000cf8
146084at32523	13735_0:0011b1
146129at32523	13735_0:00279e
146229at32523	13735_0:00412a
146243at32523	13735_0:00246e
146381at32523	13735_0:003715
146394at32523	13735_0:00185a
146418at32523	13735_0:0038cc
146431at32523	13735_0:001f7b
146507at32523	13735_0:001d68
146509at32523	13735_0:00198b
146555at32523	13735_0:004aa2
146602at32523	13735_0:00495c
146603at32523	13735_0:0048fe
146641at32523	13735_0:0001fd
146717at32523	13735_0:002016
146781at32523	13735_0:004770
146829at32523	13735_0:000329
146830at32523	13735_0:0014dd
146870at32523	13735_0:0049be
146998at32523	13735_0:00038d
14701at32523	13735_0:004305
147055at32523	13735_0:0007cf
147120at32523	13735_0:004389
147202at32523	13735_0:001327
147223at32523	13735_0:0028ec
147237at32523	13735_0:002308
147311at32523	13735_0:000c36
147313at32523	13735_0:002f90
147363at32523	13735_0:0049f3
147403at32523	13735_0:0028ac
147430at32523	13735_0:000415
147626at32523	13735_0:00089d
147630at32523	13735_0:001f30
147634at32523	13735_0:002368
147846at32523	13735_0:003acb
147880at32523	13735_0:001e05
147892at32523	13735_0:0047a1
147995at32523	13735_0:001c94
148049at32523	13735_0:0008f8
148089at32523	13735_0:0042d8
148267at32523	13735_0:0026d1
148288at32523	13735_0:002ad8
148370at32523	13735_0:0013ef
14845at32523	13735_0:0013ad
148538at32523	13735_0:004052
148625at32523	13735_0:002662
148689at32523	13735_0:00407a
