100073at32523	8478_0:000611
105917at32523	8478_0:00513f
105920at32523	8478_0:001c1a
106036at32523	8478_0:0001d3
106057at32523	8478_0:001ab1
106122at32523	8478_0:00093f
106313at32523	8478_0:004876
106366at32523	8478_0:004b65
106408at32523	8478_0:0003c1
106441at32523	8478_0:0002d7
106522at32523	8478_0:00518c
106549at32523	8478_0:0039ac
106672at32523	8478_0:000538
106709at32523	8478_0:000439
106726at32523	8478_0:004cd1
106804at32523	8478_0:005057
106876at32523	8478_0:00065e
106876at32523	8478_0:0021c3
106882at32523	8478_0:004b50
106895at32523	8478_0:00135d
106918at32523	8478_0:0021d9
106954at32523	8478_0:004114
106993at32523	8478_0:004fb5
107047at32523	8478_0:001441
107049at32523	8478_0:004445
107057at32523	8478_0:00075f
107180at32523	8478_0:00244a
107207at32523	8478_0:004b8e
107213at32523	8478_0:0021a1
10722at32523	8478_0:004b72
107250at32523	8478_0:0046e7
107280at32523	8478_0:002c37
107285at32523	8478_0:001e8f
107381at32523	8478_0:00148a
107411at32523	8478_0:0046db
107444at32523	8478_0:000db6
107460at32523	8478_0:001257
107469at32523	8478_0:005142
107527at32523	8478_0:00027a
107601at32523	8478_0:00437e
107649at32523	8478_0:002b9b
107664at32523	8478_0:001fc7
107685at32523	8478_0:00371a
107727at32523	8478_0:002404
107749at32523	8478_0:0014f5
107952at32523	8478_0:002998
107978at32523	8478_0:0003cd
108138at32523	8478_0:005014
108402at32523	8478_0:004ef1
108497at32523	8478_0:00356b
108666at32523	8478_0:0017d7
10881at32523	8478_0:0030c6
108863at32523	8478_0:001c5f
108898at32523	8478_0:001a11
108945at32523	8478_0:000343
108973at32523	8478_0:0044bf
108998at32523	8478_0:004d7a
109060at32523	8478_0:00070b
109107at32523	8478_0:0043c3
109112at32523	8478_0:0041c8
109155at32523	8478_0:001db3
109227at32523	8478_0:002718
109312at32523	8478_0:000f33
109331at32523	8478_0:0003f6
109347at32523	8478_0:0003a3
109356at32523	8478_0:00198e
109366at32523	8478_0:00415e
1093at32523	8478_0:004a4e
109425at32523	8478_0:001e06
10949at32523	8478_0:000009
109514at32523	8478_0:0017fe
109602at32523	8478_0:002ac2
109624at32523	8478_0:004a43
109646at32523	8478_0:004a5d
109650at32523	8478_0:000247
109723at32523	8478_0:001300
109835at32523	8478_0:003b9d
109851at32523	8478_0:001fc5
109929at32523	8478_0:0026d4
109971at32523	8478_0:001585
109977at32523	8478_0:004874
110019at32523	8478_0:000bf6
110140at32523	8478_0:00231d
110217at32523	8478_0:00521a
110242at32523	8478_0:002458
11031at32523	8478_0:001fd2
110363at32523	8478_0:003c2b
110563at32523	8478_0:002e5c
110575at32523	8478_0:000ae1
110615at32523	8478_0:0046ad
110637at32523	8478_0:002069
110654at32523	8478_0:000f4b
110811at32523	8478_0:002085
110876at32523	8478_0:000d5c
11088at32523	8478_0:0042d6
110921at32523	8478_0:0005e0
110948at32523	8478_0:0016a2
111050at32523	8478_0:000633
111173at32523	8478_0:004259
111184at32523	8478_0:00310b
111190at32523	8478_0:0004d6
111285at32523	8478_0:0005a2
111303at32523	8478_0:000c70
111371at32523	8478_0:004936
111464at32523	8478_0:002611
111475at32523	8478_0:0006d6
111650at32523	8478_0:0001df
111843at32523	8478_0:000e34
11195at32523	8478_0:0013af
112209at32523	8478_0:00246b
112288at32523	8478_0:000f3c
112312at32523	8478_0:002e5f
112317at32523	8478_0:001449
112394at32523	8478_0:001183
112399at32523	8478_0:004185
112421at32523	8478_0:00046c
112434at32523	8478_0:002f58
112465at32523	8478_0:00398a
11278at32523	8478_0:001785
112833at32523	8478_0:0031a9
112843at32523	8478_0:004d68
112844at32523	8478_0:001bbb
112998at32523	8478_0:001260
11302at32523	8478_0:00121a
113035at32523	8478_0:0043c4
113062at32523	8478_0:000a5c
113162at32523	8478_0:004c35
113181at32523	8478_0:001971
113182at32523	8478_0:002722
113206at32523	8478_0:001060
113306at32523	8478_0:002a90
113548at32523	8478_0:0020ff
113557at32523	8478_0:00017c
113562at32523	8478_0:000f7a
113563at32523	8478_0:002c89
113567at32523	8478_0:001db5
113607at32523	8478_0:00097a
113678at32523	8478_0:004d38
113787at32523	8478_0:001216
113921at32523	8478_0:001ac7
113921at32523	8478_0:001fad
113971at32523	8478_0:0006dc
113987at32523	8478_0:000470
114091at32523	8478_0:00218f
114099at32523	8478_0:002914
114228at32523	8478_0:004826
114246at32523	8478_0:004211
114354at32523	8478_0:004ed1
114384at32523	8478_0:000379
114393at32523	8478_0:00343e
114439at32523	8478_0:0041de
114448at32523	8478_0:0024b3
114451at32523	8478_0:00238f
114457at32523	8478_0:004ca4
11446at32523	8478_0:00191a
114567at32523	8478_0:004ae5
114654at32523	8478_0:00258d
114659at32523	8478_0:002577
114689at32523	8478_0:004a63
114733at32523	8478_0:002189
114777at32523	8478_0:001927
114783at32523	8478_0:00258e
114808at32523	8478_0:004396
114923at32523	8478_0:000e54
115074at32523	8478_0:004b23
115119at32523	8478_0:0000ef
115135at32523	8478_0:0042c8
115212at32523	8478_0:001bd4
11525at32523	8478_0:001445
115278at32523	8478_0:004d3e
115292at32523	8478_0:00138f
115348at32523	8478_0:0017d4
115359at32523	8478_0:000705
115468at32523	8478_0:004944
115484at32523	8478_0:00065a
115499at32523	8478_0:003c52
115587at32523	8478_0:0046c3
115644at32523	8478_0:001b91
115678at32523	8478_0:00193f
115729at32523	8478_0:0005f9
115764at32523	8478_0:002b7b
115831at32523	8478_0:000f6a
116004at32523	8478_0:0006b5
116031at32523	8478_0:004c5c
116059at32523	8478_0:0022b1
116128at32523	8478_0:0026d9
116132at32523	8478_0:0021fb
116132at32523	8478_0:0023e6
116183at32523	8478_0:002eb8
116192at32523	8478_0:0003a0
116216at32523	8478_0:0045c5
116236at32523	8478_0:004ceb
116298at32523	8478_0:000bf3
116407at32523	8478_0:0044a5
116407at32523	8478_0:0044c2
116463at32523	8478_0:000ef0
116464at32523	8478_0:005122
116517at32523	8478_0:0041a6
116561at32523	8478_0:001917
116569at32523	8478_0:00511b
116580at32523	8478_0:00312e
116598at32523	8478_0:00143e
116657at32523	8478_0:004e04
116676at32523	8478_0:004644
116722at32523	8478_0:002a72
116780at32523	8478_0:0024bb
116784at32523	8478_0:000edb
116885at32523	8478_0:0040d3
117055at32523	8478_0:001af7
117071at32523	8478_0:000cf4
117158at32523	8478_0:0023cd
117316at32523	8478_0:00159f
117333at32523	8478_0:00265e
117352at32523	8478_0:000c6b
117356at32523	8478_0:0029b0
117499at32523	8478_0:001bf2
1174at32523	8478_0:00021c
11754at32523	8478_0:0050f5
117562at32523	8478_0:001e2e
117571at32523	8478_0:003bf3
117710at32523	8478_0:004498
117717at32523	8478_0:00254d
11773at32523	8478_0:001c9f
118030at32523	8478_0:00518e
118055at32523	8478_0:00064f
118167at32523	8478_0:00132e
118231at32523	8478_0:00217e
118239at32523	8478_0:001460
118292at32523	8478_0:0026b6
118318at32523	8478_0:004617
118322at32523	8478_0:0023b2
118504at32523	8478_0:0012c2
11855at32523	8478_0:00487b
118610at32523	8478_0:000ac0
118640at32523	8478_0:002451
118658at32523	8478_0:0023ba
118790at32523	8478_0:004b0b
118813at32523	8478_0:0002cd
118839at32523	8478_0:00270b
118895at32523	8478_0:002568
118901at32523	8478_0:001013
118907at32523	8478_0:005257
118915at32523	8478_0:00017d
118955at32523	8478_0:0043b6
118979at32523	8478_0:0009af
11900at32523	8478_0:0046f2
119090at32523	8478_0:004497
119112at32523	8478_0:000a6a
119144at32523	8478_0:00522a
119217at32523	8478_0:0019e4
119258at32523	8478_0:000564
119260at32523	8478_0:0040f6
119267at32523	8478_0:00004d
119364at32523	8478_0:00206f
119371at32523	8478_0:0016cb
119417at32523	8478_0:001e1d
119436at32523	8478_0:0047e9
119446at32523	8478_0:002167
119509at32523	8478_0:001ebd
119513at32523	8478_0:0010bc
119568at32523	8478_0:002759
119571at32523	8478_0:000a1f
119577at32523	8478_0:004c3e
119666at32523	8478_0:005144
119720at32523	8478_0:005046
119840at32523	8478_0:001d9c
119863at32523	8478_0:003bfc
119909at32523	8478_0:000a36
11992at32523	8478_0:00224c
119977at32523	8478_0:0016d0
119988at32523	8478_0:0007b1
120023at32523	8478_0:0000f6
12002at32523	8478_0:004b4b
120146at32523	8478_0:00036d
120186at32523	8478_0:004e38
120192at32523	8478_0:001852
120234at32523	8478_0:000aa8
120245at32523	8478_0:0005cd
120253at32523	8478_0:0048b7
120257at32523	8478_0:001d9a
120363at32523	8478_0:000db2
120495at32523	8478_0:0028cf
120510at32523	8478_0:0015fe
120528at32523	8478_0:0001e1
120535at32523	8478_0:00293f
120577at32523	8478_0:004fbd
120594at32523	8478_0:002527
120928at32523	8478_0:002f56
121011at32523	8478_0:0012b9
121108at32523	8478_0:000bdd
121120at32523	8478_0:0026c9
121184at32523	8478_0:000516
121201at32523	8478_0:002780
121264at32523	8478_0:001e8d
121275at32523	8478_0:001df0
121285at32523	8478_0:000a8c
121468at32523	8478_0:004472
121471at32523	8478_0:000bed
121474at32523	8478_0:002b15
121481at32523	8478_0:001d86
121499at32523	8478_0:002d3a
121512at32523	8478_0:0049ff
121526at32523	8478_0:000e28
121589at32523	8478_0:002c0e
121708at32523	8478_0:004670
12176at32523	8478_0:00103d
121793at32523	8478_0:004a98
121983at32523	8478_0:00205c
121993at32523	8478_0:0051b2
122011at32523	8478_0:0026e2
122018at32523	8478_0:001b02
122044at32523	8478_0:004c28
122093at32523	8478_0:00202c
122167at32523	8478_0:004db0
122221at32523	8478_0:002772
122335at32523	8478_0:0051dc
122349at32523	8478_0:0037db
122359at32523	8478_0:000dda
122544at32523	8478_0:004fa2
122566at32523	8478_0:004f45
12263at32523	8478_0:0004ae
122656at32523	8478_0:002852
122695at32523	8478_0:001a9b
122749at32523	8478_0:0042c9
122907at32523	8478_0:004b35
122928at32523	8478_0:0002ec
122940at32523	8478_0:000284
122941at32523	8478_0:0011fc
122950at32523	8478_0:0050c4
122960at32523	8478_0:001295
122967at32523	8478_0:0015bd
122969at32523	8478_0:002bbb
12302at32523	8478_0:00064c
123057at32523	8478_0:000477
123090at32523	8478_0:002ebd
123135at32523	8478_0:00167c
123139at32523	8478_0:000959
12314at32523	8478_0:00437d
123289at32523	8478_0:0014e6
123480at32523	8478_0:000b87
12350at32523	8478_0:00001f
123644at32523	8478_0:0012da
123648at32523	8478_0:004105
12370at32523	8478_0:001ccc
123728at32523	8478_0:00222e
123751at32523	8478_0:00036c
123811at32523	8478_0:000383
123902at32523	8478_0:0018e7
123907at32523	8478_0:004a85
123919at32523	8478_0:00159d
123927at32523	8478_0:002f2d
123938at32523	8478_0:0015e0
124004at32523	8478_0:0046e1
124036at32523	8478_0:0011f4
124056at32523	8478_0:0046a8
1240at32523	8478_0:004e32
124180at32523	8478_0:004a40
124185at32523	8478_0:0050c7
124255at32523	8478_0:004e28
124263at32523	8478_0:00171d
124289at32523	8478_0:0005a1
124297at32523	8478_0:002709
124314at32523	8478_0:000eed
124451at32523	8478_0:004622
124465at32523	8478_0:0016c1
124505at32523	8478_0:001b9b
124555at32523	8478_0:001a49
124589at32523	8478_0:00003a
124648at32523	8478_0:0012d5
124651at32523	8478_0:003761
124683at32523	8478_0:0015b1
124770at32523	8478_0:000d87
12479at32523	8478_0:00411f
124887at32523	8478_0:004224
124988at32523	8478_0:000572
125055at32523	8478_0:00438d
125111at32523	8478_0:001600
125113at32523	8478_0:0028bf
125206at32523	8478_0:002eb1
125210at32523	8478_0:000733
125224at32523	8478_0:000e9f
125310at32523	8478_0:0005a5
125390at32523	8478_0:001fb1
125671at32523	8478_0:0009eb
125685at32523	8478_0:00125d
125701at32523	8478_0:000906
125782at32523	8478_0:000d69
125793at32523	8478_0:002089
125910at32523	8478_0:0030d4
126074at32523	8478_0:000a12
126133at32523	8478_0:001d1d
126133at32523	8478_0:001d4e
126373at32523	8478_0:0009bc
126395at32523	8478_0:00167a
126407at32523	8478_0:002b87
126505at32523	8478_0:0033a0
126597at32523	8478_0:0024a6
126689at32523	8478_0:001135
126721at32523	8478_0:000fb6
126941at32523	8478_0:0004bc
126946at32523	8478_0:002cb5
126992at32523	8478_0:002131
127099at32523	8478_0:000e95
127100at32523	8478_0:0017c9
127141at32523	8478_0:00474d
127149at32523	8478_0:00047e
127170at32523	8478_0:000f30
127181at32523	8478_0:000d25
127183at32523	8478_0:00072e
127304at32523	8478_0:002c9e
127324at32523	8478_0:001791
127447at32523	8478_0:000e0a
127505at32523	8478_0:004bef
127508at32523	8478_0:002c13
127797at32523	8478_0:002736
127883at32523	8478_0:004607
127900at32523	8478_0:000828
128019at32523	8478_0:004ff5
128067at32523	8478_0:001237
128087at32523	8478_0:001cfb
128093at32523	8478_0:00508f
128177at32523	8478_0:000d1f
128219at32523	8478_0:000d5d
128317at32523	8478_0:001160
128346at32523	8478_0:002271
128422at32523	8478_0:005140
128486at32523	8478_0:000e4f
128643at32523	8478_0:00065f
128696at32523	8478_0:001d08
128718at32523	8478_0:0048e0
128719at32523	8478_0:00421a
128737at32523	8478_0:0011fa
128741at32523	8478_0:004f16
128806at32523	8478_0:000308
128883at32523	8478_0:0006dd
128891at32523	8478_0:00437f
129099at32523	8478_0:0027f2
129099at32523	8478_0:0027f4
129099at32523	8478_0:003c82
129141at32523	8478_0:00061c
129250at32523	8478_0:002115
129376at32523	8478_0:0025be
129406at32523	8478_0:004209
129418at32523	8478_0:0046ca
129460at32523	8478_0:000dcd
129465at32523	8478_0:004603
129649at32523	8478_0:002454
129664at32523	8478_0:004cc6
129665at32523	8478_0:0008e1
129777at32523	8478_0:00255a
129800at32523	8478_0:0045e2
129874at32523	8478_0:003ac8
129956at32523	8478_0:001450
129996at32523	8478_0:000f52
130080at32523	8478_0:0036c4
130148at32523	8478_0:000e48
130200at32523	8478_0:004cb5
130217at32523	8478_0:000634
130225at32523	8478_0:00479a
130229at32523	8478_0:001dc7
130233at32523	8478_0:001395
130319at32523	8478_0:002286
13033at32523	8478_0:002f51
130390at32523	8478_0:003b45
130393at32523	8478_0:004c10
130399at32523	8478_0:001962
130462at32523	8478_0:00025a
130466at32523	8478_0:0015a4
130482at32523	8478_0:0028ab
130600at32523	8478_0:001cf2
130632at32523	8478_0:0045da
130721at32523	8478_0:000417
130802at32523	8478_0:0047f6
130932at32523	8478_0:00057d
130936at32523	8478_0:0018ae
131044at32523	8478_0:004b7f
131134at32523	8478_0:0006af
131366at32523	8478_0:001b81
131408at32523	8478_0:000ef7
131464at32523	8478_0:0019f4
131584at32523	8478_0:000669
131624at32523	8478_0:000335
131697at32523	8478_0:0000d3
13169at32523	8478_0:000390
131824at32523	8478_0:0009d9
131843at32523	8478_0:002aae
132033at32523	8478_0:0021db
132085at32523	8478_0:00038d
132121at32523	8478_0:004a81
132150at32523	8478_0:0001e7
132310at32523	8478_0:002911
132319at32523	8478_0:004391
132408at32523	8478_0:002443
132426at32523	8478_0:000a91
132493at32523	8478_0:002342
132496at32523	8478_0:001e6d
132580at32523	8478_0:001150
132586at32523	8478_0:0028c9
132590at32523	8478_0:001004
132719at32523	8478_0:000863
132813at32523	8478_0:000e7e
132836at32523	8478_0:0028f6
132854at32523	8478_0:004602
132999at32523	8478_0:000582
133001at32523	8478_0:0028a2
133131at32523	8478_0:0045b9
133132at32523	8478_0:00330b
133170at32523	8478_0:001e32
133235at32523	8478_0:000b90
133248at32523	8478_0:001672
133266at32523	8478_0:0021ee
133315at32523	8478_0:004c65
133368at32523	8478_0:000f32
133380at32523	8478_0:003bd6
133426at32523	8478_0:001623
133600at32523	8478_0:00094e
133621at32523	8478_0:002f38
133626at32523	8478_0:002a1d
133706at32523	8478_0:0004ad
133742at32523	8478_0:001967
133765at32523	8478_0:004469
133800at32523	8478_0:001087
133898at32523	8478_0:00489e
133989at32523	8478_0:000584
134031at32523	8478_0:0015b6
134044at32523	8478_0:004e5e
134124at32523	8478_0:000afb
134141at32523	8478_0:0015d9
134159at32523	8478_0:0014d7
134350at32523	8478_0:0001dc
134360at32523	8478_0:001f51
134376at32523	8478_0:000e94
134415at32523	8478_0:00134f
134419at32523	8478_0:003cc4
134448at32523	8478_0:004d1e
134484at32523	8478_0:004fd8
134608at32523	8478_0:0003de
134629at32523	8478_0:000d55
134671at32523	8478_0:0021ab
134746at32523	8478_0:0041fe
134798at32523	8478_0:003852
134811at32523	8478_0:0013bc
134965at32523	8478_0:00106c
134992at32523	8478_0:000560
134999at32523	8478_0:001057
135004at32523	8478_0:001b82
135005at32523	8478_0:001a87
135019at32523	8478_0:004f48
135026at32523	8478_0:000e8f
135046at32523	8478_0:0012d8
135073at32523	8478_0:004c98
135079at32523	8478_0:0012ea
135094at32523	8478_0:0033ec
135116at32523	8478_0:00175d
135131at32523	8478_0:00423c
135233at32523	8478_0:000b35
135243at32523	8478_0:001486
135286at32523	8478_0:00110a
135387at32523	8478_0:0019d4
135414at32523	8478_0:001bb8
135451at32523	8478_0:002196
135502at32523	8478_0:000791
135504at32523	8478_0:0004a6
13552at32523	8478_0:001e48
135534at32523	8478_0:00292e
135540at32523	8478_0:000d10
135651at32523	8478_0:001e5c
135697at32523	8478_0:002214
135698at32523	8478_0:002840
135809at32523	8478_0:0045a4
135990at32523	8478_0:001b0b
136001at32523	8478_0:000d56
136046at32523	8478_0:001bf7
136073at32523	8478_0:000505
136173at32523	8478_0:003c38
136252at32523	8478_0:000198
136320at32523	8478_0:004b89
136341at32523	8478_0:0026c3
136697at32523	8478_0:0022b4
136705at32523	8478_0:000892
136715at32523	8478_0:001f67
13671at32523	8478_0:00481f
136752at32523	8478_0:002681
136768at32523	8478_0:001c23
136780at32523	8478_0:0007e7
136789at32523	8478_0:0029b1
136833at32523	8478_0:001b9c
136883at32523	8478_0:00186c
137003at32523	8478_0:002d38
13705at32523	8478_0:001ab4
137083at32523	8478_0:005126
137112at32523	8478_0:004688
137161at32523	8478_0:0028be
137199at32523	8478_0:0018f1
137251at32523	8478_0:001479
137316at32523	8478_0:001477
137324at32523	8478_0:000231
137553at32523	8478_0:0021e6
137560at32523	8478_0:004d39
137662at32523	8478_0:000cf8
137697at32523	8478_0:000e15
137727at32523	8478_0:000cf1
137765at32523	8478_0:001006
137810at32523	8478_0:000612
137836at32523	8478_0:0003e9
13794at32523	8478_0:000fe4
138009at32523	8478_0:000dee
138010at32523	8478_0:001d95
138015at32523	8478_0:0045e9
138099at32523	8478_0:000ebc
138161at32523	8478_0:0000a0
13828at32523	8478_0:000498
138387at32523	8478_0:00062f
138400at32523	8478_0:000b45
138430at32523	8478_0:002260
138465at32523	8478_0:00213e
138588at32523	8478_0:003210
138615at32523	8478_0:000fc3
138631at32523	8478_0:00057b
138747at32523	8478_0:004112
138754at32523	8478_0:0041b0
138762at32523	8478_0:0001db
138863at32523	8478_0:00019c
138888at32523	8478_0:004460
138953at32523	8478_0:0044b5
139002at32523	8478_0:001d29
139005at32523	8478_0:00483c
139006at32523	8478_0:00148f
139137at32523	8478_0:0048b3
139146at32523	8478_0:00504a
139147at32523	8478_0:004172
139217at32523	8478_0:002201
139223at32523	8478_0:0007c9
139285at32523	8478_0:002145
139327at32523	8478_0:004169
139376at32523	8478_0:004ca1
139378at32523	8478_0:0050cb
139406at32523	8478_0:00427e
139448at32523	8478_0:0023f2
13944at32523	8478_0:0011e8
13946at32523	8478_0:004d16
139628at32523	8478_0:0047cc
139654at32523	8478_0:002277
139657at32523	8478_0:00263f
139691at32523	8478_0:001b35
139731at32523	8478_0:00319c
139756at32523	8478_0:00229c
139887at32523	8478_0:003350
140105at32523	8478_0:0045ff
14011at32523	8478_0:002192
140141at32523	8478_0:005071
140174at32523	8478_0:004a6e
140221at32523	8478_0:0006bf
140314at32523	8478_0:0008af
140603at32523	8478_0:00160a
140700at32523	8478_0:001c9e
140712at32523	8478_0:00115c
14074at32523	8478_0:00213a
140837at32523	8478_0:00093d
140901at32523	8478_0:0042a3
140988at32523	8478_0:001766
141057at32523	8478_0:0044ea
141108at32523	8478_0:00427a
141209at32523	8478_0:003a44
141227at32523	8478_0:004b61
141234at32523	8478_0:000d26
141239at32523	8478_0:004a65
141279at32523	8478_0:001339
141334at32523	8478_0:004c51
141340at32523	8478_0:00015e
141390at32523	8478_0:000e71
141418at32523	8478_0:003118
14142at32523	8478_0:003316
141469at32523	8478_0:004767
141518at32523	8478_0:0009fc
141597at32523	8478_0:001e26
141624at32523	8478_0:00224a
141791at32523	8478_0:004743
141874at32523	8478_0:001d9f
141926at32523	8478_0:00512b
141965at32523	8478_0:001c80
142005at32523	8478_0:00192c
142022at32523	8478_0:00224b
142027at32523	8478_0:004427
142037at32523	8478_0:000152
14203at32523	8478_0:00056b
142053at32523	8478_0:001163
142117at32523	8478_0:000f59
142125at32523	8478_0:000b79
142150at32523	8478_0:001aaf
142178at32523	8478_0:002136
142349at32523	8478_0:0041cb
142371at32523	8478_0:0021e2
142406at32523	8478_0:000359
142484at32523	8478_0:001ab0
142537at32523	8478_0:000f3d
142624at32523	8478_0:001a20
14268at32523	8478_0:002702
142771at32523	8478_0:000e23
142826at32523	8478_0:001d07
142837at32523	8478_0:000f7e
142846at32523	8478_0:0051fc
142856at32523	8478_0:000752
142862at32523	8478_0:00520c
142903at32523	8478_0:0023cf
143078at32523	8478_0:002a29
14307at32523	8478_0:001373
143217at32523	8478_0:00240e
143241at32523	8478_0:001abd
143387at32523	8478_0:001af2
143474at32523	8478_0:0050e0
143511at32523	8478_0:00164a
143526at32523	8478_0:0044bb
143557at32523	8478_0:0026e6
143618at32523	8478_0:002036
143634at32523	8478_0:000ebe
143774at32523	8478_0:00524f
143915at32523	8478_0:004e7e
14391at32523	8478_0:001377
144000at32523	8478_0:004726
144001at32523	8478_0:001c81
144070at32523	8478_0:00150c
14413at32523	8478_0:005186
144146at32523	8478_0:004e50
144155at32523	8478_0:000a9e
144209at32523	8478_0:002b7c
144258at32523	8478_0:0014d0
144299at32523	8478_0:004c36
144300at32523	8478_0:0048c6
144301at32523	8478_0:00325a
144308at32523	8478_0:001a76
144360at32523	8478_0:000a88
144435at32523	8478_0:00466c
144469at32523	8478_0:0046ab
144618at32523	8478_0:0048a3
144650at32523	8478_0:000db4
144656at32523	8478_0:000fe5
144670at32523	8478_0:001a50
144772at32523	8478_0:001af4
144781at32523	8478_0:0045c3
144786at32523	8478_0:002172
144794at32523	8478_0:001add
144794at32523	8478_0:003c2e
144934at32523	8478_0:001aa5
145097at32523	8478_0:00208c
145103at32523	8478_0:0000ac
145183at32523	8478_0:002994
145184at32523	8478_0:0010e2
145190at32523	8478_0:001a1c
145193at32523	8478_0:002615
14519at32523	8478_0:004b55
145233at32523	8478_0:000311
145311at32523	8478_0:000fb3
145343at32523	8478_0:004ebc
145427at32523	8478_0:0026eb
145469at32523	8478_0:0029aa
145492at32523	8478_0:004d92
145527at32523	8478_0:000b36
145540at32523	8478_0:0005c0
145548at32523	8478_0:0010c3
145562at32523	8478_0:000187
145578at32523	8478_0:002f93
145603at32523	8478_0:002d20
145628at32523	8478_0:002fba
145721at32523	8478_0:000745
145779at32523	8478_0:001e09
145796at32523	8478_0:001498
145866at32523	8478_0:0030d0
145923at32523	8478_0:0005e8
145957at32523	8478_0:000618
145983at32523	8478_0:000b26
146084at32523	8478_0:000035
146129at32523	8478_0:001c6d
146229at32523	8478_0:004c8e
146243at32523	8478_0:000d03
146381at32523	8478_0:0002c3
146394at32523	8478_0:00484e
146418at32523	8478_0:002ef7
146431at32523	8478_0:002b3d
146507at32523	8478_0:001972
146509at32523	8478_0:005209
146555at32523	8478_0:00090b
146602at32523	8478_0:00506f
146603at32523	8478_0:004270
146641at32523	8478_0:0041af
146717at32523	8478_0:00469a
146781at32523	8478_0:001bca
146829at32523	8478_0:00215c
146830at32523	8478_0:002ea0
146870at32523	8478_0:0040bd
146998at32523	8478_0:0007fe
14701at32523	8478_0:001703
147055at32523	8478_0:0041b7
147120at32523	8478_0:00434f
147202at32523	8478_0:002cb3
147223at32523	8478_0:004fd3
147237at32523	8478_0:00225a
147311at32523	8478_0:0007dc
147313at32523	8478_0:001671
147363at32523	8478_0:001514
147403at32523	8478_0:0041ce
147430at32523	8478_0:0015d2
147626at32523	8478_0:004393
147630at32523	8478_0:000a76
147634at32523	8478_0:004974
147846at32523	8478_0:0000c4
147880at32523	8478_0:0040d5
