100073at32523	1415176_0:003aa1
104932at32523	1415176_0:00463d
104943at32523	1415176_0:003d04
105040at32523	1415176_0:001d09
105125at32523	1415176_0:002643
105130at32523	1415176_0:0008f6
105251at32523	1415176_0:004fb1
105267at32523	1415176_0:00085e
105327at32523	1415176_0:0039f9
105411at32523	1415176_0:003106
105469at32523	1415176_0:001d0e
105477at32523	1415176_0:00195c
105574at32523	1415176_0:001c77
105588at32523	1415176_0:000179
105594at32523	1415176_0:003cc9
105768at32523	1415176_0:002d5a
10578at32523	1415176_0:001abb
10583at32523	1415176_0:000957
105855at32523	1415176_0:000157
105863at32523	1415176_0:00248e
105863at32523	1415176_0:00420f
105917at32523	1415176_0:001c1e
105920at32523	1415176_0:0032df
106036at32523	1415176_0:003b1d
106057at32523	1415176_0:003a05
106122at32523	1415176_0:0035b8
106313at32523	1415176_0:003834
106366at32523	1415176_0:001b10
106408at32523	1415176_0:000adf
106441at32523	1415176_0:0016f6
106522at32523	1415176_0:003299
106549at32523	1415176_0:000abe
106672at32523	1415176_0:001e7e
106709at32523	1415176_0:002c92
106709at32523	1415176_0:004b32
106726at32523	1415176_0:002e56
106804at32523	1415176_0:000346
106876at32523	1415176_0:002345
106882at32523	1415176_0:002703
106895at32523	1415176_0:00311a
106918at32523	1415176_0:000d7f
106954at32523	1415176_0:000073
106993at32523	1415176_0:004199
107047at32523	1415176_0:002f45
107049at32523	1415176_0:000f16
107057at32523	1415176_0:0021c0
107180at32523	1415176_0:002283
107207at32523	1415176_0:002712
107213at32523	1415176_0:003471
10722at32523	1415176_0:0037a2
107250at32523	1415176_0:00057b
107280at32523	1415176_0:0043d2
107285at32523	1415176_0:0030d3
107381at32523	1415176_0:001443
107411at32523	1415176_0:00057f
107444at32523	1415176_0:000e71
107460at32523	1415176_0:000750
107469at32523	1415176_0:001c14
107527at32523	1415176_0:0027d4
107601at32523	1415176_0:000eef
107649at32523	1415176_0:003083
107664at32523	1415176_0:0013ea
107685at32523	1415176_0:001a91
107727at32523	1415176_0:0003e8
107749at32523	1415176_0:00257a
107952at32523	1415176_0:002386
107978at32523	1415176_0:000424
108138at32523	1415176_0:0017b5
108402at32523	1415176_0:003936
108497at32523	1415176_0:004f93
108666at32523	1415176_0:001340
10881at32523	1415176_0:001b2f
108863at32523	1415176_0:004146
108898at32523	1415176_0:0043c4
108945at32523	1415176_0:0005be
108973at32523	1415176_0:0032a6
108998at32523	1415176_0:0010dd
109060at32523	1415176_0:0032bf
109107at32523	1415176_0:003520
109112at32523	1415176_0:00375b
109155at32523	1415176_0:000bc1
109227at32523	1415176_0:002979
109312at32523	1415176_0:000032
109331at32523	1415176_0:003764
109347at32523	1415176_0:00027f
109356at32523	1415176_0:0008ad
109366at32523	1415176_0:001604
1093at32523	1415176_0:000fdd
109425at32523	1415176_0:00305f
10949at32523	1415176_0:001100
109514at32523	1415176_0:00046a
109602at32523	1415176_0:003faa
109624at32523	1415176_0:00101d
109646at32523	1415176_0:000ff3
109650at32523	1415176_0:003bcb
109723at32523	1415176_0:0027e8
109835at32523	1415176_0:002109
109851at32523	1415176_0:0013d1
109929at32523	1415176_0:00449a
109971at32523	1415176_0:00052b
109977at32523	1415176_0:003c0b
110019at32523	1415176_0:003eca
110140at32523	1415176_0:001c46
110217at32523	1415176_0:000dfd
110242at32523	1415176_0:002f25
11031at32523	1415176_0:0013cd
110363at32523	1415176_0:00175f
110563at32523	1415176_0:002a60
110575at32523	1415176_0:004370
110615at32523	1415176_0:00235d
110637at32523	1415176_0:0027a0
110654at32523	1415176_0:001c80
110811at32523	1415176_0:003a91
110876at32523	1415176_0:00088d
11088at32523	1415176_0:001672
110921at32523	1415176_0:000916
110948at32523	1415176_0:002bca
111050at32523	1415176_0:000238
111173at32523	1415176_0:002332
111184at32523	1415176_0:002f5d
111190at32523	1415176_0:000b0c
111285at32523	1415176_0:0008ef
111303at32523	1415176_0:001bad
111371at32523	1415176_0:00048c
111464at32523	1415176_0:002273
111475at32523	1415176_0:000904
111650at32523	1415176_0:000776
111843at32523	1415176_0:002762
11195at32523	1415176_0:0005bc
112209at32523	1415176_0:000173
112288at32523	1415176_0:0006fd
112312at32523	1415176_0:0035ed
112317at32523	1415176_0:0030c5
112394at32523	1415176_0:00052a
112399at32523	1415176_0:001e08
112421at32523	1415176_0:000b11
112434at32523	1415176_0:002135
112465at32523	1415176_0:004ca5
11278at32523	1415176_0:0026b0
112833at32523	1415176_0:002f01
112843at32523	1415176_0:0010d4
112844at32523	1415176_0:001fe6
112998at32523	1415176_0:0025fa
11302at32523	1415176_0:0039cf
113035at32523	1415176_0:0018f8
113062at32523	1415176_0:0036c7
113162at32523	1415176_0:003dda
113181at32523	1415176_0:001700
113182at32523	1415176_0:002980
113182at32523	1415176_0:00485b
113206at32523	1415176_0:00431d
113306at32523	1415176_0:00190e
113548at32523	1415176_0:00341c
113557at32523	1415176_0:0023f2
113562at32523	1415176_0:001c7d
113563at32523	1415176_0:0007f9
113567at32523	1415176_0:003e1e
113607at32523	1415176_0:001a6f
113678at32523	1415176_0:0017f7
113787at32523	1415176_0:0035d2
113921at32523	1415176_0:001c35
113971at32523	1415176_0:000f9d
113987at32523	1415176_0:000289
114091at32523	1415176_0:003470
114099at32523	1415176_0:003371
114228at32523	1415176_0:0009ee
114246at32523	1415176_0:000656
114354at32523	1415176_0:002bec
114384at32523	1415176_0:004034
114393at32523	1415176_0:003543
114439at32523	1415176_0:00065a
114448at32523	1415176_0:0037eb
114451at32523	1415176_0:001380
114457at32523	1415176_0:003560
11446at32523	1415176_0:003c9d
114567at32523	1415176_0:0001a0
114567at32523	1415176_0:0001b2
114654at32523	1415176_0:0022e4
114659at32523	1415176_0:0022f2
114689at32523	1415176_0:001018
114733at32523	1415176_0:003476
114777at32523	1415176_0:001989
114783at32523	1415176_0:0022ee
114808at32523	1415176_0:001339
114923at32523	1415176_0:0012d1
115074at32523	1415176_0:00379c
115119at32523	1415176_0:000366
115135at32523	1415176_0:001eff
115212at32523	1415176_0:0019bd
11525at32523	1415176_0:0031f3
115278at32523	1415176_0:001665
115292at32523	1415176_0:00259e
115348at32523	1415176_0:001343
115359at32523	1415176_0:000f03
115468at32523	1415176_0:000472
115484at32523	1415176_0:000d69
115499at32523	1415176_0:00485a
115587at32523	1415176_0:000b7c
115644at32523	1415176_0:001db8
115678at32523	1415176_0:001733
115729at32523	1415176_0:00010c
115764at32523	1415176_0:001374
115831at32523	1415176_0:000c9d
116004at32523	1415176_0:001c9c
116031at32523	1415176_0:001e0d
116059at32523	1415176_0:003d71
116128at32523	1415176_0:002adc
116132at32523	1415176_0:001fa7
116183at32523	1415176_0:000f53
116192at32523	1415176_0:000d5f
116216at32523	1415176_0:001c25
116236at32523	1415176_0:000514
116298at32523	1415176_0:002fc0
116407at32523	1415176_0:0032a4
116463at32523	1415176_0:0028c4
116464at32523	1415176_0:0009d6
116517at32523	1415176_0:003016
116561at32523	1415176_0:003c99
116569at32523	1415176_0:0009cc
116580at32523	1415176_0:0027f7
116598at32523	1415176_0:0026dd
116657at32523	1415176_0:002ad3
116676at32523	1415176_0:003ba4
116722at32523	1415176_0:002f0e
116780at32523	1415176_0:00426f
116784at32523	1415176_0:00440e
116885at32523	1415176_0:000068
117055at32523	1415176_0:0007cb
117055at32523	1415176_0:0007dd
117071at32523	1415176_0:000bb2
117158at32523	1415176_0:002187
117316at32523	1415176_0:00399c
117333at32523	1415176_0:00237c
117352at32523	1415176_0:001ba8
117356at32523	1415176_0:003a66
117499at32523	1415176_0:0024d3
1174at32523	1415176_0:000a0a
11754at32523	1415176_0:001e1e
117562at32523	1415176_0:002dab
117562at32523	1415176_0:0047bf
117562at32523	1415176_0:0049a0
117571at32523	1415176_0:00404f
117710at32523	1415176_0:002676
117717at32523	1415176_0:0040fa
11773at32523	1415176_0:0041f2
118030at32523	1415176_0:00154b
118055at32523	1415176_0:000909
118055at32523	1415176_0:004f72
118167at32523	1415176_0:004177
118231at32523	1415176_0:002aa5
118239at32523	1415176_0:001928
118292at32523	1415176_0:002c1c
118318at32523	1415176_0:002617
118322at32523	1415176_0:000507
118504at32523	1415176_0:0003fe
11855at32523	1415176_0:003832
118610at32523	1415176_0:002b63
118640at32523	1415176_0:002145
118658at32523	1415176_0:001b32
118790at32523	1415176_0:0039f0
118813at32523	1415176_0:0007aa
118839at32523	1415176_0:000dbf
118895at32523	1415176_0:00330a
118901at32523	1415176_0:000d03
118907at32523	1415176_0:004354
118915at32523	1415176_0:00188b
118955at32523	1415176_0:001904
118979at32523	1415176_0:001a65
11900at32523	1415176_0:001350
119090at32523	1415176_0:001083
119112at32523	1415176_0:0036d8
119144at32523	1415176_0:000dfa
119217at32523	1415176_0:000cfa
119258at32523	1415176_0:00142d
119260at32523	1415176_0:002126
119267at32523	1415176_0:001d7a
119364at32523	1415176_0:0003fc
119371at32523	1415176_0:003221
119417at32523	1415176_0:001c09
119436at32523	1415176_0:00415a
119446at32523	1415176_0:002817
119446at32523	1415176_0:002820
119509at32523	1415176_0:003a09
119513at32523	1415176_0:0009a9
119568at32523	1415176_0:003d65
119571at32523	1415176_0:001a87
119577at32523	1415176_0:003dd8
119666at32523	1415176_0:002863
119720at32523	1415176_0:00164e
119840at32523	1415176_0:000836
119863at32523	1415176_0:00203b
119909at32523	1415176_0:000dd1
11992at32523	1415176_0:0035a9
119977at32523	1415176_0:0031ff
119988at32523	1415176_0:0025ec
120023at32523	1415176_0:00035e
12002at32523	1415176_0:000f3d
120146at32523	1415176_0:0042b3
120186at32523	1415176_0:0023b1
120192at32523	1415176_0:001fc5
120234at32523	1415176_0:0018e2
120245at32523	1415176_0:0008e7
120253at32523	1415176_0:0042e9
120257at32523	1415176_0:000834
120363at32523	1415176_0:002333
120495at32523	1415176_0:0001e8
120510at32523	1415176_0:0014ce
120528at32523	1415176_0:003628
120535at32523	1415176_0:000b1d
120577at32523	1415176_0:002430
120594at32523	1415176_0:003584
120928at32523	1415176_0:001ab2
121011at32523	1415176_0:001e70
121108at32523	1415176_0:0021e5
121120at32523	1415176_0:000601
121184at32523	1415176_0:003310
121201at32523	1415176_0:00293b
121264at32523	1415176_0:004397
121264at32523	1415176_0:004398
121275at32523	1415176_0:00316a
121285at32523	1415176_0:0003d2
121468at32523	1415176_0:002da7
121471at32523	1415176_0:001b99
121474at32523	1415176_0:004339
121481at32523	1415176_0:000bde
121499at32523	1415176_0:003dba
121512at32523	1415176_0:0034f3
121526at32523	1415176_0:0012c8
121589at32523	1415176_0:002cc8
121708at32523	1415176_0:003a73
12176at32523	1415176_0:0002d5
121793at32523	1415176_0:000fe8
121983at32523	1415176_0:002213
121993at32523	1415176_0:004355
122011at32523	1415176_0:003c33
122018at32523	1415176_0:0007d3
122018at32523	1415176_0:0007da
122044at32523	1415176_0:000f4b
122093at32523	1415176_0:000f22
122167at32523	1415176_0:0023c6
122221at32523	1415176_0:00318c
122335at32523	1415176_0:0004c7
122349at32523	1415176_0:001565
122359at32523	1415176_0:000887
122544at32523	1415176_0:000892
122566at32523	1415176_0:00071b
12263at32523	1415176_0:0006b7
122656at32523	1415176_0:0042fb
122695at32523	1415176_0:003ce5
122749at32523	1415176_0:002e50
122907at32523	1415176_0:0037a1
122928at32523	1415176_0:002d5d
122940at32523	1415176_0:004401
122941at32523	1415176_0:0035d6
122950at32523	1415176_0:0017bf
122960at32523	1415176_0:002200
122967at32523	1415176_0:00160e
122969at32523	1415176_0:001f6b
12302at32523	1415176_0:000f9a
123057at32523	1415176_0:00263e
123090at32523	1415176_0:000f65
123135at32523	1415176_0:002bcb
123139at32523	1415176_0:0035b6
12314at32523	1415176_0:000eff
123289at32523	1415176_0:0026f0
123480at32523	1415176_0:001e8a
12350at32523	1415176_0:001d4d
123644at32523	1415176_0:0024e0
123648at32523	1415176_0:000688
12370at32523	1415176_0:00235e
12370at32523	1415176_0:00507b
123728at32523	1415176_0:004228
123751at32523	1415176_0:002bb1
123811at32523	1415176_0:0012a5
123902at32523	1415176_0:00200b
123907at32523	1415176_0:001011
123919at32523	1415176_0:003279
123927at32523	1415176_0:004464
123938at32523	1415176_0:002cf1
124004at32523	1415176_0:00135b
124036at32523	1415176_0:001f0f
124056at32523	1415176_0:003287
1240at32523	1415176_0:002acf
124180at32523	1415176_0:000fde
124185at32523	1415176_0:000b2f
124255at32523	1415176_0:004009
124263at32523	1415176_0:001fb6
124289at32523	1415176_0:002dea
124297at32523	1415176_0:000dc7
124314at32523	1415176_0:000700
124451at32523	1415176_0:001ec4
124465at32523	1415176_0:00129f
124505at32523	1415176_0:00326b
124555at32523	1415176_0:0025c9
124589at32523	1415176_0:003c1c
124648at32523	1415176_0:0022d0
124651at32523	1415176_0:00191e
124683at32523	1415176_0:002dd4
124770at32523	1415176_0:00253a
12479at32523	1415176_0:00003c
124887at32523	1415176_0:000e44
124988at32523	1415176_0:000d0f
125055at32523	1415176_0:0013fa
125111at32523	1415176_0:0014d1
125113at32523	1415176_0:002f5a
125206at32523	1415176_0:000f56
125210at32523	1415176_0:002914
125224at32523	1415176_0:00440d
125310at32523	1415176_0:0008f4
125390at32523	1415176_0:0026ca
125671at32523	1415176_0:001300
125685at32523	1415176_0:0043a6
125701at32523	1415176_0:001cb3
125782at32523	1415176_0:00233e
125793at32523	1415176_0:001a22
125910at32523	1415176_0:002efa
126074at32523	1415176_0:001a51
126133at32523	1415176_0:000be1
126373at32523	1415176_0:001302
126395at32523	1415176_0:001bde
126407at32523	1415176_0:0032f5
126505at32523	1415176_0:00275b
126597at32523	1415176_0:0037f2
126689at32523	1415176_0:00153f
126721at32523	1415176_0:004498
126941at32523	1415176_0:001dcf
126946at32523	1415176_0:00189d
126992at32523	1415176_0:001aa3
127099at32523	1415176_0:0005cb
127100at32523	1415176_0:001344
127141at32523	1415176_0:002395
127149at32523	1415176_0:000418
127170at32523	1415176_0:0028d4
127181at32523	1415176_0:000bae
127183at32523	1415176_0:0028ed
127304at32523	1415176_0:000808
127324at32523	1415176_0:003e05
127447at32523	1415176_0:0012c9
127505at32523	1415176_0:001941
127508at32523	1415176_0:0037a5
127797at32523	1415176_0:002621
127883at32523	1415176_0:00363d
127900at32523	1415176_0:000563
128019at32523	1415176_0:001cda
128067at32523	1415176_0:0043a8
128087at32523	1415176_0:000eb7
128177at32523	1415176_0:000ba2
128219at32523	1415176_0:0047af
128317at32523	1415176_0:00153d
128346at32523	1415176_0:000c7d
128422at32523	1415176_0:002869
128486at32523	1415176_0:0024bf
128643at32523	1415176_0:004242
128696at32523	1415176_0:001764
128718at32523	1415176_0:001415
128719at32523	1415176_0:002793
128737at32523	1415176_0:0015da
128741at32523	1415176_0:0008c5
128806at32523	1415176_0:0007f2
128883at32523	1415176_0:0005aa
128891at32523	1415176_0:000ee5
129141at32523	1415176_0:000fa6
129250at32523	1415176_0:000266
129376at32523	1415176_0:0037a9
129406at32523	1415176_0:00143f
129418at32523	1415176_0:001362
129460at32523	1415176_0:001475
129465at32523	1415176_0:001c26
129649at32523	1415176_0:002147
129649at32523	1415176_0:004844
129664at32523	1415176_0:000622
129665at32523	1415176_0:003e3c
129777at32523	1415176_0:003e15
129800at32523	1415176_0:003637
129874at32523	1415176_0:0010b3
129956at32523	1415176_0:0030c7
129996at32523	1415176_0:001c76
130080at32523	1415176_0:002f57
130148at32523	1415176_0:0007ee
130200at32523	1415176_0:00355e
130217at32523	1415176_0:0005e4
130225at32523	1415176_0:00207e
130229at32523	1415176_0:003173
130233at32523	1415176_0:000171
130319at32523	1415176_0:000a72
13033at32523	1415176_0:00064e
130390at32523	1415176_0:0047d8
130393at32523	1415176_0:0011c1
130399at32523	1415176_0:003222
130462at32523	1415176_0:000dec
130466at32523	1415176_0:002cbc
130482at32523	1415176_0:000995
130482at32523	1415176_0:004d47
130600at32523	1415176_0:0004d0
130632at32523	1415176_0:004704
130632at32523	1415176_0:004d9e
130721at32523	1415176_0:00041e
130802at32523	1415176_0:0009ec
130932at32523	1415176_0:000fa0
130936at32523	1415176_0:003256
131044at32523	1415176_0:0009f9
131134at32523	1415176_0:000595
131366at32523	1415176_0:001675
131408at32523	1415176_0:003e5c
131464at32523	1415176_0:002cd8
131584at32523	1415176_0:003349
131624at32523	1415176_0:000785
131697at32523	1415176_0:003bac
13169at32523	1415176_0:0002c6
131824at32523	1415176_0:001b6d
131843at32523	1415176_0:002ca7
132033at32523	1415176_0:00039a
132085at32523	1415176_0:0027d5
132121at32523	1415176_0:0024ce
132150at32523	1415176_0:000d18
132310at32523	1415176_0:002b1d
132319at32523	1415176_0:0013f9
132408at32523	1415176_0:002295
132426at32523	1415176_0:003777
132493at32523	1415176_0:003ff9
132496at32523	1415176_0:002a05
132580at32523	1415176_0:0018b9
132586at32523	1415176_0:001d52
132590at32523	1415176_0:000d05
132719at32523	1415176_0:000576
132813at32523	1415176_0:00440b
132836at32523	1415176_0:000219
132854at32523	1415176_0:002eee
132854at32523	1415176_0:00515d
132999at32523	1415176_0:0021f2
133001at32523	1415176_0:001934
133131at32523	1415176_0:004266
133132at32523	1415176_0:00308a
133170at32523	1415176_0:001ef2
133235at32523	1415176_0:001676
133248at32523	1415176_0:001275
133266at32523	1415176_0:002ae4
133315at32523	1415176_0:000ab2
133368at32523	1415176_0:0006f7
133380at32523	1415176_0:004cf2
133380at32523	1415176_0:004f65
133426at32523	1415176_0:00023a
133600at32523	1415176_0:001b6f
133621at32523	1415176_0:0041c4
133626at32523	1415176_0:002751
133706at32523	1415176_0:001d71
133742at32523	1415176_0:00321f
133765at32523	1415176_0:000d3a
133800at32523	1415176_0:004321
133898at32523	1415176_0:0034c7
133989at32523	1415176_0:000f93
134031at32523	1415176_0:003b9d
134044at32523	1415176_0:00376c
134124at32523	1415176_0:0038a3
134141at32523	1415176_0:003fc6
134159at32523	1415176_0:0026f4
134350at32523	1415176_0:002ad6
134360at32523	1415176_0:001f1d
134376at32523	1415176_0:003596
134415at32523	1415176_0:0027e0
134419at32523	1415176_0:0000ed
134448at32523	1415176_0:002601
134484at32523	1415176_0:002c5e
134608at32523	1415176_0:0010a8
134629at32523	1415176_0:00147b
134671at32523	1415176_0:000a16
134746at32523	1415176_0:000662
134798at32523	1415176_0:001e45
134811at32523	1415176_0:002023
134965at32523	1415176_0:000152
134992at32523	1415176_0:00432e
134999at32523	1415176_0:00431a
135004at32523	1415176_0:002052
135005at32523	1415176_0:000247
135019at32523	1415176_0:0008da
135026at32523	1415176_0:004421
135046at32523	1415176_0:0016f8
135073at32523	1415176_0:001dea
135079at32523	1415176_0:000402
135094at32523	1415176_0:001eec
135116at32523	1415176_0:0037b9
135131at32523	1415176_0:000e60
135233at32523	1415176_0:00438c
135243at32523	1415176_0:0031c0
135286at32523	1415176_0:002439
135387at32523	1415176_0:003042
135414at32523	1415176_0:000f0a
135451at32523	1415176_0:00143a
135502at32523	1415176_0:001865
135504at32523	1415176_0:0009d0
13552at32523	1415176_0:002631
135534at32523	1415176_0:0037e1
135540at32523	1415176_0:000b9f
135651at32523	1415176_0:003f4f
135697at32523	1415176_0:001a32
135698at32523	1415176_0:002baa
135809at32523	1415176_0:004265
135990at32523	1415176_0:0007c6
135990at32523	1415176_0:0007d7
136001at32523	1415176_0:00146f
136046at32523	1415176_0:003579
136073at32523	1415176_0:001759
136173at32523	1415176_0:002538
136252at32523	1415176_0:00149e
136320at32523	1415176_0:003f8e
136341at32523	1415176_0:000608
136697at32523	1415176_0:003d90
136705at32523	1415176_0:0036bf
136715at32523	1415176_0:002443
13671at32523	1415176_0:003c10
136752at32523	1415176_0:000e0d
136768at32523	1415176_0:002227
136780at32523	1415176_0:001035
136789at32523	1415176_0:002383
136833at32523	1415176_0:002d8a
136883at32523	1415176_0:002182
137003at32523	1415176_0:003dc1
13705at32523	1415176_0:000b39
137083at32523	1415176_0:003cbc
137112at32523	1415176_0:00328c
137161at32523	1415176_0:00099c
137199at32523	1415176_0:00200d
137251at32523	1415176_0:0041b1
137316at32523	1415176_0:0041af
137324at32523	1415176_0:003874
137553at32523	1415176_0:001181
137560at32523	1415176_0:00360c
137662at32523	1415176_0:000bac
137697at32523	1415176_0:000867
137727at32523	1415176_0:000ba7
137765at32523	1415176_0:000c83
137810at32523	1415176_0:000597
137836at32523	1415176_0:00028b
13794at32523	1415176_0:0039dd
138009at32523	1415176_0:00088a
138010at32523	1415176_0:000838
138015at32523	1415176_0:0036a4
138099at32523	1415176_0:0035a3
138161at32523	1415176_0:0023f0
13828at32523	1415176_0:002a49
138387at32523	1415176_0:00058e
138400at32523	1415176_0:003746
138430at32523	1415176_0:0022fc
138465at32523	1415176_0:0036ac
138588at32523	1415176_0:00192a
138615at32523	1415176_0:000c54
138631at32523	1415176_0:000118
138747at32523	1415176_0:0014de
138754at32523	1415176_0:003017
138762at32523	1415176_0:0040cb
138863at32523	1415176_0:002d06
138888at32523	1415176_0:000d40
138953at32523	1415176_0:001eef
139002at32523	1415176_0:0042e0
139005at32523	1415176_0:000a04
139006at32523	1415176_0:001444
139137at32523	1415176_0:000391
139146at32523	1415176_0:001ac5
139146at32523	1415176_0:003f23
139147at32523	1415176_0:0015fa
139217at32523	1415176_0:001fac
139223at32523	1415176_0:003c4e
139285at32523	1415176_0:00281b
139285at32523	1415176_0:00281d
139327at32523	1415176_0:004314
139376at32523	1415176_0:003562
139378at32523	1415176_0:000df1
139406at32523	1415176_0:000e57
139448at32523	1415176_0:00119d
139448at32523	1415176_0:0011a1
13944at32523	1415176_0:0015e0
13946at32523	1415176_0:00050a
139628at32523	1415176_0:002e6e
139654at32523	1415176_0:003073
139657at32523	1415176_0:002377
139691at32523	1415176_0:001f97
139731at32523	1415176_0:00187c
139756at32523	1415176_0:003d7c
139887at32523	1415176_0:003d48
140105at32523	1415176_0:00369f
14011at32523	1415176_0:002c3a
140141at32523	1415176_0:002730
140174at32523	1415176_0:000fec
140221at32523	1415176_0:00058c
140314at32523	1415176_0:001f5a
140603at32523	1415176_0:0036f1
140700at32523	1415176_0:004200
140712at32523	1415176_0:0018ad
14074at32523	1415176_0:00385e
140837at32523	1415176_0:003c2b
140901at32523	1415176_0:003ab5
140988at32523	1415176_0:003dfc
141057at32523	1415176_0:0025c3
141108at32523	1415176_0:003134
141209at32523	1415176_0:00462d
141209at32523	1415176_0:004630
141227at32523	1415176_0:0021da
141234at32523	1415176_0:0000a6
141239at32523	1415176_0:000ffb
141279at32523	1415176_0:0030fe
141334at32523	1415176_0:000aab
141340at32523	1415176_0:00077c
141390at32523	1415176_0:004415
141418at32523	1415176_0:002f11
14142at32523	1415176_0:002eb3
141469at32523	1415176_0:00206e
141518at32523	1415176_0:0028b1
141597at32523	1415176_0:001c04
141624at32523	1415176_0:003599
141791at32523	1415176_0:0023a3
141874at32523	1415176_0:00082b
141926at32523	1415176_0:002852
141965at32523	1415176_0:0010ac
142005at32523	1415176_0:003c97
142022at32523	1415176_0:003598
142027at32523	1415176_0:001849
142037at32523	1415176_0:001d7e
14203at32523	1415176_0:0003a8
142053at32523	1415176_0:0018a8
142117at32523	1415176_0:001c8f
142125at32523	1415176_0:001e9e
142150at32523	1415176_0:003a06
142178at32523	1415176_0:001aa6
142349at32523	1415176_0:0004ee
142371at32523	1415176_0:001188
142406at32523	1415176_0:00078a
142484at32523	1415176_0:00341e
142537at32523	1415176_0:00002c
142624at32523	1415176_0:0039f8
14268at32523	1415176_0:0017db
142771at32523	1415176_0:003b75
142826at32523	1415176_0:002879
142837at32523	1415176_0:001c92
142846at32523	1415176_0:0009c4
142856at32523	1415176_0:002916
142862at32523	1415176_0:003dbd
142903at32523	1415176_0:00218c
143078at32523	1415176_0:003e75
14307at32523	1415176_0:0027e4
143217at32523	1415176_0:001981
143241at32523	1415176_0:001c3b
143387at32523	1415176_0:0007d2
143387at32523	1415176_0:0007d5
143474at32523	1415176_0:002830
143511at32523	1415176_0:00264b
143526at32523	1415176_0:0016bf
143557at32523	1415176_0:0013a1
143618at32523	1415176_0:000ab5
143634at32523	1415176_0:00440c
143774at32523	1415176_0:00126b
143915at32523	1415176_0:0023b6
14391at32523	1415176_0:000c32
144000at32523	1415176_0:000a2f
144001at32523	1415176_0:000eda
144070at32523	1415176_0:001cd1
14413at32523	1415176_0:00254c
144146at32523	1415176_0:0023c2
144155at32523	1415176_0:0027b3
144209at32523	1415176_0:001375
144258at32523	1415176_0:001c59
144299at32523	1415176_0:000f4c
144300at32523	1415176_0:002e77
144300at32523	1415176_0:002e7c
144301at32523	1415176_0:000edb
144308at32523	1415176_0:002ff3
144360at32523	1415176_0:0018e0
144435at32523	1415176_0:001527
144469at32523	1415176_0:0039b3
