100073at32523	8469_0:000944
10881at32523	8469_0:0038fc
108863at32523	8469_0:003c2c
108898at32523	8469_0:000f25
108945at32523	8469_0:000704
108973at32523	8469_0:00100d
108998at32523	8469_0:003158
109060at32523	8469_0:000d93
109107at32523	8469_0:002e80
109112at32523	8469_0:003e18
109155at32523	8469_0:002ec7
109227at32523	8469_0:001a8b
109312at32523	8469_0:001dcf
109331at32523	8469_0:0025e1
109347at32523	8469_0:001a9a
109356at32523	8469_0:00177b
109366at32523	8469_0:0018ce
1093at32523	8469_0:0013f6
109425at32523	8469_0:000623
10949at32523	8469_0:001614
109514at32523	8469_0:003a95
109602at32523	8469_0:0004c6
109624at32523	8469_0:001392
109646at32523	8469_0:0013cf
109650at32523	8469_0:002835
109723at32523	8469_0:001142
109835at32523	8469_0:00059a
109851at32523	8469_0:001ea0
109929at32523	8469_0:002968
109971at32523	8469_0:000e89
109977at32523	8469_0:00178e
110019at32523	8469_0:0033e9
110140at32523	8469_0:0004bc
110217at32523	8469_0:001332
110242at32523	8469_0:003a7b
11031at32523	8469_0:001eab
110363at32523	8469_0:0042c0
110563at32523	8469_0:000e3c
110575at32523	8469_0:0014ea
110615at32523	8469_0:002718
110637at32523	8469_0:0018d9
110654at32523	8469_0:000fb8
110811at32523	8469_0:00401c
110876at32523	8469_0:0008d0
11088at32523	8469_0:000c77
110921at32523	8469_0:0032e8
110948at32523	8469_0:0039cf
111050at32523	8469_0:001c76
111173at32523	8469_0:0005b0
111184at32523	8469_0:0004e1
111190at32523	8469_0:0027a6
111285at32523	8469_0:002b64
111303at32523	8469_0:003cef
111371at32523	8469_0:0007f3
111464at32523	8469_0:000a45
111475at32523	8469_0:002b91
111650at32523	8469_0:00123e
111843at32523	8469_0:003755
11195at32523	8469_0:003c49
112209at32523	8469_0:001a23
112288at32523	8469_0:001968
112312at32523	8469_0:000e42
112317at32523	8469_0:001f20
112394at32523	8469_0:002c56
112399at32523	8469_0:000f29
112421at32523	8469_0:0027ae
112434at32523	8469_0:00306e
11278at32523	8469_0:0006ac
112833at32523	8469_0:000b92
112843at32523	8469_0:003175
112844at32523	8469_0:004412
112998at32523	8469_0:000847
11302at32523	8469_0:002b4c
113035at32523	8469_0:0002d7
113062at32523	8469_0:000d69
113162at32523	8469_0:0021d5
113181at32523	8469_0:004190
113182at32523	8469_0:003c98
113206at32523	8469_0:0025ea
113306at32523	8469_0:002e9c
113306at32523	8469_0:004171
11337at32523	8469_0:001df3
113548at32523	8469_0:000d9a
113557at32523	8469_0:003a9f
113562at32523	8469_0:000fbd
113563at32523	8469_0:000784
113567at32523	8469_0:00250e
113607at32523	8469_0:001d83
113678at32523	8469_0:00193b
113787at32523	8469_0:002c1f
113921at32523	8469_0:001bb6
113971at32523	8469_0:002b95
113987at32523	8469_0:001aa4
114091at32523	8469_0:0007cd
114099at32523	8469_0:0009bf
114228at32523	8469_0:00177d
114246at32523	8469_0:00393a
114354at32523	8469_0:00108e
114384at32523	8469_0:00329d
114393at32523	8469_0:002dfd
114397at32523	8469_0:003f05
114439at32523	8469_0:003944
114448at32523	8469_0:003723
114451at32523	8469_0:0036cf
114457at32523	8469_0:000933
11446at32523	8469_0:0017d8
114567at32523	8469_0:000f7c
114654at32523	8469_0:003a51
114659at32523	8469_0:003a4e
11466at32523	8469_0:002256
114689at32523	8469_0:0013fc
114733at32523	8469_0:0007d8
114777at32523	8469_0:0017c8
114783at32523	8469_0:002dc8
114808at32523	8469_0:003bae
114923at32523	8469_0:004263
115074at32523	8469_0:00452f
115119at32523	8469_0:00385b
115135at32523	8469_0:003738
115136at32523	8469_0:0011c1
115212at32523	8469_0:004432
11525at32523	8469_0:002c89
115278at32523	8469_0:003825
115292at32523	8469_0:0019f7
115348at32523	8469_0:003dbf
115359at32523	8469_0:000a75
115468at32523	8469_0:0007ed
115484at32523	8469_0:0034bf
115499at32523	8469_0:003963
115587at32523	8469_0:000475
115644at32523	8469_0:003388
115678at32523	8469_0:0017d3
115729at32523	8469_0:003fe7
115764at32523	8469_0:00307e
115831at32523	8469_0:0004f4
116004at32523	8469_0:0039c9
116031at32523	8469_0:001b5f
116059at32523	8469_0:002b13
116128at32523	8469_0:002961
116132at32523	8469_0:0018d8
116183at32523	8469_0:0014f9
116192at32523	8469_0:0012cd
116216at32523	8469_0:00164b
116236at32523	8469_0:000714
116242at32523	8469_0:0016f8
116298at32523	8469_0:00043a
116407at32523	8469_0:000ffe
116463at32523	8469_0:00197d
116464at32523	8469_0:000043
116517at32523	8469_0:0029d4
116561at32523	8469_0:0017c2
116569at32523	8469_0:000036
116580at32523	8469_0:001e47
116598at32523	8469_0:001ccc
116657at32523	8469_0:001b8f
116676at32523	8469_0:0028a6
116722at32523	8469_0:002d7e
116780at32523	8469_0:000584
116784at32523	8469_0:0020dc
116885at32523	8469_0:000e21
117055at32523	8469_0:00343e
117071at32523	8469_0:0028d9
117158at32523	8469_0:0023ad
117316at32523	8469_0:002d9c
117319at32523	8469_0:0027b1
117333at32523	8469_0:00233c
117352at32523	8469_0:003cae
117356at32523	8469_0:002aa1
117499at32523	8469_0:000fe9
1174at32523	8469_0:001447
11754at32523	8469_0:0023dc
117562at32523	8469_0:001835
117571at32523	8469_0:003f30
117710at32523	8469_0:00376b
117717at32523	8469_0:002d53
11773at32523	8469_0:00335e
118030at32523	8469_0:000bb1
118055at32523	8469_0:002b98
118167at32523	8469_0:0011dd
118231at32523	8469_0:00234e
118239at32523	8469_0:0015b8
118292at32523	8469_0:0010c1
118318at32523	8469_0:00312e
118322at32523	8469_0:001515
118322at32523	8469_0:001555
118504at32523	8469_0:001902
11855at32523	8469_0:00282a
118610at32523	8469_0:000538
118640at32523	8469_0:00448d
118658at32523	8469_0:002e3f
118790at32523	8469_0:002aad
118813at32523	8469_0:00418b
118839at32523	8469_0:000058
118895at32523	8469_0:002dc4
118901at32523	8469_0:002b9d
118907at32523	8469_0:002a71
118915at32523	8469_0:002097
118955at32523	8469_0:0002c7
118979at32523	8469_0:001d5f
11900at32523	8469_0:000b40
119090at32523	8469_0:002a72
119112at32523	8469_0:000d68
119144at32523	8469_0:001339
119217at32523	8469_0:0009a6
119258at32523	8469_0:0041f8
119260at32523	8469_0:003b33
119267at32523	8469_0:00208d
119364at32523	8469_0:0018d4
119371at32523	8469_0:002f78
119417at32523	8469_0:001834
119436at32523	8469_0:003189
119446at32523	8469_0:001b27
119509at32523	8469_0:002422
119513at32523	8469_0:002c9d
119568at32523	8469_0:002aeb
119571at32523	8469_0:001da4
119577at32523	8469_0:0021ce
119666at32523	8469_0:002196
119720at32523	8469_0:003e06
119840at32523	8469_0:0029dc
119863at32523	8469_0:003f15
119909at32523	8469_0:001794
11992at32523	8469_0:002524
119977at32523	8469_0:002f73
119988at32523	8469_0:0027e5
120023at32523	8469_0:00385a
12002at32523	8469_0:002cf3
120146at32523	8469_0:001a7c
120186at32523	8469_0:0022e8
120192at32523	8469_0:00290e
120234at32523	8469_0:004274
120245at32523	8469_0:002b81
120253at32523	8469_0:00360e
120257at32523	8469_0:0029e1
120363at32523	8469_0:000488
120495at32523	8469_0:002d2f
120510at32523	8469_0:003804
120528at32523	8469_0:004469
120535at32523	8469_0:002771
120577at32523	8469_0:002d0f
120594at32523	8469_0:002736
120928at32523	8469_0:0038fd
121011at32523	8469_0:00437d
121108at32523	8469_0:000411
121120at32523	8469_0:001869
121184at32523	8469_0:0041fa
121201at32523	8469_0:0033be
121264at32523	8469_0:001986
121275at32523	8469_0:001815
121285at32523	8469_0:0042af
121468at32523	8469_0:001e6c
121471at32523	8469_0:003cb7
121474at32523	8469_0:0024ab
121481at32523	8469_0:0043e3
121499at32523	8469_0:00002e
121512at32523	8469_0:0033af
121526at32523	8469_0:001dda
121589at32523	8469_0:003883
121708at32523	8469_0:000247
12176at32523	8469_0:0033e5
121793at32523	8469_0:0013c4
121983at32523	8469_0:0018d1
121993at32523	8469_0:002a6d
122011at32523	8469_0:0026d1
122018at32523	8469_0:002bb0
122044at32523	8469_0:0021c3
122093at32523	8469_0:003de0
122167at32523	8469_0:0022eb
122221at32523	8469_0:001687
122335at32523	8469_0:000867
122349at32523	8469_0:004422
122359at32523	8469_0:0008cd
122544at32523	8469_0:002d18
122566at32523	8469_0:000a15
12263at32523	8469_0:000cc7
122656at32523	8469_0:0038a6
122695at32523	8469_0:001b83
122749at32523	8469_0:002ac1
122907at32523	8469_0:002aba
122928at32523	8469_0:000287
122940at32523	8469_0:002459
122941at32523	8469_0:002c25
122950at32523	8469_0:00037f
122960at32523	8469_0:004347
122967at32523	8469_0:00262b
122969at32523	8469_0:00007a
12302at32523	8469_0:002b7f
123057at32523	8469_0:002449
123090at32523	8469_0:0014d1
123135at32523	8469_0:0039ce
123139at32523	8469_0:002533
12314at32523	8469_0:000a77
12325at32523	8469_0:0034b8
123289at32523	8469_0:001cf4
123480at32523	8469_0:001c18
12350at32523	8469_0:002094
123644at32523	8469_0:0018ba
123648at32523	8469_0:000de4
12370at32523	8469_0:002710
123728at32523	8469_0:0005f7
123751at32523	8469_0:00143d
123811at32523	8469_0:002ba0
123902at32523	8469_0:001282
123907at32523	8469_0:0013a6
123919at32523	8469_0:002d91
123927at32523	8469_0:003bf5
123938at32523	8469_0:003801
124004at32523	8469_0:003aac
124036at32523	8469_0:0000e9
124056at32523	8469_0:00271b
1240at32523	8469_0:002bc4
124180at32523	8469_0:0013cc
124185at32523	8469_0:0030fe
124255at32523	8469_0:00149b
124263at32523	8469_0:00220d
124289at32523	8469_0:001dbd
124297at32523	8469_0:000055
124314at32523	8469_0:00195f
124451at32523	8469_0:003d13
124465at32523	8469_0:000af4
124505at32523	8469_0:00300a
124555at32523	8469_0:002793
124589at32523	8469_0:001eed
124648at32523	8469_0:002a1e
124651at32523	8469_0:0006eb
124683at32523	8469_0:001525
124770at32523	8469_0:000c00
12479at32523	8469_0:000e1a
1247at32523	8469_0:002664
124887at32523	8469_0:00116a
124988at32523	8469_0:0039d9
125055at32523	8469_0:003baa
125111at32523	8469_0:0037f6
125113at32523	8469_0:000f96
125206at32523	8469_0:0014fa
125210at32523	8469_0:0005c1
125224at32523	8469_0:002104
125310at32523	8469_0:0037c8
125351at32523	8469_0:00323c
125390at32523	8469_0:000746
125671at32523	8469_0:001f01
125685at32523	8469_0:000898
125701at32523	8469_0:0003ad
125782at32523	8469_0:000485
125793at32523	8469_0:002216
125910at32523	8469_0:00126f
126074at32523	8469_0:001d68
126133at32523	8469_0:004348
126373at32523	8469_0:001f10
126395at32523	8469_0:000af9
126407at32523	8469_0:001e1f
126505at32523	8469_0:003f74
126597at32523	8469_0:00371a
126689at32523	8469_0:001706
126721at32523	8469_0:002bba
126901at32523	8469_0:001678
126941at32523	8469_0:002440
126946at32523	8469_0:0033ca
126992at32523	8469_0:001d38
127099at32523	8469_0:001625
127100at32523	8469_0:003dcc
127141at32523	8469_0:002051
127149at32523	8469_0:0012d8
127170at32523	8469_0:00197b
127181at32523	8469_0:0028cf
127183at32523	8469_0:003ce1
127304at32523	8469_0:0007a8
127324at32523	8469_0:000698
127447at32523	8469_0:004298
127505at32523	8469_0:003c1f
127508at32523	8469_0:00397c
127696at32523	8469_0:0036ca
127797at32523	8469_0:0011f6
127883at32523	8469_0:001221
127900at32523	8469_0:0023cf
128019at32523	8469_0:000f9d
128067at32523	8469_0:0008a3
128087at32523	8469_0:004273
128093at32523	8469_0:00310a
128177at32523	8469_0:003074
128219at32523	8469_0:000c26
128317at32523	8469_0:00173d
128346at32523	8469_0:000c2f
128422at32523	8469_0:0021b5
128486at32523	8469_0:0042b6
128643at32523	8469_0:001c78
128696at32523	8469_0:0042b8
128718at32523	8469_0:000749
128719at32523	8469_0:0005e0
128737at32523	8469_0:002d17
128741at32523	8469_0:001077
128806at32523	8469_0:0019b3
128883at32523	8469_0:003b22
128891at32523	8469_0:000a65
129099at32523	8469_0:003142
129141at32523	8469_0:0039c0
129250at32523	8469_0:000d3a
129376at32523	8469_0:000abc
129406at32523	8469_0:00393f
129418at32523	8469_0:002fd8
129460at32523	8469_0:0008c0
129465at32523	8469_0:001653
129649at32523	8469_0:00448b
129664at32523	8469_0:002305
129665at32523	8469_0:004157
129777at32523	8469_0:0027f7
129800at32523	8469_0:00121f
129874at32523	8469_0:00153f
129956at32523	8469_0:00032b
129996at32523	8469_0:000fb1
130080at32523	8469_0:000f80
130115at32523	8469_0:0007ce
130148at32523	8469_0:003757
130200at32523	8469_0:000931
130217at32523	8469_0:003fd9
130225at32523	8469_0:001fda
130229at32523	8469_0:001822
130233at32523	8469_0:001a33
130319at32523	8469_0:001268
13033at32523	8469_0:00062d
130390at32523	8469_0:001655
130390at32523	8469_0:0040b4
130393at32523	8469_0:000876
130399at32523	8469_0:0039a8
130462at32523	8469_0:0026c2
130466at32523	8469_0:001741
130482at32523	8469_0:003a5c
130600at32523	8469_0:000845
130632at32523	8469_0:001654
130721at32523	8469_0:0012d6
130802at32523	8469_0:001781
130932at32523	8469_0:002b5a
130936at32523	8469_0:001a5c
131044at32523	8469_0:0022fd
131091at32523	8469_0:00333b
131134at32523	8469_0:000637
131366at32523	8469_0:00337e
131408at32523	8469_0:001971
131464at32523	8469_0:00160a
131584at32523	8469_0:002574
131624at32523	8469_0:0003ef
131697at32523	8469_0:00002f
13169at32523	8469_0:000ea5
131824at32523	8469_0:00379d
131843at32523	8469_0:003af1
132033at32523	8469_0:0017dc
132085at32523	8469_0:002eb1
132121at32523	8469_0:000863
132150at32523	8469_0:001de9
132310at32523	8469_0:0009bb
132319at32523	8469_0:003bb4
132408at32523	8469_0:00287b
132426at32523	8469_0:00429a
132493at32523	8469_0:0012ff
132496at32523	8469_0:004433
132580at32523	8469_0:00170a
132586at32523	8469_0:000f77
132590at32523	8469_0:002b9e
132719at32523	8469_0:001f56
132813at32523	8469_0:0020f9
132836at32523	8469_0:002d37
132999at32523	8469_0:0043d2
133001at32523	8469_0:00447f
133131at32523	8469_0:001376
133132at32523	8469_0:003ab7
133170at32523	8469_0:00277c
133235at32523	8469_0:001bd5
133248at32523	8469_0:000ae8
133266at32523	8469_0:002660
133315at32523	8469_0:001fa5
133368at32523	8469_0:00197e
133380at32523	8469_0:00104d
133426at32523	8469_0:0010c7
133600at32523	8469_0:00379b
133621at32523	8469_0:0032b8
133626at32523	8469_0:00339c
133706at32523	8469_0:001279
133742at32523	8469_0:0039ad
133765at32523	8469_0:001e74
133800at32523	8469_0:0025e9
133898at32523	8469_0:001f3e
133989at32523	8469_0:002612
134031at32523	8469_0:000bc3
134044at32523	8469_0:002bcd
134124at32523	8469_0:00184b
134141at32523	8469_0:002628
134159at32523	8469_0:001ced
134350at32523	8469_0:0020a3
134360at32523	8469_0:003447
134376at32523	8469_0:001629
134415at32523	8469_0:0011c8
134419at32523	8469_0:004545
134448at32523	8469_0:003085
134484at32523	8469_0:000727
134608at32523	8469_0:0037b4
134629at32523	8469_0:000c14
134671at32523	8469_0:001c62
134746at32523	8469_0:00393c
134798at32523	8469_0:004304
134811at32523	8469_0:001ee6
134832at32523	8469_0:002a6a
134965at32523	8469_0:00069f
134992at32523	8469_0:003da7
134999at32523	8469_0:0025ec
135004at32523	8469_0:0029e3
135005at32523	8469_0:000ca3
135019at32523	8469_0:0023f7
135026at32523	8469_0:0020d3
135046at32523	8469_0:002e5c
135073at32523	8469_0:00092c
135079at32523	8469_0:0018a2
135094at32523	8469_0:0037e3
135116at32523	8469_0:001415
135131at32523	8469_0:001175
135233at32523	8469_0:00052b
135243at32523	8469_0:004075
135286at32523	8469_0:003bd7
135387at32523	8469_0:003ea9
135414at32523	8469_0:00443a
135451at32523	8469_0:002d68
135502at32523	8469_0:002cb2
135504at32523	8469_0:001598
13552at32523	8469_0:00000d
135534at32523	8469_0:002c2a
135540at32523	8469_0:00151a
135540at32523	8469_0:003077
135651at32523	8469_0:0032d6
135697at32523	8469_0:0042f0
135698at32523	8469_0:001bd2
135809at32523	8469_0:00137a
135990at32523	8469_0:002bb6
136001at32523	8469_0:000c1d
136046at32523	8469_0:0025d7
136073at32523	8469_0:003daa
136173at32523	8469_0:0038b7
136252at32523	8469_0:002089
136320at32523	8469_0:004510
136341at32523	8469_0:001868
136697at32523	8469_0:002b0d
136705at32523	8469_0:0012e8
136715at32523	8469_0:003535
13671at32523	8469_0:002ff3
136752at32523	8469_0:001702
13675at32523	8469_0:000988
136768at32523	8469_0:002243
136780at32523	8469_0:00403a
136781at32523	8469_0:003b16
136789at32523	8469_0:002a7e
136833at32523	8469_0:002f52
136883at32523	8469_0:003bdd
136at32523	8469_0:000575
137003at32523	8469_0:000042
13705at32523	8469_0:003113
137083at32523	8469_0:001b13
137112at32523	8469_0:00271f
137161at32523	8469_0:003b47
137199at32523	8469_0:00128e
137251at32523	8469_0:0015c4
137316at32523	8469_0:0015ba
137324at32523	8469_0:0036c2
137553at32523	8469_0:00266f
137560at32523	8469_0:002169
137575at32523	8469_0:003052
137662at32523	8469_0:0028d0
137697at32523	8469_0:000f52
137727at32523	8469_0:0028e1
137765at32523	8469_0:000c2b
137810at32523	8469_0:000642
137836at32523	8469_0:001aa7
13794at32523	8469_0:00236b
138009at32523	8469_0:0008cf
138010at32523	8469_0:0029de
138015at32523	8469_0:003131
138099at32523	8469_0:001626
138161at32523	8469_0:002ac8
13828at32523	8469_0:00211b
138387at32523	8469_0:00060f
138400at32523	8469_0:0015da
138430at32523	8469_0:0042c3
138465at32523	8469_0:0010c3
138588at32523	8469_0:000b9b
138615at32523	8469_0:0034df
138626at32523	8469_0:00324b
138631at32523	8469_0:003fa8
138747at32523	8469_0:001b3e
138754at32523	8469_0:0029d8
138762at32523	8469_0:001ef4
138863at32523	8469_0:001c45
138888at32523	8469_0:001e6d
138953at32523	8469_0:0039f5
139002at32523	8469_0:004329
139005at32523	8469_0:001440
139006at32523	8469_0:004093
139137at32523	8469_0:001f48
139146at32523	8469_0:001570
139147at32523	8469_0:0018ee
139217at32523	8469_0:0018f4
139223at32523	8469_0:002c75
139285at32523	8469_0:001b1f
139327at32523	8469_0:00189a
139376at32523	8469_0:000935
139378at32523	8469_0:000384
139406at32523	8469_0:001190
139448at32523	8469_0:002d2a
13944at32523	8469_0:002d19
13946at32523	8469_0:000713
139628at32523	8469_0:00201c
139654at32523	8469_0:0023ef
139657at32523	8469_0:002338
139691at32523	8469_0:002a1b
139731at32523	8469_0:002573
139756at32523	8469_0:002afb
13981at32523	8469_0:000744
139887at32523	8469_0:00215b
140105at32523	8469_0:003129
14011at32523	8469_0:0007dc
140141at32523	8469_0:0027fb
140174at32523	8469_0:0041b5
140221at32523	8469_0:000635
140314at32523	8469_0:004048
140603at32523	8469_0:003fbe
140700at32523	8469_0:000285
140712at32523	8469_0:00171b
14074at32523	8469_0:001d36
140837at32523	8469_0:0026df
140901at32523	8469_0:000c62
140988at32523	8469_0:000685
141057at32523	8469_0:004136
141108at32523	8469_0:00115a
141209at32523	8469_0:0007bb
141227at32523	8469_0:0000b4
141227at32523	8469_0:0022f9
141234at32523	8469_0:0016c5
141239at32523	8469_0:001396
141279at32523	8469_0:0011db
141334at32523	8469_0:001fcb
141340at32523	8469_0:00123a
141390at32523	8469_0:00162a
141418at32523	8469_0:002d8a
14142at32523	8469_0:00405a
141469at32523	8469_0:001ff9
141518at32523	8469_0:001efd
141597at32523	8469_0:001810
141624at32523	8469_0:002540
141791at32523	8469_0:001ff5
141874at32523	8469_0:0029dd
141926at32523	8469_0:0021b1
141965at32523	8469_0:000e6a
142005at32523	8469_0:0017f2
142022at32523	8469_0:00254d
142027at32523	8469_0:0038ef
142030at32523	8469_0:001bba
142037at32523	8469_0:0020a8
14203at32523	8469_0:003ffc
142053at32523	8469_0:00172b
142117at32523	8469_0:000fbc
142125at32523	8469_0:001c0f
142150at32523	8469_0:0036f5
142178at32523	8469_0:001d1e
142349at32523	8469_0:003310
142371at32523	8469_0:002663
142406at32523	8469_0:002e93
142484at32523	8469_0:001b80
142537at32523	8469_0:001dcc
142573at32523	8469_0:000ba3
142624at32523	8469_0:000a44
14268at32523	8469_0:00325d
142771at32523	8469_0:000f61
142826at32523	8469_0:0042b7
142837at32523	8469_0:000fd9
142846at32523	8469_0:00133f
142856at32523	8469_0:0031ce
142862at32523	8469_0:00002b
142903at32523	8469_0:0023a7
142910at32523	8469_0:001b3f
143078at32523	8469_0:001777
14307at32523	8469_0:00114c
143217at32523	8469_0:0032a5
143241at32523	8469_0:001bb5
143387at32523	8469_0:002baa
143474at32523	8469_0:001ab5
143511at32523	8469_0:000215
143526at32523	8469_0:000662
143557at32523	8469_0:0026dc
143618at32523	8469_0:001fc7
143634at32523	8469_0:0020de
143774at32523	8469_0:000ef3
143915at32523	8469_0:0022c8
14391at32523	8469_0:0011da
144000at32523	8469_0:0007a6
144001at32523	8469_0:003324
144070at32523	8469_0:000db1
144087at32523	8469_0:0033d5
14413at32523	8469_0:000a01
144146at32523	8469_0:0022df
144155at32523	8469_0:0042ba
144209at32523	8469_0:0015fe
144258at32523	8469_0:000162
144299at32523	8469_0:0021d8
144300at32523	8469_0:000762
144301at32523	8469_0:00329a
144308at32523	8469_0:000057
144360at32523	8469_0:004295
144435at32523	8469_0:000118
144469at32523	8469_0:00271e
144618at32523	8469_0:001f32
144650at32523	8469_0:0008ca
144656at32523	8469_0:0034e6
144670at32523	8469_0:0006cd
144772at32523	8469_0:000393
144781at32523	8469_0:001f5f
144786at32523	8469_0:002353
144794at32523	8469_0:002891
144934at32523	8469_0:001b7a
145097at32523	8469_0:002203
145103at32523	8469_0:001c50
145184at32523	8469_0:003ae9
145190at32523	8469_0:003000
145193at32523	8469_0:002fa1
14519at32523	8469_0:002cee
145233at32523	8469_0:0036bd
145311at32523	8469_0:002bab
145343at32523	8469_0:003207
145427at32523	8469_0:0026e8
145469at32523	8469_0:002a86
145492at32523	8469_0:003159
145527at32523	8469_0:0014e8
145540at32523	8469_0:0039e9
145548at32523	8469_0:002c97
145562at32523	8469_0:003f29
145578at32523	8469_0:002ea3
145603at32523	8469_0:00363e
145628at32523	8469_0:003901
145721at32523	8469_0:004098
145779at32523	8469_0:003598
145796at32523	8469_0:004081
145866at32523	8469_0:001298
145923at32523	8469_0:0027ba
145957at32523	8469_0:002b7c
145983at32523	8469_0:0014d0
146084at32523	8469_0:000eae
146129at32523	8469_0:001759
146229at32523	8469_0:003ee8
146243at32523	8469_0:0016cc
146381at32523	8469_0:002eae
146394at32523	8469_0:00143b
146418at32523	8469_0:003352
146431at32523	8469_0:000e96
146507at32523	8469_0:004198
146509at32523	8469_0:00085c
