gene_name	KO	thrshld	score	E-value KO definition
8478_0:0000a2	K17410	117.73	442.3	1.5e-132 small subunit ribosomal protein S31
8478_0:0000a5	K20293	92.5	1068.7	0 conserved oligomeric Golgi complex subunit 6
8478_0:0000a6	K24675	739.93	1725.6	0 zinc finger MYM-type protein 2/3/4
8478_0:0000a7	K20290	119.77	1304.3	0 conserved oligomeric Golgi complex subunit 3
8478_0:0000a8	K25447	310.43	796.9	1e-239 olfactomedin-4
8478_0:0000a9	K26953	121.7	277.8	9.3e-83 TPA-induced transmembrane protein
8478_0:0000aa	K09191	325.1	326.7	2.2e-97 general transcription factor IIIA
8478_0:0000ab	K04257	107.23	414.5	3.4e-124 olfactory receptor
8478_0:0000ac	K24057	555.4	807.3	5e-243 DZ domain-containing protein 1
8478_0:0000ad	K16533	262.37	3775.1	0 centrosomal protein CEP290
8478_0:0000ae	K04257	107.23	452.2	1.2e-135 olfactory receptor
8478_0:0000af	K06627	355.03	472.9	8.5e-142 cyclin-A
8478_0:0000b0	K09228	360.37	552.4	1.1e-165 KRAB domain-containing zinc finger protein
8478_0:0000b1	K11494	226.97	1002.2	9.3e-302 RCC1 and BTB domain-containing protein
8478_0:0000b2	K04257	107.23	464	3.4e-139 olfactory receptor
8478_0:0000b3	K09519	424.33	556.4	2.8e-167 DnaJ homolog subfamily B member 13
8478_0:0000b4	K00070	405	591.7	6.6e-178 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
8478_0:0000b5	K05048	936.57	1041	0 solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20
8478_0:0000b6	K07951	199.13	378.9	3.2e-114 ADP-ribosylation factor-like protein 6
8478_0:0000b7	K04617	418.87	974.8	2.9e-293 gamma-aminobutyric acid type B receptor-like
8478_0:0000b8	K09191	325.1	331.9	5.6e-99 general transcription factor IIIA
8478_0:0000b9	K22869	197.4	1142.6	0 WD repeat-containing protein 60
8478_0:0000bb	K15103	330.33	644.2	6.9e-194 solute carrier family 25 (mitochondrial uncoupling protein), member 8/9
8478_0:0000bc	K15407	261.23	600.5	2.1e-180 queuine tRNA-ribosyltransferase accessory subunit
8478_0:0000bd	K20028	241.3	555.5	6.5e-167 palmitoyltransferase ZDHHC2/15/20 [EC:2.3.1.225]
8478_0:0000be	K26092	281.33	658.7	1.2e-197 holliday junction recognition protein
8478_0:0000bf	K08562	336.8	493	1.9e-148 nuclear receptor subfamily 0 group B member 1
8478_0:0000c0	K05810	46.23	265.3	4.6e-79 purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
8478_0:0000c1	K06556	152.17	292.9	2.1e-87 CD200 antigen
8478_0:0000c2	K04257	107.23	460.9	3e-138 olfactory receptor
8478_0:0000c4	K24997	236.03	834.5	2.4e-251 ganglioside-induced differentiation-associated protein 2
8478_0:0000c5	K11887	145.47	722.9	1e-217 proteasomal ATPase-associated factor 1
8478_0:0000c6	K21760	435.13	881.2	2.5e-265 protein-L-histidine (3S)-3-hydroxylase / [histone H3]-trimethyl-L-lysine9 demethylase [EC:1.14.11.79 1.14.11.66]
8478_0:0000c7	K06791	340.67	869.3	5.6e-262 immunoglobulin superfamily, member 11
8478_0:0000c8	K14165	151.57	155.3	1.4e-45 atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
8478_0:0000cc	K26096	51.7	652	4.3e-196 spindle and kinetochore-associated protein 3
8478_0:0000cd	K07617	632.97	811.5	4.8e-244 gap junction alpha-8 protein
8478_0:0000ce	K25512	165.53	366.4	1.7e-110 dermatopontin
8478_0:0000cf	K23505	64.3	418.6	1.5e-125 complex I assembly factor TIMMDC1
8478_0:0000d1	K13617	114.53	610.5	1.7e-183 protein phosphatase methylesterase 1 [EC:3.1.1.89]
8478_0:0000d2	K28133	70.33	605.8	4e-182 tubulin epsilon and delta complex protein 1
8478_0:0000d3	K13675	154.27	861.5	1.4e-259 UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase [EC:2.4.1.-]
8478_0:0000d4	K16717	165.2	1045.2	0 centrosomal protein CEP97
8478_0:0000d5	K23008	184.27	1065	0 SUMO-specific isopeptidase USPL1 [EC:3.4.22.-]
8478_0:0000d6	K03792	345.4	605.3	2.6e-182 N-acetyllactosaminide alpha-2,3-sialyltransferase (sialyltransferase 10) [EC:2.4.3.6]
8478_0:0000d7	K16474	272.17	1493.6	0 intraflagellar transport protein 88
8478_0:0000d8	K07959	303.93	325.3	1.9e-97 ADP-ribosylation factor-like protein 11
8478_0:0000d9	K04257	107.23	456.9	4.7e-137 olfactory receptor
8478_0:0000da	K07968	496.17	533.3	2.5e-160 beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-]
8478_0:0000dc	K09228	360.37	734.9	7.4e-221 KRAB domain-containing zinc finger protein
8478_0:0000dc	K09191	325.1	376	2.5e-112 general transcription factor IIIA
8478_0:0000dd	K15103	330.33	625.6	3e-188 solute carrier family 25 (mitochondrial uncoupling protein), member 8/9
8478_0:0000df	K04257	107.23	447.4	3.5e-134 olfactory receptor
8478_0:0000e0	K06712	262.2	307.1	1.4e-91 butyrophilin
8478_0:0000e1	K05170	490.07	1400.9	0 interleukin 1 receptor accessory protein-like
8478_0:0000e3	K18494	584.3	1199.9	0 [histone H3]-lysine9 N-trimethyltransferase SETDB2 [EC:2.1.1.355]
8478_0:0000e4	K17607	61.17	462.1	6.5e-139 type 2A phosphatase activator TIP41
8478_0:0000e5	K10498	245.07	1899.6	0 zinc finger and BTB domain-containing protein 11
8478_0:0000e6	K22828	537.6	868.3	2.8e-261 calcium uptake protein 2, mitochondrial
8478_0:0000e7	K21668	114.4	297.7	1.1e-88 cell surface glycoprotein CD200 receptor
8478_0:0000e8	K02349	830.67	2600.6	0 DNA polymerase theta [EC:2.7.7.7]
8478_0:0000ea	K04257	107.23	460.5	3.9e-138 olfactory receptor
8478_0:0000eb	K05172	759.07	804.8	2.7e-242 interleukin 1 receptor-like 2
8478_0:0000eb	K04386	630.87	672.2	5.3e-202 interleukin 1 receptor type I
8478_0:0000ec	K15146	35.5	421.7	8.5e-127 mediator of RNA polymerase II transcription subunit 4
8478_0:0000ed	K21245	174.93	1327.6	0 transcription factor SPT20 homolog
8478_0:0000ee	K13907	35.6	157.3	2.7e-46 cystatin-A/B
8478_0:0000ef	K05174	408	878.5	1.6e-264 interleukin 18 receptor accessory protein
8478_0:0000f0	K03083	786.4	816.4	5.2e-246 glycogen synthase kinase 3 beta [EC:2.7.11.26]
8478_0:0000f1	K17358	260.93	410	5.8e-123 tetraspanin-19
8478_0:0000f2	K25476	106.03	320.1	7e-96 protein CREG
8478_0:0000f4	K01300	580.4	820.1	4.6e-247 carboxypeptidase B2 [EC:3.4.17.20]
8478_0:0000f6	K05173	389.63	542.7	8.8e-163 interleukin 18 receptor 1
8478_0:0000f8	K21871	148.93	1273.5	0 M-phase phosphoprotein 8
8478_0:0000fa	K12572	247.63	1066	0 PAB-dependent poly(A)-specific ribonuclease subunit 3
8478_0:0000fc	K23794	252.97	1159.7	0 pleckstrin homology-like domain family B
8478_0:0000fd	K23912	210.4	639.3	2.9e-192 follistatin-related protein 1
8478_0:0000fe	K08127	412.53	522.9	3.9e-157 epiphycan
8478_0:0000ff	K04660	557.3	614.5	3e-185 decorin
8478_0:000100	K24538	225.57	545.4	5.2e-164 MAP3K12-binding inhibitory protein 1
8478_0:000101	K11842	519.03	852.1	8.9e-257 ubiquitin carboxyl-terminal hydrolase 12/46 [EC:3.4.19.12]
8478_0:000103	K05107	1825.57	2228.8	0 Eph receptor A6 [EC:2.7.10.1]
8478_0:000104	K15101	295.33	585.9	3.6e-176 solute carrier family 25 (mitochondrial ornithine transporter) member 2/15
8478_0:000105	K08122	451.67	629.5	4.8e-189 lumican
8478_0:000106	K06517	119.93	702.2	3.7e-211 CD96 antigen
8478_0:000108	K24642	268.43	477.6	4.8e-143 zinc finger BED domain-containing protein 5/7/8/9
8478_0:000109	K14443	33.4	234.8	1.1e-69 protein Tob/BTG
8478_0:00010a	K08596	507.33	530.7	4.7e-159 sentrin-specific protease 7 [EC:3.4.22.68]
8478_0:00010c	K10744	59.47	530.6	2.1e-159 ribonuclease H2 subunit B
8478_0:00010d	K06492	181.87	259.1	4e-77 CD58 antigen
8478_0:000110	K21643	177.97	281.5	1.1e-83 HMG box transcription factor BBX
8478_0:000111	K23354	154.23	756.4	7.3e-228 LIM and senescent cell antigen-like-containing domain protein 1/2
8478_0:000112	K22753	728.37	1022.3	0 E3 ubiquitin-protein ligase RNF6 [EC:2.3.2.27]
8478_0:000113	K09230	389.63	401.6	5.2e-120 SCAN domain-containing zinc finger protein
8478_0:000113	K09228	360.37	363.9	1.2e-108 KRAB domain-containing zinc finger protein
8478_0:000113	K09191	325.1	336.8	1.8e-100 general transcription factor IIIA
8478_0:000114	K04257	107.23	467.4	3e-140 olfactory receptor
8478_0:000115	K15432	46.27	364.4	2.7e-109 ashwin
8478_0:000118	K18411	100.67	497.2	3.4e-149 protein maelstrom
8478_0:000119	K13247	285.57	620.7	6.5e-187 L-gulonate 3-dehydrogenase [EC:1.1.1.45]
8478_0:00011a	K25509	300.87	665.5	1.3e-199 beta/gamma crystallin domain-containing protein
8478_0:00011d	K11168	256.03	684.6	3.8e-206 dehydrogenase/reductase SDR family member 12 [EC:1.1.-.-]
8478_0:00011e	K03908	943.9	1335.5	0 protein S
8478_0:00011f	K05492	127.9	391.5	2.5e-117 interleukin 17D
8478_0:000120	K04612	984.9	1541.3	0 calcium-sensing receptor
8478_0:000120	K04613	698.47	1065.8	0 vomeronasal 2 receptor
8478_0:000121	K23583	762.03	1129.9	0 importin subunit alpha-4/3
8478_0:000122	K01025	345.57	479.8	5.2e-144 sulfotransferase [EC:2.8.2.-]
8478_0:000124	K24794	315.37	964.4	2.6e-290 discoidin, CUB and LCCL domain-containing protein
8478_0:000125	K03136	46.3	427.1	7.9e-128 transcription initiation factor TFIIE subunit alpha
8478_0:000126	K01230	610.2	841	3e-253 mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]
8478_0:000127	K19862	554.73	583.7	1.2e-175 NCK adaptor protein 2
8478_0:000128	K08775	136.3	2010.9	0 breast cancer 2 susceptibility protein
8478_0:00012b	K17654	228	586.6	2.6e-176 mitochondrial ribonuclease P protein 1 [EC:2.1.1.-]
8478_0:00012c	K09347	257.63	383.8	5.8e-115 homeobox protein Nkx-2.8
8478_0:00012d	K16490	119.03	1036.4	0 spindle and centriole-associated protein 1
8478_0:00012e	K20041	66.2	313.8	9.1e-94 neuromodulin
8478_0:00012f	K14756	1310.33	1959.8	0 klotho [EC:3.2.1.31]
8478_0:000131	K11599	41.43	290.4	9.3e-87 proteasome maturation protein
8478_0:000133	K14307	86.77	532	1.6e-159 nucleoporin p58/p45
8478_0:000134	K23092	216.13	451.6	1.3e-135 mab-21 family protein
8478_0:000135	K13863	952.87	1073	0 solute carrier family 7 (cationic amino acid transporter), member 1
8478_0:000135	K13865	1030.97	1041.1	0 solute carrier family 7 (cationic amino acid transporter), member 3
8478_0:000136	K05461	140.1	478	1.3e-143 KIT ligand
8478_0:000137	K02520	35.77	157.6	2.7e-46 translation initiation factor IF-3
8478_0:000138	K10802	362.7	383.2	1e-114 high mobility group protein B1
8478_0:000139	K26111	1244	1421.3	0 SID1 transmembrane family member 1
8478_0:00013a	K17276	1251.8	1365.7	0 plastin-2
8478_0:00013a	K17336	1115.63	1120.1	0 plastin-3
8478_0:00013b	K15274	423.9	750.9	3e-226 solute carrier family 35 (probable UDP-sugar transporter), member A5
8478_0:00013c	K06772	500.73	610.5	8.8e-184 limbic system-associated membrane protein
8478_0:00013d	K18485	282.17	467.6	1.1e-140 myogenic factor 6
8478_0:00013e	K15978	509.03	881.3	3.4e-265 A-kinase anchor protein 8-like protein
8478_0:00013f	K05171	491.9	697.9	9.3e-210 interleukin 1 receptor-like 1
8478_0:000140	K18615	111.43	351.1	5e-105 CapZ-interacting protein
8478_0:000142	K13220	80.33	335.8	2.5e-100 WW domain-binding protein 4
8478_0:000144	K14610	581.8	829.7	2e-249 solute carrier family 19 (thiamine transporter), member 2/3
8478_0:000145	K16751	120.4	2891.2	0 C2 domain-containing protein 3
8478_0:000146	K14819	177.07	424.4	3e-127 dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48]
8478_0:000148	K09228	360.37	937	5.6e-282 KRAB domain-containing zinc finger protein
8478_0:000148	K09191	325.1	349.1	3.6e-104 general transcription factor IIIA
8478_0:000149	K20526	111.3	333.7	7.3e-100 transgelin
8478_0:00014b	K05850	1176.87	2396.7	0 P-type Ca2+ transporter type 2B [EC:7.2.2.10]
8478_0:00014c	K08328	216	356.3	7.8e-107 guanylate cyclase activator 1
8478_0:00014c	K13974	34.57	34.8	8.4e-09 calcium-binding protein
8478_0:00014d	K02098	101.2	294.5	1e-87 spire
8478_0:00014e	K25461	160.07	1158.3	0 cilia- and flagella-associated protein 91
8478_0:00014f	K23424	157.4	1028.2	0 protein O-mannosyl-transferase [EC:2.4.1.-]
8478_0:000150	K18762	43.87	201.3	2.2e-59 zygote arrest protein 1
8478_0:000152	K11393	328.13	681.6	4.5e-205 U6 snRNA m6A methyltransferase [EC:2.1.1.346]
8478_0:000153	K22234	330.27	521.7	9.7e-157 homeobox protein CDX2
8478_0:000153	K09312	145.33	323.5	2.3e-96 homeobox protein CDX1/4
8478_0:000154	K20792	151.7	1451.7	0 N-alpha-acetyltransferase 15/16, NatA auxiliary subunit
8478_0:000156	K11722	1177.37	1708.9	0 bromodomain-containing protein 4
8478_0:000157	K13667	89.33	758.8	1.2e-228 EGF-domain serine glucosyl/xylosyltransferase [EC:2.4.1.376 2.4.2.63]
8478_0:000158	K06522	748.23	1281.2	0 immunoglobulin superfamily, member 2/3
8478_0:000159	K00729	206.87	564.6	7.5e-170 dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
8478_0:00015a	K21668	114.4	273.1	3.2e-81 cell surface glycoprotein CD200 receptor
8478_0:00015b	K10184	683.03	957.9	3.8e-288 T-box protein 19
8478_0:00015c	K08343	135.87	621.7	4.1e-187 ubiquitin-like-conjugating enzyme ATG3
8478_0:00015d	K15110	236.8	426	1.6e-127 solute carrier family 25 (mitochondrial 2-oxodicarboxylate transporter), member 21
8478_0:00015e	K20840	362.3	397.6	6.3e-119 MFS transporter, PCFT/HCP family, solute carrier family 46, member 3
8478_0:000160	K00735	468.27	618.7	5e-186 galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 [EC:2.4.1.135]
8478_0:000161	K04257	107.23	449	1.1e-134 olfactory receptor
8478_0:000162	K02896	28.63	217.8	9e-65 large subunit ribosomal protein L24e
8478_0:000163	K26935	95.87	484.4	2.7e-145 cell cycle control protein 50
8478_0:000164	K10501	651.23	1456.2	0 zinc finger and BTB domain-containing protein 20
8478_0:000165	K11660	343.83	1276.9	0 metastasis-associated protein MTA
8478_0:000166	K16525	542.07	1144.3	0 A-kinase anchor protein 8
8478_0:000168	K14556	327.93	1390.6	0 U3 small nucleolar RNA-associated protein 12
8478_0:000169	K13961	1219.77	1470.7	0 solute carrier family 9 (sodium/hydrogen exchanger), member 4
8478_0:000169	K14722	1054.67	1075.1	0 solute carrier family 9 (sodium/hydrogen exchanger), member 2
8478_0:00016a	K24413	193.4	207.5	2.1e-61 cysteine-rich protein 2/3
8478_0:00016b	K11502	213.1	1137.9	0 centromere protein J
8478_0:00016c	K08678	516.37	712	1.6e-214 UDP-glucuronate decarboxylase [EC:4.1.1.35]
8478_0:00016d	K01245	183.87	702.6	1.4e-211 ADP-ribosylarginine hydrolase [EC:3.2.2.19]
8478_0:00016f	K24135	163.87	553	6.7e-166 MORC family CW-type zinc finger protein
8478_0:000170	K09292	94.73	557.3	1.8e-167 protein TFG
8478_0:000171	K23092	216.13	638	3.3e-192 mab-21 family protein
8478_0:000172	K15290	724	727.5	7.3e-219 synaptotagmin-1
8478_0:000173	K20641	332.27	1034.6	0 Rho GTPase-activating protein 20
8478_0:000174	K04257	107.23	384.4	4.5e-115 olfactory receptor
8478_0:000175	K09485	1409.03	1495.7	0 heat shock protein 110kDa
8478_0:000176	K14753	179.9	754.5	4.8e-227 guanine nucleotide-binding protein subunit beta-2-like 1 protein
8478_0:000178	K04257	107.23	469.7	6.1e-141 olfactory receptor
