gene_name	KO	thrshld	score	E-value KO definition
8469_0:00002b	K17498	73.37	739.1	3.2e-222 transcription factor SPN1
8469_0:00002c	K18730	113.6	1183.5	0 PERQ amino acid-rich with GYF domain-containing protein
8469_0:00002d	K00901	94.97	782.9	1.3e-235 diacylglycerol kinase (ATP) [EC:2.7.1.107]
8469_0:00002e	K01966	898.87	1023.8	0 propionyl-CoA carboxylase beta subunit [EC:6.4.1.3 2.1.3.15]
8469_0:00002f	K13675	154.27	782.3	1.3e-235 UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase [EC:2.4.1.-]
8469_0:000030	K11583	55.27	868.3	2.8e-261 serine/threonine-protein phosphatase 2A regulatory subunit B''
8469_0:000032	K13164	101.53	560.7	2.7e-168 male-specific lethal 2
8469_0:000035	K03012	56.53	225	4.8e-67 DNA-directed RNA polymerase II subunit RPB4
8469_0:000036	K19970	632.97	869.7	2e-261 5'-nucleotidase [EC:3.1.3.5]
8469_0:000036	K11751	449.93	464.8	3e-139 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
8469_0:000037	K06671	168.4	1846.4	0 cohesin complex subunit SA-1/2
8469_0:000038	K07626	414.33	504.4	6.3e-152 gap junction beta-7 protein
8469_0:000039	K04422	1025.47	1233.6	0 mitogen-activated protein kinase kinase kinase 13 [EC:2.7.11.25]
8469_0:00003a	K28433	116.83	316.8	1.4e-94 solute carrier family 35, member G
8469_0:00003c	K02514	587.93	697	6.6e-210 heparan sulfate 6-O-sulfotransferase HS6ST1 [EC:2.8.2.-]
8469_0:00003e	K15542	228.53	1026.1	0 polyadenylation factor subunit 2
8469_0:00003f	K27310	142.93	406.6	4.9e-122 transmembrane protein 41
8469_0:000040	K07514	910.67	1164.4	0 enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]
8469_0:000040	K07516	599.23	616	9.6e-185 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
8469_0:000042	K07525	683.03	866	2e-260 neuronal guanine nucleotide exchange factor
8469_0:000043	K16809	295.6	1820.5	0 centrosomal protein CEP162
8469_0:000044	K26728	1369.33	2995.1	0 zinc finger protein 292
8469_0:000045	K25471	238.83	1096	0 cilia- and flagella-associated protein 206
8469_0:000046	K01321	630.17	636.6	2.6e-191 coagulation factor IX (Christmas factor) [EC:3.4.21.22]
8469_0:000047	K03084	1365.7	2411.2	0 phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 [EC:3.1.3.86]
8469_0:000048	K03345	519.57	819	2.5e-246 sentrin-specific protease 2 (axin associating molecule) [EC:3.4.22.68]
8469_0:000048	K08592	427.47	429.3	2.3e-128 sentrin-specific protease 1 [EC:3.4.22.68]
8469_0:000049	K23483	188.2	339.7	6.6e-102 gamma-crystallin
8469_0:00004a	K19404	437.23	803.2	8.2e-242 phosphatidic acid-selective phospholipase A1 [EC:3.1.1.-]
8469_0:00004c	K17964	120.37	1982.2	0 leucine-rich PPR motif-containing protein, mitochondrial
8469_0:00004d	K24169	436.63	1999	0 thyroid adenoma-associated protein
8469_0:00004e	K05684	529.53	1070.2	0 ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)
8469_0:00004f	K04228	477.03	505.8	4.6e-152 arginine vasopressin receptor 2
8469_0:000050	K23206	150.43	224.7	1.5e-66 THAP domain-containing protein 5/8
8469_0:000051	K16815	260.73	948.1	1.9e-285 calcium-independent phospholipase A2-gamma
8469_0:000053	K11126	114.6	1311.8	0 telomerase reverse transcriptase [EC:2.7.7.49]
8469_0:000054	K24020	385.17	2014.1	0 pleckstrin homology domain-containing family H
8469_0:000056	K10417	169.07	615	9.1e-185 dynein cytoplasmic 2 light intermediate chain
8469_0:000057	K04461	722.77	751.3	3.1e-226 protein phosphatase 1B [EC:3.1.3.16]
8469_0:000058	K13510	504.87	843.3	6.4e-254 lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [EC:2.3.1.23 2.3.1.67]
8469_0:000059	K09515	163.97	317.9	3.8e-95 DnaJ homolog subfamily B member 9
8469_0:00005a	K05334	1037.67	1270.2	0 solute carrier family 6 (neurotransmitter transporter) member 19
8469_0:00005b	K25751	55.73	231.8	8.6e-69 membrane-anchored junction protein
8469_0:00005c	K05683	554.4	1075.3	0 ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)
8469_0:00005d	K05048	936.57	1009.8	4.8e-304 solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20
8469_0:00005e	K05100	1466.17	2029.6	0 macrophage-stimulating 1 receptor [EC:2.7.10.1]
8469_0:000060	K13094	113.83	1160.1	0 RNA-binding protein 5/10
8469_0:000061	K04631	772.2	828.2	1.8e-249 guanine nucleotide-binding protein G(t) subunit alpha 1/2
8469_0:000062	K11985	86.4	603.1	4.1e-181 TRAF-interacting protein [EC:2.3.2.27]
8469_0:000063	K08812	446.07	816.3	6.4e-246 CaM kinase-like vesicle-associated [EC:2.7.11.-]
8469_0:000064	K13576	831.13	955.3	7.5e-288 solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 3
8469_0:000066	K07497	24.73	38.7	4.8e-10 putative transposase
8469_0:000067	K13094	113.83	229.3	6.9e-68 RNA-binding protein 5/10
8469_0:000068	K06840	600.3	1201	0 semaphorin 3
8469_0:000069	K20195	106.53	699.7	1.6e-210 vacuolar fusion protein MON1
8469_0:00006d	K10075	210.27	244.3	1.4e-72 killer cell lectin-like receptor subfamily F member 1
8469_0:00006e	K10072	212.27	234.9	8.4e-70 C-type lectin domain family 2 member D
8469_0:00006f	K16316	238.8	1538.3	0 serine/threonine-protein kinase 31 [EC:2.7.11.1]
8469_0:000071	K10408	2840.83	3429.5	0 dynein axonemal heavy chain
8469_0:000072	K10291	152.93	591.8	5.3e-178 F-box protein 4
8469_0:000075	K16360	1033.53	1116.6	0 netrin-G3 ligand
8469_0:000075	K07523	346.43	368.5	2.6e-110 netrin-G1 ligand
8469_0:000077	K14617	83.53	128.7	1.2e-37 LMBR1 domain-containing protein 1
8469_0:000079	K06504	132.4	202.2	1.1e-59 CD72 antigen
8469_0:00007a	K14590	254.07	991	4.1e-298 cap2 methyltransferase [EC:2.1.1.296]
8469_0:00007b	K23908	398.47	499.2	4.1e-150 calretinin
8469_0:00007c	K12753	324.1	404.9	1.9e-121 myosin regulatory light chain 5
8469_0:00007d	K10408	2840.83	4774.8	0 dynein axonemal heavy chain
8469_0:00007e	K25185	168.3	912.1	7.6e-275 metalloprotease TIKI [EC:3.4.-.-]
8469_0:00007f	K08855	1065.07	1926.7	0 cyclin G-associated kinase [EC:2.7.11.1]
8469_0:000080	K24915	38.5	219.5	4.1e-65 TMEM175 potassium channel family protein
8469_0:000082	K05310	468.4	1220.2	0 ethanolamine phosphate transferase 2 subunit G [EC:2.7.-.-]
8469_0:000083	K04809	634.5	790.9	2.5e-238 nicotinic acetylcholine receptor alpha-7
8469_0:000088	K20287	572.83	608.2	8e-183 perilipin-3
8469_0:000089	K01015	437.53	507.8	9.1e-153 alcohol sulfotransferase [EC:2.8.2.2]
8469_0:00008b	K09228	360.37	405.9	2.3e-121 KRAB domain-containing zinc finger protein
8469_0:00008b	K09191	325.1	328.1	8e-98 general transcription factor IIIA
8469_0:00008e	K09228	360.37	1355.6	0 KRAB domain-containing zinc finger protein
8469_0:00008e	K09230	389.63	550.7	4.5e-165 SCAN domain-containing zinc finger protein
8469_0:00008e	K09191	325.1	352	4.7e-105 general transcription factor IIIA
8469_0:000090	K20395	159.87	174.3	1.8e-51 CO300B/D/F antigen
8469_0:000091	K20395	159.87	198.2	9.6e-59 CO300B/D/F antigen
8469_0:000092	K25762	207.57	370.8	3.3e-111 tubulin N-terminal N-acetyltransferase [EC:2.3.1.308]
8469_0:000095	K20395	159.87	198	1.1e-58 CO300B/D/F antigen
8469_0:000096	K20395	159.87	187	2.4e-55 CO300B/D/F antigen
8469_0:000097	K07914	446.53	476.2	6.1e-143 Ras-related protein Rab-37
8469_0:000098	K04985	2232.2	4866	0 polycystin 1
8469_0:00009e	K08871	1223.1	1351.6	0 bromodomain-containing protein 2
8469_0:0000a0	K04528	183.23	250.1	9.2e-75 alpha-synuclein
8469_0:0000a2	K24247	334.07	868.7	3.7e-261 multimerin
8469_0:0000a3	K06752	129.4	155.6	1.2e-45 MHC class II antigen
8469_0:0000a4	K06448	209.37	354	6.6e-106 T-cell surface glycoprotein CD1
8469_0:0000a5	K06448	209.37	368.5	2.8e-110 T-cell surface glycoprotein CD1
8469_0:0000a6	K04257	107.23	279.3	3.5e-83 olfactory receptor
8469_0:0000a7	K04257	107.23	261.3	9.6e-78 olfactory receptor
8469_0:0000a8	K04257	107.23	253.8	1.9e-75 olfactory receptor
8469_0:0000a9	K04257	107.23	229.8	3.5e-68 olfactory receptor
8469_0:0000aa	K04257	107.23	285.8	3.7e-85 olfactory receptor
8469_0:0000ab	K04257	107.23	303.3	1.8e-90 olfactory receptor
8469_0:0000ac	K04257	107.23	264.8	8.7e-79 olfactory receptor
8469_0:0000ad	K04257	107.23	269.7	2.8e-80 olfactory receptor
8469_0:0000ae	K04257	107.23	270.4	1.7e-80 olfactory receptor
8469_0:0000af	K04257	107.23	267.6	1.2e-79 olfactory receptor
8469_0:0000b0	K23617	850.4	1023.7	0 medium-chain acyl-CoA ligase, mitochondrial [EC:6.2.1.2]
8469_0:0000b2	K20395	159.87	168.2	1.3e-49 CO300B/D/F antigen
8469_0:0000b3	K06248	494.5	676.5	1.4e-203 chondroadherin
8469_0:0000b4	K12471	298.8	408.5	3.4e-122 epsin
8469_0:0000b6	K02899	31.07	162.4	8.2e-48 large subunit ribosomal protein L27
8469_0:0000b7	K25648	154.87	1207.3	0 MYCBP-associated protein
8469_0:0000b8	K10882	300.47	510.5	4.4e-153 crossover junction endonuclease EME1 [EC:3.1.22.-]
8469_0:0000b9	K00771	376.7	1493.7	0 protein xylosyltransferase [EC:2.4.2.26]
8469_0:0000bb	K17703	2150.1	3002.1	0 signal-induced proliferation-associated 1 like protein 3
8469_0:0000bd	K10075	210.27	233.1	3.7e-69 killer cell lectin-like receptor subfamily F member 1
8469_0:0000be	K10075	210.27	333.5	1e-99 killer cell lectin-like receptor subfamily F member 1
8469_0:0000be	K06543	255.27	287	1.4e-85 killer cell lectin-like receptor subfamily B
8469_0:0000bf	K10072	212.27	246.4	2.7e-73 C-type lectin domain family 2 member D
8469_0:0000c1	K04251	443.3	676.7	5.4e-204 long/medium wavelength-sensitive opsin
8469_0:0000c2	K08119	301.73	572.7	8.1e-172 extracellular matrix protein 2
8469_0:0000c3	K06545	584.5	860.8	1e-258 CD163 antigen
8469_0:0000c4	K09228	360.37	900.7	5.4e-271 KRAB domain-containing zinc finger protein
8469_0:0000c4	K09191	325.1	403.2	1.5e-120 general transcription factor IIIA
8469_0:0000c5	K09228	360.37	522.7	1.1e-156 KRAB domain-containing zinc finger protein
8469_0:0000c5	K09191	325.1	332.9	2.9e-99 general transcription factor IIIA
8469_0:0000c6	K18161	74.4	174.4	1.7e-51 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
8469_0:0000c7	K26125	170.1	2011.5	0 protein MMS22-like
8469_0:0000c8	K09365	352.5	520.9	2.8e-156 POU domain transcription factor, class 3
8469_0:0000c9	K10468	564.07	1429.6	0 kelch-like protein 32
8469_0:0000ca	K24415	506.7	522.3	1.8e-157 four and a half LIM domains protein 5
8469_0:0000cb	K15538	137.53	760.8	4.6e-229 glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.130]
8469_0:0000cc	K10270	200.1	839.1	1.2e-252 F-box and leucine-rich repeat protein 4
8469_0:0000cd	K03663	455.67	663.9	4.3e-200 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase [EC:2.4.1.152]
8469_0:0000ce	K05108	1547.6	2055.1	0 EphA7 [EC:2.7.10.1]
8469_0:0000cf	K22755	147.53	1181.4	0 E3 UFM1-protein ligase 1 [EC:2.3.2.-]
8469_0:0000d0	K04321	581.57	711.1	1.9e-214 G protein-coupled receptor 63
8469_0:0000d1	K09228	360.37	949.1	1.2e-285 KRAB domain-containing zinc finger protein
8469_0:0000d1	K09191	325.1	360.1	1.7e-107 general transcription factor IIIA
8469_0:0000d2	K09228	360.37	517.5	4.1e-155 KRAB domain-containing zinc finger protein
8469_0:0000d3	K20868	729.87	923.2	5.4e-278 autophagy-related protein 16-2
8469_0:0000d4	K18283	611.5	1522.5	0 cGMP-dependent 3',5'-cyclic phosphodiesterase [EC:3.1.4.17]
8469_0:0000d5	K25396	60.6	246.3	4.1e-73 protein Flattop
8469_0:0000d6	K00236	136.53	282.7	2.4e-84 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
8469_0:0000d7	K06770	252.93	540.1	5e-162 myelin protein zero
8469_0:0000da	K17254	123.1	271.2	1.3e-80 syntenin-1
8469_0:0000dc	K24749	108.07	589.5	4.3e-177 WD repeat-containing protein 54
8469_0:0000dd	K25701	129.9	324.6	5.5e-97 MORN repeat-containing protein 4
8469_0:0000de	K19368	128.6	289.5	2.7e-86 protrudin
8469_0:0000e0	K13711	124.83	720.9	6.7e-217 phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]
8469_0:0000e2	K08382	355.13	480.1	1.8e-144 G protein-coupled receptor 33
8469_0:0000e3	K09544	174.37	247.9	1.8e-74 heat shock protein beta-3
8469_0:0000e4	K04661	297.53	541	1.3e-162 follistatin
8469_0:0000e5	K04954	1424.83	1572.2	0 hyperpolarization activated cyclic nucleotide-gated potassium channel 1
8469_0:0000e7	K28348	201.53	464.4	1.8e-139 embigin
8469_0:0000e8	K04358	176.83	228	1.1e-67 fibroblast growth factor
8469_0:0000e9	K01641	279.93	821.4	3e-247 hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
8469_0:0000ea	K06480	1355.33	2082.5	0 integrin alpha 1
8469_0:0000eb	K05080	343.5	780.3	8.5e-235 growth hormone receptor
8469_0:0000ec	K21232	81.9	155.3	8.7e-46 molybdopterin synthase sulfur carrier subunit
8469_0:0000ec	K03636	36.37	50.7	1.2e-13 sulfur-carrier protein
8469_0:0000ed	K00323	942.83	2127	0 proton-translocating NAD(P)+ transhydrogenase [EC:7.1.1.1]
8469_0:0000ed	K00324	384.8	573.2	3.6e-172 proton-translocating NAD(P)+ transhydrogenase subunit alpha [EC:7.1.1.1]
8469_0:0000ee	K15258	142.37	1377.3	0 protein mono-ADP-ribosyltransferase 6/8 [EC:2.4.2.-]
8469_0:0000ef	K17923	248	771.9	2.6e-232 sorting nexin-9/18/33
8469_0:0000f0	K05513	85.2	148.8	1.1e-43 C-C motif chemokine 28
8469_0:0000f1	K03937	51.47	329.2	1.6e-98 NADH dehydrogenase (ubiquinone) Fe-S protein 4
8469_0:0000f2	K14322	125.93	593.7	1.9e-178 polyadenylate-binding protein-interacting protein 1
8469_0:0000f4	K16310	419.33	705.8	1.5e-212 serine/threonine-protein kinase NIM1 [EC:2.7.11.1]
8469_0:0000f7	K17201	159.97	444.5	9.3e-134 ADP-ribosylation factor-like protein 15
8469_0:0000f8	K06965	127.8	789.7	1.1e-237 protein pelota
8469_0:0000f9	K09370	607.73	678.6	3.2e-204 insulin gene enhancer protein ISL-1
8469_0:0000fb	K25753	96.87	209.4	6.9e-62 selenoprotein P
8469_0:0000fc	K17409	170.8	663.9	1.4e-199 small subunit ribosomal protein S30
8469_0:0000fd	K03635	24.9	245.5	2.8e-73 molybdopterin synthase catalytic subunit [EC:2.8.1.12]
8469_0:0000fe	K06751	217.57	409.1	1.4e-122 MHC class I antigen
8469_0:0000ff	K09228	360.37	496.5	9.3e-149 KRAB domain-containing zinc finger protein
8469_0:000102	K23713	331.77	381.8	2.8e-114 SH3 and cysteine-rich domain-containing protein 3
8469_0:000104	K22688	481.33	557.4	1.8e-167 inhibin beta C chain
8469_0:000106	K06791	340.67	371.6	3.3e-111 immunoglobulin superfamily, member 11
8469_0:000107	K09106	104.03	374.4	4.5e-112 upstream stimulatory factor
8469_0:000108	K20645	669.17	1152.9	0 Rho GTPase-activating protein 30
8469_0:000109	K06593	369.03	766.7	1.1e-230 poliovirus receptor-related 4
8469_0:00010a	K24190	97.03	294.9	4e-88 lens fiber membrane intrinsic protein
8469_0:00010b	K01013	94.53	188.2	1e-55 thiosulfate:glutathione sulfurtransferase [EC:2.8.1.-]
8469_0:00010d	K04257	107.23	345.6	2.7e-103 olfactory receptor
8469_0:00010f	K09228	360.37	567.5	3.1e-170 KRAB domain-containing zinc finger protein
8469_0:000110	K09228	360.37	610.5	3.1e-183 KRAB domain-containing zinc finger protein
8469_0:000110	K09191	325.1	326.9	1.9e-97 general transcription factor IIIA
8469_0:000111	K19936	430.43	449	1.5e-135 visinin-like protein 1
8469_0:000111	K23848	412.7	442.6	5.3e-133 hippocalcin-like protein 4
8469_0:000111	K13974	34.57	37	1.8e-09 calcium-binding protein
8469_0:000112	K09077	146	215.9	5.9e-64 mesogenin 1
8469_0:000113	K22805	334.83	670.1	1.2e-201 protein FAM84A
8469_0:000115	K20473	259.17	2834.7	0 neuroblastoma-amplified sequence
8469_0:000116	K09109	409.37	669.6	2e-201 N-myc proto-oncogene protein
8469_0:000117	K27976	163.3	671	2.9e-202 CYFIP-related Rac1 interactor
8469_0:000118	K04933	690.37	922.4	3.7e-278 potassium voltage-gated channel delayed-rectifier subfamily S member 3
8469_0:00011a	K13177	524.3	1493	0 ATP-dependent RNA helicase DDX1 [EC:5.6.2.7]
8469_0:00011b	K15338	243.63	589.2	9.3e-177 holliday junction resolvase GEN1/YEN1 [EC:3.1.-.-]
8469_0:00011c	K22804	349.77	1439.7	0 structural maintenance of chromosomes protein 6
8469_0:00011d	K04257	107.23	432.4	1.3e-129 olfactory receptor
8469_0:00011e	K04257	107.23	440.1	5.8e-132 olfactory receptor
8469_0:000122	K05424	84.57	219.8	1.4e-65 leptin
8469_0:000124	K14573	161.4	668.5	6.6e-201 nucleolar protein 4
8469_0:000128	K07297	158.97	344.5	5.6e-103 adiponectin receptor
8469_0:00012b	K15412	302.97	449.9	1.2e-134 complement factor properdin
8469_0:00012f	K05124	1331.63	1532	0 discoidin domain receptor family member 1 [EC:2.7.10.1]
8469_0:00012f	K05125	1040.67	1068.3	0 discoidin domain receptor family member 2 [EC:2.7.10.1]
8469_0:000130	K23768	102.2	106.6	8.3e-31 protein S100-A16
8469_0:000131	K28196	127	305.9	1.7e-91 transmembrane protein 65
8469_0:000136	K08664	356.47	370.6	3.3e-111 prostasin [EC:3.4.21.-]
8469_0:000137	K06811	759.23	1237.9	0 cadherin 17, LI cadherin
8469_0:000139	K10867	129.37	551	2.9e-165 nibrin
8469_0:00013a	K24994	441.9	737.6	5.4e-222 RNA-binding Raly-like protein
8469_0:00013b	K08037	806.9	871.4	1.2e-262 hepatocyte nuclear factor 4-gamma
8469_0:00013c	K04953	1096.8	1310.1	0 cyclic nucleotide gated channel beta 3
8469_0:00013d	K09380	4863.4	6426.5	0 zinc finger homeobox protein 4
8469_0:00013f	K24243	494.1	966.4	4.4e-291 cysteine-rich secretory protein LCCL domain-containing
8469_0:000141	K18245	433.83	481	2.7e-144 carbonic anhydrase 2 [EC:4.2.1.1]
8469_0:000141	K01672	289.3	374.9	2.8e-112 carbonic anhydrase [EC:4.2.1.1]
8469_0:000143	K01672	289.3	387.8	3.5e-116 carbonic anhydrase [EC:4.2.1.1]
8469_0:000144	K07996	1018.23	1186.5	0 matrix metalloproteinase-16 (membrane-inserted) [EC:3.4.24.-]
8469_0:000145	K13236	305.7	683.8	5e-206 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]
8469_0:000146	K07846	412.47	501.9	3.9e-151 GTP binding protein overexpressed in skeletal muscle
8469_0:000146	K07847	305.17	307	1.2e-91 Rad and Gem related GTP binding protein 1
8469_0:000147	K17407	83.13	250.9	1.1e-74 small subunit ribosomal protein S28
8469_0:000148	K26158	257.97	333.6	4.1e-100 stathmin 2/3/4
8469_0:000149	K08754	227.1	245.1	8.3e-73 fatty acid-binding protein 5, epidermal
8469_0:00014a	K06664	103.03	418.9	8.4e-126 peroxin-2
8469_0:00014b	K24684	126.83	484.2	1.3e-145 AN1-type zinc finger protein 1
8469_0:00014c	K10497	846.07	1502.1	0 zinc finger and BTB domain-containing protein 10
8469_0:00014d	K08752	186.2	205.3	7.5e-61 fatty acid-binding protein 3, muscle and heart
8469_0:00014e	K24836	393.67	492.9	2.7e-148 peptidase inhibitor 15
8469_0:00014f	K23293	75.07	198.6	1.1e-58 regulator of microtubule dynamics protein 3
8469_0:000151	K13084	118.2	216.6	2.9e-64 phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78]
8469_0:000152	K10053	1106.33	1282.1	0 CBFA2/RNUX1 translocation partner 1
8469_0:000153	K24977	263.13	284.3	5.7e-85 myelin P2 protein
8469_0:000153	K08752	186.2	200.2	2.7e-59 fatty acid-binding protein 3, muscle and heart
8469_0:000154	K13870	562.97	819.8	6.4e-247 solute carrier family 7 (L-type amino acid transporter), member 12/13
8469_0:000155	K18342	127.07	445.6	7.5e-134 OTU domain-containing protein 6 [EC:3.4.19.12]
8469_0:000157	K24524	895.5	1043.7	0 copine 1/2/3
8469_0:000158	K08846	358.67	677.1	2e-203 receptor-interacting serine/threonine-protein kinase 2 [EC:2.7.11.1]
8469_0:000159	K01672	289.3	382.6	1.3e-114 carbonic anhydrase [EC:4.2.1.1]
8469_0:00015a	K05633	1372.23	1563.6	0 NEDD4-like E3 ubiquitin-protein ligase WWP1 [EC:2.3.2.26]
8469_0:00015c	K12194	122.43	271.3	7.1e-81 charged multivesicular body protein 4A/B
8469_0:00015d	K24526	441.33	792.4	3.7e-238 RNA-binding protein 12
8469_0:00015e	K13962	682.93	1276.8	0 solute carrier family 26 (anion exchange transporter), member 7
8469_0:00015f	K26770	241.2	419.9	1.4e-125 transmembrane protein 64
8469_0:000160	K09091	146.73	385.4	1.9e-115 hairy and enhancer of split related with YRPW motif
8469_0:000161	K04682	268.33	590.7	1.1e-177 transcription factor E2F4/5
8469_0:000164	K19348	221.6	1513.2	0 meckelin
8469_0:000165	K23854	123.07	441.7	2.6e-132 N-terminal EF-hand calcium-binding protein
8469_0:000166	K17928	175.6	464.2	2.7e-139 sorting nexin-16
8469_0:000167	K01092	210.1	384.4	5.5e-115 myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
8469_0:000168	K08752	186.2	212.3	5.4e-63 fatty acid-binding protein 3, muscle and heart
8469_0:000169	K26521	228.93	616.9	1.4e-185 hosphoprotein associated with glycosphingolipid-enriched microdomains 1
8469_0:00016b	K17434	21.73	152	1.2e-44 large subunit ribosomal protein L53
8469_0:00016c	K24977	263.13	268.3	4.4e-80 myelin P2 protein
8469_0:00016c	K08753	222.9	226.6	1.1e-67 fatty acid-binding protein 4, adipocyte
8469_0:00016c	K08752	186.2	210.5	2e-62 fatty acid-binding protein 3, muscle and heart
8469_0:00016d	K01102	189.6	536.1	6.7e-161 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
8469_0:00016f	K23868	93.37	519	5.6e-156 protein FAM92
8469_0:000170	K10877	868.33	1288.7	0 DNA repair and recombination protein RAD54B [EC:5.6.2.-]
8469_0:000171	K01672	289.3	319.7	1.6e-95 carbonic anhydrase [EC:4.2.1.1]
8469_0:000174	K16475	137.2	1066.8	0 leucine-rich repeat and coiled-coil domain-containing protein 1
8469_0:000176	K02146	154.47	691.5	2.3e-208 V-type H+-transporting ATPase subunit d
8469_0:000178	K05431	82.67	227.5	6.2e-68 interleukin 7
8469_0:000179	K04257	107.23	265.4	5.5e-79 olfactory receptor
8469_0:00017a	K04257	107.23	276.1	3.1e-82 olfactory receptor
8469_0:00017b	K04257	107.23	256	4.1e-76 olfactory receptor
8469_0:00017c	K04257	107.23	274.5	9.6e-82 olfactory receptor
8469_0:00017d	K04257	107.23	271.7	7e-81 olfactory receptor
8469_0:00017e	K04257	107.23	234	1.9e-69 olfactory receptor
8469_0:00017f	K04257	107.23	238	1.2e-70 olfactory receptor
8469_0:000180	K04257	107.23	234.4	1.5e-69 olfactory receptor
8469_0:000181	K04257	107.23	497.1	3e-149 olfactory receptor
8469_0:000182	K04257	107.23	269.2	3.9e-80 olfactory receptor
8469_0:000184	K04257	107.23	281.5	7.4e-84 olfactory receptor
