gene_name	KO	thrshld	score	E-value KO definition
1415176_0:00003a	K04257	107.23	286	3.1e-85 olfactory receptor
1415176_0:00003b	K19673	1954.5	2443.8	0 tetratricopeptide repeat protein 21B
1415176_0:00003b	K24178	2037	2042.2	0 tetratricopeptide repeat protein 21A
1415176_0:00003c	K06560	1042.03	1322.6	0 mannose receptor, C type
1415176_0:00003d	K15105	458.43	1347.9	0 solute carrier family 25 (mitochondrial aspartate/glutamate transporter), member 12/13
1415176_0:00003e	K05658	906.87	1308.7	0 ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]
1415176_0:00003f	K06233	4570.4	7307.2	0 low density lipoprotein-related protein 2
1415176_0:000040	K11550	103.23	287	1.5e-85 kinetochore protein Spc25, animal type
1415176_0:000041	K18488	233.67	297	2e-88 homeobox protein DLX2
1415176_0:000042	K17551	178.17	1165.1	0 neurabin
1415176_0:000043	K19475	100.3	401.4	4.9e-120 WAS/WASL-interacting protein
1415176_0:000044	K11149	478.73	579.5	7.8e-175 dehydrogenase/reductase SDR family member 9 [EC:1.1.-.-]
1415176_0:000044	K00019	187.6	285.9	3.7e-85 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
1415176_0:000045	K23331	138.47	872.5	9.1e-263 DDB1- and CUL4-associated factor 17
1415176_0:000046	K13861	2065.63	2175.8	0 solute carrier family 4 (sodium bicarbonate transporter), member 10
1415176_0:000047	K04351	1199.93	1697.4	0 Rap guanine nucleotide exchange factor 4
1415176_0:000048	K16748	128.07	738.1	3.7e-222 Bardet-Biedl syndrome 5 protein
1415176_0:000049	K08834	996	2008	0 myosin III [EC:2.7.11.1]
1415176_0:00004a	K09314	248.37	421.4	2.4e-126 homeobox protein DLX1/4/6
1415176_0:00004b	K09199	779.07	928	2.1e-279 transcription factor Sp9
1415176_0:00004c	K20630	283.47	517.2	3.7e-155 chimaerin
1415176_0:00004d	K09297	175.27	417.9	2.2e-125 homeobox protein HoxC/D12
1415176_0:00004e	K08370	321.8	567.9	3.2e-171 plasma membrane ascorbate-dependent reductase [EC:7.2.1.3]
1415176_0:00004e	K08360	293.1	294	7.5e-88 transmembrane ascorbate-dependent reductase [EC:7.2.1.3]
1415176_0:00004f	K07819	360.27	422.6	9e-127 beta-1,3-galactosyltransferase 1 [EC:2.4.1.86]
1415176_0:000050	K03030	215.5	715.8	1.2e-215 26S proteasome regulatory subunit N11
1415176_0:000051	K06485	1421.07	1791.2	0 integrin alpha 6
1415176_0:000053	K09294	368.87	442.6	1e-132 homeobox protein HoxB/C/D9
1415176_0:000054	K09195	313.7	473	7.4e-142 transcription factor Sp5
1415176_0:000055	K11090	164	466	8.2e-140 lupus La protein
1415176_0:000056	K23408	65.83	340.9	6.2e-102 cell division cycle-associated protein 7
1415176_0:000057	K11303	111.73	647.9	8e-195 histone acetyltransferase 1 [EC:2.3.1.48]
1415176_0:000059	K01580	387.7	773.4	1.3e-232 glutamate decarboxylase [EC:4.1.1.15]
1415176_0:00005a	K14358	145.53	763.4	5.1e-230 secernin
1415176_0:00005b	K09308	214.7	474.4	2e-142 homeobox protein HoxB/C/D8
1415176_0:00005c	K17494	170.7	666.7	3.2e-200 cysteine/serine-rich nuclear protein
1415176_0:00005e	K09296	415.8	464.8	2.2e-139 homeobox protein HoxC/D11
1415176_0:00005f	K02133	1069.43	1123.3	0 F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]
1415176_0:00005f	K02112	484.7	837.6	3.3e-252 F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
1415176_0:000060	K19788	531.77	699.6	1.6e-210 obg-like ATPase 1
1415176_0:000061	K09301	165.4	268.2	1.1e-79 homeobox protein HoxA/B/D1
1415176_0:000062	K24418	217.77	468.8	9e-141 rRNA N6-adenosine-methyltransferase METTL5
1415176_0:000064	K09193	616.9	1256.7	0 transcription factor Sp3
1415176_0:000065	K10415	303.83	1135.9	0 dynein cytoplasmic 1 intermediate chain
1415176_0:000066	K01084	151.83	664.9	6.8e-200 glucose-6-phosphatase [EC:3.1.3.9]
1415176_0:000067	K04834	3267.4	3308.2	0 voltage-gated sodium channel type II alpha
1415176_0:000067	K04837	3050.4	3052.3	0 voltage-gated sodium channel type IV alpha
1415176_0:000068	K12650	247.17	553.3	2.9e-166 TRAF family member-associated NF-kappa-B activator
1415176_0:000069	K17776	220.9	249.1	4.8e-74 metaxin
1415176_0:00006a	K09566	511.67	677.3	1.5e-203 peptidyl-prolyl isomerase G (cyclophilin G) [EC:5.2.1.8]
1415176_0:00006b	K08674	1187.33	1421.2	0 fibroblast activation protein, alpha [EC:3.4.21.-]
1415176_0:00006b	K01278	642.23	849.3	2.2e-255 dipeptidyl-peptidase 4 [EC:3.4.14.5]
1415176_0:00006c	K10473	432.13	1047.9	0 kelch repeat and BTB domain-containing protein 5/10
1415176_0:00006d	K06066	107.37	571.1	1.3e-171 CBF1 interacting corepressor
1415176_0:00006e	K26797	111.6	513.2	3.5e-154 golgi reassembly-stacking protein
1415176_0:00006f	K20126	186.13	260.1	2e-77 nostrin
1415176_0:000071	K06589	1087.5	1446	0 integrin beta 6
1415176_0:000072	K24990	196.83	770.3	6.7e-232 RNA-binding motif, single-stranded-interacting protein
1415176_0:000073	K10460	653.1	1169.8	0 kelch-like protein 23
1415176_0:000074	K23619	453.07	1881	0 collagen type XXVIII alpha
1415176_0:000076	K09295	481.27	674.6	2.9e-203 homrobox protein Hox-D10
1415176_0:000077	K04450	453.87	652.7	2.4e-196 cyclic AMP-dependent transcription factor ATF-2
1415176_0:000078	K02128	94.43	271.2	5.9e-81 F-type H+-transporting ATPase subunit c
1415176_0:000079	K27381	755.9	4413.4	0 xin actin-binding repeat-containing protein
1415176_0:00007b	K24046	456.43	1368.1	0 cordon-bleu protein-like 1
1415176_0:00007c	K23923	385.7	461	1.3e-138 grancalcin
1415176_0:00007d	K01265	131.2	425.8	7.6e-128 methionyl aminopeptidase [EC:3.4.11.18]
1415176_0:00007e	K26673	859.03	1594.3	0 fidgetin
1415176_0:00007f	K10174	723.23	1148.1	0 T-box brain protein 1
1415176_0:000080	K14997	323.97	555.5	1.1e-166 solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 11
1415176_0:000083	K09298	128.67	482.1	1.3e-144 homeobox protein HoxA/B/C/D13
1415176_0:000084	K23727	544.3	757.4	8.6e-228 sphingoid base N-palmitoyltransferase [EC:2.3.1.291]
1415176_0:000085	K09320	149.3	403.4	1.2e-120 homeobox even-skipped homolog protein
1415176_0:000086	K27754	227.33	1193.8	0 FAST kinase domain-containing protein 1
1415176_0:000087	K09303	199.03	512.9	1.3e-153 homeobox protein HoxA/B/D3
1415176_0:000088	K01278	642.23	892.5	1.9e-268 dipeptidyl-peptidase 4 [EC:3.4.14.5]
1415176_0:000089	K05259	68.37	330	6.4e-99 glucagon
1415176_0:00008a	K04910	1676.43	1916.3	0 potassium voltage-gated channel Eag-related subfamily H member 7
1415176_0:00008b	K23292	100.53	420.5	4.9e-126 endoplasmic reticulum junction formation protein lunapark
1415176_0:00008c	K12077	658.57	764.6	1.8e-230 pyruvate dehydrogenase kinase isoform 1 [EC:2.7.11.2]
1415176_0:00008c	K00898	351.3	676.4	2.1e-203 pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
1415176_0:00008d	K04424	530.43	798.6	3.4e-240 sterile alpha motif and leucine zipper containing kinase AZK [EC:2.7.11.25]
1415176_0:00008e	K12647	945.87	1206.9	0 interferon-induced helicase C domain-containing protein 1 [EC:5.6.2.6]
1415176_0:00008f	K13248	300.43	337.5	5.1e-101 pyridoxal phosphate phosphatase PHOSPHO2 [EC:3.1.3.74]
1415176_0:000090	K11978	371.4	2778.2	0 E3 ubiquitin-protein ligase UBR3 [EC:2.3.2.27]
1415176_0:000091	K23696	718.2	862.2	1e-259 growth factor receptor-bound protein 14
1415176_0:000092	K08864	249.6	1170	0 tousled-like kinase [EC:2.7.11.1]
1415176_0:000093	K00710	93.6	745	7.9e-224 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
1415176_0:000094	K08835	403.23	914.3	3.2e-275 serine/threonine-protein kinase OSR1/STK39 [EC:2.7.11.1]
1415176_0:000095	K28455	268.53	1219.7	0 lysosomal cholesterol signaling protein
1415176_0:000097	K18532	58.77	366.8	5e-110 adenylate kinase [EC:2.7.4.3]
1415176_0:000098	K00933	781.23	873.1	4.6e-263 creatine kinase [EC:2.7.3.2]
1415176_0:000099	K25453	54.93	188.3	9.6e-56 cocaine- and amphetamine-regulated transcript protein
1415176_0:00009a	K06088	277.53	710.6	8.3e-214 occludin
1415176_0:00009b	K17578	81.87	304.9	5.2e-91 zinc finger CCHC domain-containing protein 9
1415176_0:00009c	K10886	59.17	486.2	6.5e-146 DNA-repair protein XRCC4
1415176_0:00009d	K10429	400.93	2241.3	0 microtubule-associated protein 1
1415176_0:00009f	K17406	135.97	635.6	3.6e-191 small subunit ribosomal protein S27
1415176_0:0000a0	K06793	874.5	2366.6	0 versican core protein
1415176_0:0000a3	K13129	95.03	362.2	1.7e-108 survival motor neuron protein
1415176_0:0000a4	K03662	77	234.2	2e-69 V-type H+-transporting ATPase S1 subunit
1415176_0:0000a5	K00287	58.03	233	3.2e-69 dihydrofolate reductase [EC:1.5.1.3]
1415176_0:0000a6	K06662	148.17	779.3	2.3e-234 cell cycle checkpoint protein
1415176_0:0000a8	K12326	2145.03	2413.8	0 Ras-specific guanine nucleotide-releasing factor 2
1415176_0:0000a9	K00986	83.5	83.7	7.9e-24 RNA-directed DNA polymerase [EC:2.7.7.49]
1415176_0:0000ab	K17888	89.1	370.3	5.1e-111 ubiquitin-like-conjugating enzyme ATG10
1415176_0:0000ac	K01969	789.77	1163.6	0 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
1415176_0:0000ae	K17711	138.07	557.5	1.4e-167 pentatricopeptide repeat domain-containing protein 2
1415176_0:0000af	K15198	114.17	537.2	5.4e-161 transcription factor TFIIIB component B''
1415176_0:0000b0	K03142	148.77	716.6	9.9e-216 transcription initiation factor TFIIH subunit 2
1415176_0:0000b1	K24464	670.6	998.8	5.4e-301 EGF-like repeat and discoidin I-like domain-containing protein 3
1415176_0:0000b2	K02973	214.87	355.5	9.3e-107 small subunit ribosomal protein S23e
1415176_0:0000b3	K08736	792.7	1556.1	0 DNA mismatch repair protein MSH3
1415176_0:0000b4	K04679	206.9	409.3	2.5e-122 MAD, mothers against decapentaplegic interacting protein
1415176_0:0000b5	K17291	378.33	983.4	6.9e-296 MARVEL domain-containing protein 2
1415176_0:0000b6	K04679	206.9	1474	0 MAD, mothers against decapentaplegic interacting protein
1415176_0:0000b8	K09228	360.37	772.2	3.9e-232 KRAB domain-containing zinc finger protein
1415176_0:0000b8	K09191	325.1	370.5	1.2e-110 general transcription factor IIIA
1415176_0:0000b9	K27832	206.03	1058.8	0 muscular LMNA-interacting protein
1415176_0:0000ba	K11204	373.8	1169.7	0 glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]
1415176_0:0000bb	K00799	60.37	96.6	1.2e-27 glutathione S-transferase [EC:2.5.1.18]
1415176_0:0000bc	K00799	60.37	95.1	3.2e-27 glutathione S-transferase [EC:2.5.1.18]
1415176_0:0000bf	K10467	697.5	1091.9	0 kelch-like protein 31
1415176_0:0000c0	K00799	60.37	101.9	2.9e-29 glutathione S-transferase [EC:2.5.1.18]
1415176_0:0000c1	K19007	261.2	719.9	6.2e-217 lysophosphatidiate acyltransferase [EC:2.3.1.51]
1415176_0:0000c2	K10295	73	604.2	2.6e-181 F-box protein 9
1415176_0:0000c3	K05466	708.03	809	1.4e-243 angiopoietin 2
1415176_0:0000c4	K16175	777.43	854.1	1.2e-256 protein scribble
1415176_0:0000c5	K15076	113.97	645.9	6.6e-194 elongin-A
1415176_0:0000c6	K10244	440.57	585	2.3e-176 elongation of very long chain fatty acids protein 5 [EC:2.3.1.199]
1415176_0:0000c7	K21598	44.3	458.7	2.8e-137 chorion-specific transcription factor GCM
1415176_0:0000c8	K00799	60.37	94	7e-27 glutathione S-transferase [EC:2.5.1.18]
1415176_0:0000c9	K08828	845.47	974.3	2.1e-293 intestinal cell (MAK-like) kinase [EC:2.7.11.22]
1415176_0:0000c9	K08829	401.67	693.1	1.1e-208 male germ cell-associated kinase [EC:2.7.11.22]
1415176_0:0000ca	K19403	134.47	787.7	1.4e-236 microcephalin
1415176_0:0000cd	K04257	107.23	445.4	1.4e-133 olfactory receptor
1415176_0:0000cf	K08371	100.37	209.2	4.4e-62 transmembrane reductase [EC:7.2.1.3]
1415176_0:0000d1	K20224	304.83	1903.5	0 importin-9
1415176_0:0000d2	K21443	139.43	315.4	5.1e-94 proline/serine-rich coiled-coil protein 1
1415176_0:0000d4	K01875	67.1	715.5	5.4e-215 seryl-tRNA synthetase [EC:6.1.1.11]
1415176_0:0000d7	K09377	184.83	358.9	1.4e-107 cysteine and glycine-rich protein
1415176_0:0000d8	K08414	333.3	794.3	8.5e-239 G protein-coupled receptor 61
1415176_0:0000d9	K10450	705.73	1100	0 kelch-like protein 12
1415176_0:0000db	K02729	276.3	487.6	9.5e-147 20S proteasome subunit alpha 5 [EC:3.4.25.1]
1415176_0:0000dd	K01490	237.27	1309.6	0 AMP deaminase [EC:3.5.4.6]
1415176_0:0000de	K26459	400.97	827.6	8.4e-249 innate immunity activator protein
1415176_0:0000df	K22030	350	803.8	1.5e-241 leiomodin
1415176_0:0000e0	K12733	266.77	376.1	9.1e-113 peptidyl-prolyl cis-trans isomerase-like 1 [EC:5.2.1.8]
1415176_0:0000e1	K17795	70.43	343.8	3.7e-103 mitochondrial import inner membrane translocase subunit TIM17
1415176_0:0000e2	K04631	772.2	837.1	3.6e-252 guanine nucleotide-binding protein G(t) subunit alpha 1/2
1415176_0:0000e3	K24523	829.6	1268.2	0 copine 5/8/9
1415176_0:0000e4	K06981	107.83	370.5	4e-111 isopentenyl phosphate kinase [EC:2.7.4.26]
1415176_0:0000e6	K10135	64.8	117.9	4.6e-34 scotin
1415176_0:0000e7	K12045	399.87	443.3	3.7e-133 troponin T, cardiac muscle
1415176_0:0000e9	K11318	101.4	690.7	3.7e-207 ataxin-7
1415176_0:0000eb	K23793	102.27	224.9	1.8e-66 pleckstrin homology-like domain family A
1415176_0:0000ec	K10371	313.9	396	8.5e-119 troponin I, slow skeletal muscle
1415176_0:0000ed	K17277	115.17	611.6	1.2e-183 epidermal growth factor receptor kinase substrate 8
1415176_0:0000ee	K10387	672.63	994.7	2.3e-299 plakophilin 1
1415176_0:0000ef	K04630	597.83	688.8	2.2e-207 guanine nucleotide-binding protein G(i) subunit alpha
1415176_0:0000f0	K19952	49.37	242.2	6.2e-72 guanine nucleotide exchange factor
1415176_0:0000f1	K26238	255.9	368.1	2.1e-110 proton-transporting V-type ATPase complex assembly regulator
1415176_0:0000f2	K00799	60.37	90.6	7.4e-26 glutathione S-transferase [EC:2.5.1.18]
1415176_0:0000f3	K07297	158.97	570.2	2e-171 adiponectin receptor
1415176_0:0000f5	K00799	60.37	79.3	2.2e-22 glutathione S-transferase [EC:2.5.1.18]
1415176_0:0000f6	K07374	500.73	1163.4	0 tubulin alpha
1415176_0:0000f7	K12388	512.2	1362.9	0 sortilin
1415176_0:0000fa	K22529	229.57	691.8	5.5e-208 amphoterin-induced protein
1415176_0:0000fb	K11446	421.4	2064.6	0 [histone H3]-trimethyl-L-lysine4 demethylase [EC:1.14.11.67]
1415176_0:0000fd	K20028	241.3	556.8	2.5e-167 palmitoyltransferase ZDHHC2/15/20 [EC:2.3.1.225]
1415176_0:0000fe	K12581	70.5	524.6	8.8e-158 CCR4-NOT transcription complex subunit 7/8
1415176_0:000100	K25536	357	470.9	1.8e-141 fibrinogen-like protein 1
1415176_0:000101	K00142	411.73	1313.7	0 acyl-CoA synthetase [EC:6.2.1.-]
1415176_0:000103	K19983	269.23	1254.9	0 exocyst complex component 1
1415176_0:000105	K23843	289.67	765.6	2.4e-230 calcium uptake protein 3, mitochondrial
1415176_0:000106	K00764	186.73	707.3	9.8e-213 amidophosphoribosyltransferase [EC:2.4.2.14]
1415176_0:000107	K04358	176.83	262.1	4.7e-78 fibroblast growth factor
1415176_0:000108	K18083	644.73	974.9	1.3e-293 myotubularin-related protein 6/7/8 [EC:3.1.3.64 3.1.3.95]
1415176_0:000109	K03136	46.3	377.7	7.5e-113 transcription initiation factor TFIIE subunit alpha
1415176_0:00010b	K12348	394.43	678.5	1.9e-204 acid ceramidase [EC:3.5.1.23]
1415176_0:00010e	K20632	206.3	1476.2	0 deleted in liver cancer protein
1415176_0:00010f	K16537	316.77	2782.8	0 pericentriolar material 1 protein
1415176_0:000112	K27062	463.67	534.6	5.7e-161 zeta-sarcoglycan
1415176_0:000113	K16461	683.8	1080.9	0 centrosomal protein CEP135
1415176_0:000114	K25716	332.8	744.3	4.3e-224 platelet-derived growth factor receptor-like protein
1415176_0:000115	K13122	74.4	490.2	1.7e-147 protein FRG1
1415176_0:000117	K12185	43.53	197.4	1.9e-58 ESCRT-I complex subunit VPS37
1415176_0:000118	K01587	336.3	908.3	2.4e-273 phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6]
1415176_0:000119	K19478	205.37	644.3	4.8e-194 dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit MAGT1/TUSC3
1415176_0:00011a	K26935	95.87	479.9	6.4e-144 cell cycle control protein 50
1415176_0:00011b	K19016	888.97	1216.5	0 interphotoreceptor matrix proteoglycan 1
1415176_0:00011c	K17834	176.4	657.5	1.5e-197 cyclic GMP-AMP synthase [EC:2.7.7.86]
1415176_0:00011d	K13051	290.43	480.5	4.9e-144 L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]
1415176_0:00011e	K12486	196.27	418.4	3.7e-125 stromal membrane-associated protein
1415176_0:00011f	K24340	451.03	1046.5	0 collagen type XIX alpha
1415176_0:000120	K03231	445.93	1117.2	0 elongation factor 1-alpha
1415176_0:000121	K15291	2175.87	2747.7	0 regulating synaptic membrane exocytosis protein 1
1415176_0:000121	K15297	1472.53	1496.8	0 regulating synaptic membrane exocytosis protein 2
1415176_0:000122	K28476	44.2	157.3	2.4e-46 succinate dehydrogenase assembly factor 4, mitochondrial
1415176_0:000123	K04153	422.93	501	1.8e-150 5-hydroxytryptamine receptor 1
1415176_0:000124	K17043	624.47	1068	0 ATP-dependent RNA helicase DDX43 [EC:5.6.2.7]
1415176_0:000125	K03495	387.33	963.7	4e-290 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
1415176_0:000126	K08132	1634.47	2264.2	0 collagen type XII alpha
1415176_0:000127	K14617	83.53	760.4	6.5e-229 LMBR1 domain-containing protein 1
1415176_0:000128	K06530	1123	1555.2	0 CD109 antigen
1415176_0:000129	K10358	899.77	2395.4	0 myosin VI
1415176_0:00012b	K10157	429.2	614.1	5.8e-185 galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 [EC:2.4.1.135]
1415176_0:00012c	K26086	64.27	236.2	3.5e-70 meiosis-specific protein MEI4
1415176_0:00012e	K08131	444.07	992.8	5.5e-299 collagen type IX alpha
1415176_0:00012f	K27951	202.1	546.9	3.5e-164 opioid growth factor receptor
1415176_0:000130	K27698	1218.13	2099.5	0 filamin-A-interacting protein 1
1415176_0:000131	K12301	635.43	737.6	4.3e-222 MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5
1415176_0:000131	K08193	627.33	650.4	1.1e-195 MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other
1415176_0:000132	K08595	645.1	1674.6	0 sentrin-specific protease 6 [EC:3.4.22.68]
1415176_0:000133	K02270	25.63	148.8	6.2e-44 cytochrome c oxidase subunit 7a
1415176_0:000136	K04257	107.23	391.6	2.9e-117 olfactory receptor
1415176_0:000137	K10327	537.27	703.7	5.1e-212 ankyrin repeat and SOCS box protein 5
1415176_0:000138	K11513	107.63	428.9	1.6e-128 centromere protein U
1415176_0:000139	K05193	750.77	757.4	6e-228 glycine receptor alpha-1
1415176_0:000139	K05195	673.37	689.9	9.8e-208 glycine receptor alpha-3
1415176_0:00013b	K01897	435.57	679.5	4e-204 long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]
1415176_0:00013c	K10294	255.6	645.5	1.9e-194 F-box protein 8
1415176_0:00013f	K05012	490.63	1449.3	0 chloride channel 3/4/5
1415176_0:000140	K19202	28.53	357.6	2.1e-107 histone deacetylase complex subunit SAP30
1415176_0:000141	K24473	883.53	4024.9	0 teneurin
1415176_0:000142	K20103	324	1595	0 ATP-dependent RNA helicase DDX60 [EC:5.6.2.7]
1415176_0:000143	K28389	83.6	811.3	9.4e-244 storkhead-box protein
1415176_0:000144	K11539	293.67	476	2.8e-143 carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit [EC:1.1.1.-]
1415176_0:000144	K00059	267.53	274.9	6e-82 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
1415176_0:000145	K17097	372	684.9	1.4e-206 annexin A10
1415176_0:000146	K25616	138.13	441.9	1.1e-132 spermatogenesis-associated protein 4
1415176_0:000147	K16761	135.3	564.1	1.9e-169 centrosomal protein CEP44
1415176_0:000148	K00069	219.8	388.9	1.3e-116 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
1415176_0:000149	K12171	256.33	1026.1	0 E3 ubiquitin-protein ligase SH3RF [EC:2.3.2.27]
1415176_0:00014a	K00710	93.6	693.9	2.1e-208 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
1415176_0:00014b	K11295	383	427.8	1.1e-128 high mobility group protein B2
1415176_0:00014d	K05449	98.67	488.4	1.2e-146 vascular endothelial growth factor C/D
1415176_0:00014e	K20103	324	2214.7	0 ATP-dependent RNA helicase DDX60 [EC:5.6.2.7]
1415176_0:00014f	K01444	267.13	604.1	8e-182 N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
1415176_0:000151	K16685	201.8	1288.2	0 protein KIBRA
1415176_0:000152	K08743	473.87	705.1	3e-212 ectonucleotide pyrophosphatase/phosphodiesterase family member 6 [EC:3.1.4.-]
1415176_0:000154	K22029	1432.83	1978.4	0 palladin
1415176_0:000155	K06087	63.4	207.6	1.4e-61 claudin
1415176_0:000156	K19198	450	550.8	1.1e-165 inhibitor of growth protein 2
1415176_0:000157	K22761	97.5	525.8	9.8e-158 DNA-directed primase/polymerase protein [EC:2.7.7.102 2.7.7.7]
1415176_0:000158	K12948	49.1	361.9	2.2e-108 signal peptidase complex subunit 3 [EC:3.4.-.-]
1415176_0:000159	K08857	495.3	694.9	9.5e-209 serine/threonine-protein kinase Nek1/4/5 [EC:2.7.11.1]
1415176_0:00015a	K10153	339.17	556.9	2.8e-167 interferon regulatory factor 2
1415176_0:00015b	K00825	469.03	783.9	3.9e-236 kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]
1415176_0:00015c	K25408	576.2	702.9	1.5e-211 microfibrillar-associated protein 3-like
1415176_0:00015e	K01493	82.3	268.5	5.5e-80 dCMP deaminase [EC:3.5.4.12]
1415176_0:00015f	K17271	226.83	251.5	5.2e-75 myelin proteolipid protein
1415176_0:000160	K00825	469.03	713.4	9.1e-215 kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]
1415176_0:000161	K18486	216.3	260.6	1.1e-77 heart-and neural crest derivatives-expressed protein 2
1415176_0:000162	K26250	187.93	657.7	5.2e-198 histone PARylation factor 1
1415176_0:000163	K10569	256.9	976.6	5.4e-294 endonuclease VIII-like 3 [EC:3.2.2.- 4.2.99.18]
1415176_0:000164	K02187	399.83	446.3	5.2e-134 caspase 3 [EC:3.4.22.56]
1415176_0:000164	K04397	411.43	419.6	1.1e-125 caspase 7 [EC:3.4.22.60]
1415176_0:000165	K20308	217.3	1402.9	0 trafficking protein particle complex subunit 11
1415176_0:000166	K25735	107.7	202.8	2.4e-60 scrapie-responsive protein 1
1415176_0:000167	K00710	93.6	810.5	1.2e-243 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
1415176_0:000168	K24740	500.13	2494	0 WD repeat-containing protein 17
1415176_0:00016a	K06671	168.4	1881.5	0 cohesin complex subunit SA-1/2
1415176_0:00016b	K07990	154.33	235.6	1.9e-70 SH2 domain-containing protein 1A
