gene_name	KO	thrshld	score	E-value KO definition
13735_0:000071	K16295	347.3	435.5	1.2e-130 lysosomal membrane ascorbate-dependent ferrireductase [EC:7.2.1.3]
13735_0:000073	K00863	479.57	947	3.9e-285 triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
13735_0:000074	K06456	269.4	560.5	3.7e-168 T-cell surface glycoprotein CD6
13735_0:000075	K19926	339.67	1009.7	4.3e-304 zona pellucida sperm-binding protein 1
13735_0:000077	K10610	537.2	1855.2	0 DNA damage-binding protein 1
13735_0:000078	K12617	336.17	681.8	9.9e-205 DNA topoisomerase 2-associated protein PAT1
13735_0:000079	K14615	459.1	631.7	6.9e-190 gastric intrinsic factor
13735_0:00007a	K22190	144.47	229.7	2.5e-68 membrane-spanning 4-domains subfamily A member 3/4/8/12/15/18
13735_0:00007b	K24519	496.73	687.8	2e-206 von Willebrand factor C and EGF domain-containing protein
13735_0:00007c	K24768	330.3	1437.1	0 myelin regulatory factor [EC:3.4.-.-]
13735_0:00007d	K02878	85.03	258.7	4.7e-77 large subunit ribosomal protein L16
13735_0:00007f	K08486	217.47	480.9	2.4e-144 syntaxin 1B/2/3
13735_0:000081	K28411	125.37	313.7	6.2e-94 voltage-gated monoatomic cation channel TMEM109
13735_0:000083	K10599	216.93	899	1e-270 pre-mRNA-processing factor 19 [EC:2.3.2.27]
13735_0:000087	K06002	538.43	671.1	5.8e-202 pepsin A [EC:3.4.23.1]
13735_0:000088	K06002	538.43	703.7	7.2e-212 pepsin A [EC:3.4.23.1]
13735_0:00008a	K17571	66.43	632.6	2.9e-190 protein phosphatase 1 regulatory subunit 32
13735_0:00008c	K06455	168.17	587	2.5e-176 T-cell surface glycoprotein CD5
13735_0:00008d	K06466	143.17	162.3	6.9e-48 B-lymphocyte antigen CD20
13735_0:00008f	K22867	68.97	297.3	5.1e-89 transmembrane protein 138
13735_0:000090	K14398	115.53	495.4	1.7e-148 cleavage and polyadenylation specificity factor subunit 6/7
13735_0:000092	K19926	339.67	1068.1	0 zona pellucida sperm-binding protein 1
13735_0:000093	K04303	362.07	414.3	1.5e-124 proto-oncogene Mas
13735_0:000093	K22793	371.33	388.1	1.7e-116 Mas-related G protein-coupled receptor member H
13735_0:000093	K08396	351.47	385	4.1e-115 Mas-related G protein-coupled receptor member X
13735_0:000093	K08392	333.73	357.2	5.8e-107 Mas-related G protein-coupled receptor member D
13735_0:000094	K13806	113.27	1156.8	0 sn1-specific diacylglycerol lipase [EC:3.1.1.116]
13735_0:000096	K19926	339.67	1083.2	0 zona pellucida sperm-binding protein 1
13735_0:000097	K25741	435.7	557.4	9.3e-168 transcobalamin-1
13735_0:000098	K20456	908.5	1061.7	0 oxysterol-binding protein 1
13735_0:000099	K12185	43.53	177.8	1.7e-52 ESCRT-I complex subunit VPS37
13735_0:00009b	K18168	103.73	164.2	2.1e-48 succinate dehydrogenase assembly factor 2
13735_0:00009c	K19907	437.63	1059.2	0 synaptotagmin-7
13735_0:00009e	K04799	248.83	688.8	2.7e-207 flap endonuclease-1 [EC:3.1.-.-]
13735_0:0000a2	K19926	339.67	781.7	3.8e-235 zona pellucida sperm-binding protein 1
13735_0:0000a3	K17599	227.93	569.6	8.1e-171 transmembrane protein 132
13735_0:0000a4	K19385	173.37	175.5	7.9e-52 transmembrane protein 216
13735_0:0000a7	K19928	151.53	307.3	9.2e-92 zona pellucida sperm-binding protein 3
13735_0:0000a8	K08523	163.23	253.3	1.8e-75 heparin-binding EGF-like growth factor
13735_0:0000a9	K06689	293.4	333.3	1.3e-99 ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]
13735_0:0000ab	K09538	522.53	699.6	2.5e-210 DnaJ homolog subfamily C member 18
13735_0:0000ab	K09518	164.2	389	1.9e-116 DnaJ homolog subfamily B member 12
13735_0:0000ac	K27319	30.2	31.1	1.4e-07 short transmembrane mitochondrial protein 1
13735_0:0000ad	K05456	678.03	1038.7	0 neuregulin 2
13735_0:0000ae	K16726	433.5	3710	0 ankyrin repeat domain-containing protein 17
13735_0:0000b1	K12654	88.43	546.9	2.9e-164 stimulator of interferon genes protein
13735_0:0000b3	K09548	48.93	246.7	6.6e-74 prefoldin subunit 1
13735_0:0000b5	K12494	250.57	982.7	1.4e-295 PH and SEC7 domain-containing protein
13735_0:0000b8	K15273	256.23	460.3	3e-138 solute carrier family 35 (probable UDP-sugar transporter), member A4
13735_0:0000b9	K22760	248.93	437.8	2.8e-131 CXXC-type zinc finger protein 5
13735_0:0000ba	K17599	227.93	1339.9	0 transmembrane protein 132
13735_0:0000bc	K04257	107.23	342.9	1.7e-102 olfactory receptor
13735_0:0000be	K04257	107.23	361.8	3.3e-108 olfactory receptor
13735_0:0000bf	K04257	107.23	343.9	9e-103 olfactory receptor
13735_0:0000c0	K04257	107.23	621.7	5e-187 olfactory receptor
13735_0:0000c1	K04257	107.23	372.5	1.9e-111 olfactory receptor
13735_0:0000c3	K04257	107.23	362.4	2.2e-108 olfactory receptor
13735_0:0000c5	K13209	499.4	1362.1	0 RNA-binding protein EWS
13735_0:0000c8	K10075	210.27	260.6	1.6e-77 killer cell lectin-like receptor subfamily F member 1
13735_0:0000c9	K10075	210.27	329.4	1.8e-98 killer cell lectin-like receptor subfamily F member 1
13735_0:0000c9	K06543	255.27	277	1.5e-82 killer cell lectin-like receptor subfamily B
13735_0:0000cd	K10072	212.27	228	1.1e-67 C-type lectin domain family 2 member D
13735_0:0000d1	K10075	210.27	271.2	9e-81 killer cell lectin-like receptor subfamily F member 1
13735_0:0000d2	K28048	143.07	204.7	9.7e-61 proteolipid protein 2
13735_0:0000d4	K17853	847.13	850.6	1.6e-256 cytochrome P450 family 2 subfamily H
13735_0:0000d7	K14777	577.63	851.4	1.2e-256 ATP-dependent RNA helicase DDX47/RRP3 [EC:5.6.2.7]
13735_0:0000d9	K24642	268.43	407.9	5.7e-122 zinc finger BED domain-containing protein 5/7/8/9
13735_0:0000da	K28078	222.73	439.3	4.9e-132 apolipoprotein L domain-containing protein 1
13735_0:0000db	K26255	210.93	232.9	2e-69 epithelial membrane protein 1
13735_0:0000de	K08468	445.43	602.2	2.4e-181 G protein-coupled receptor family C group 5 member A
13735_0:0000df	K11666	118	391.5	2.5e-117 INO80 complex subunit B
13735_0:0000e0	K09228	360.37	492.5	1.5e-147 KRAB domain-containing zinc finger protein
13735_0:0000e0	K09191	325.1	326.8	2e-97 general transcription factor IIIA
13735_0:0000e4	K04257	107.23	242.1	6.7e-72 olfactory receptor
13735_0:0000e5	K04257	107.23	230	3e-68 olfactory receptor
13735_0:0000e6	K04257	107.23	234.9	9.7e-70 olfactory receptor
13735_0:0000e7	K04257	107.23	249.5	3.8e-74 olfactory receptor
13735_0:0000ed	K12182	159.5	320.5	1.8e-95 hepatocyte growth factor-regulated tyrosine kinase substrate
13735_0:0000f3	K17779	85.5	176.6	3.8e-52 mitochondrial import inner membrane translocase subunit TIM10B
13735_0:0000f5	K02539	149.8	273.8	2.3e-81 myeloid leukemia cell differntiation protein MCL-1
13735_0:0000f6	K15620	49.1	507.1	1.6e-152 golgi phosphoprotein 3
13735_0:0000f7	K01368	518.73	608.5	2.8e-183 cathepsin S [EC:3.4.22.27]
13735_0:0000f8	K01371	531.3	565.2	9e-170 cathepsin K [EC:3.4.22.38]
13735_0:0000f8	K01368	518.73	526.8	1.8e-158 cathepsin S [EC:3.4.22.27]
13735_0:0000f9	K12778	77.83	528.8	1.2e-158 meiosis-specific protein
13735_0:0000fa	K27491	62.03	237.6	8.1e-71 endosulfine family protein
13735_0:0000fb	K08026	589.03	609.6	5.4e-183 one cut domain, family member 1 (hepatocyte nuclear factor 6)
13735_0:0000ff	K11293	335.53	461.8	2.8e-138 protein HIRA/HIR1
13735_0:000101	K02357	109.6	314.8	7.6e-94 elongation factor Ts
13735_0:000103	K03439	59	241.2	1.6e-71 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
13735_0:000104	K17356	130	296.2	2.4e-88 tetraspanin-13/31
13735_0:000106	K21803	251.73	322	2.4e-96 EEF1A lysine methyltransferase 3 [EC:2.1.1.-]
13735_0:000109	K06233	4570.4	6657.3	0 low density lipoprotein-related protein 2
13735_0:00010a	K02133	1069.43	1187.7	0 F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]
13735_0:00010a	K02112	484.7	875.5	1.2e-263 F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
13735_0:00010b	K23619	453.07	1879.1	0 collagen type XXVIII alpha
13735_0:00010c	K28108	161.2	1435.7	0 shortage in chiasmata 1
13735_0:00010c	K15260	582.6	888	3.9e-267 protein mono-ADP-ribosyltransferase 9 [EC:2.4.2.-]
13735_0:00010d	K05017	831.43	1254.2	0 chloride channel Ka
13735_0:00010f	K25100	414.93	2656.4	0 Msx2-interacting protein
13735_0:000110	K09546	104.13	302.3	2.8e-90 heat shock protein beta-7
13735_0:000112	K10500	437.8	1470.5	0 zinc finger and BTB domain-containing protein 17
13735_0:000112	K09228	360.37	432.4	2.2e-129 KRAB domain-containing zinc finger protein
13735_0:000112	K09191	325.1	353.1	2.2e-105 general transcription factor IIIA
13735_0:00011d	K16865	171.23	220.7	2.2e-65 programmed cell death protein 4
13735_0:00011f	K09228	360.37	576.8	4.8e-173 KRAB domain-containing zinc finger protein
13735_0:00011f	K09191	325.1	334.6	8.5e-100 general transcription factor IIIA
13735_0:000120	K09228	360.37	515.7	1.4e-154 KRAB domain-containing zinc finger protein
13735_0:000122	K09228	360.37	1109	0 KRAB domain-containing zinc finger protein
13735_0:000122	K09191	325.1	331	1.1e-98 general transcription factor IIIA
13735_0:000124	K09228	360.37	665.7	6.2e-200 KRAB domain-containing zinc finger protein
13735_0:000125	K04257	107.23	446.1	8.8e-134 olfactory receptor
13735_0:000126	K04257	107.23	471.9	1.3e-141 olfactory receptor
13735_0:000127	K04257	107.23	478.3	1.5e-143 olfactory receptor
13735_0:000129	K04257	107.23	437.9	2.7e-131 olfactory receptor
13735_0:00012a	K04257	107.23	441	3.1e-132 olfactory receptor
13735_0:00012b	K04257	107.23	469.6	6.6e-141 olfactory receptor
13735_0:00012c	K04257	107.23	485.3	1.2e-145 olfactory receptor
13735_0:00012d	K04257	107.23	443.7	4.7e-133 olfactory receptor
13735_0:00012e	K04257	107.23	423.5	6.1e-127 olfactory receptor
13735_0:000130	K04257	107.23	203.7	2.9e-60 olfactory receptor
13735_0:000132	K04257	107.23	160.3	4.1e-47 olfactory receptor
13735_0:000133	K04257	107.23	291	9.8e-87 olfactory receptor
13735_0:000135	K04257	107.23	270.5	1.6e-80 olfactory receptor
13735_0:000136	K04257	107.23	128.7	1.6e-37 olfactory receptor
13735_0:000138	K04257	107.23	268.2	7.9e-80 olfactory receptor
13735_0:000139	K04257	107.23	225.8	5.5e-67 olfactory receptor
13735_0:00013a	K04257	107.23	167	3.8e-49 olfactory receptor
13735_0:00013b	K15715	386.83	447.5	5.4e-134 E3 ubiquitin-protein ligase ZNRF4 [EC:2.3.2.27]
13735_0:00013c	K10638	512.83	740.9	9.7e-223 E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27]
13735_0:00013d	K25092	690.13	1213.7	0 scaffold attachment factor B
13735_0:00013f	K15715	386.83	403.1	1.5e-120 E3 ubiquitin-protein ligase ZNRF4 [EC:2.3.2.27]
13735_0:000140	K15680	227.27	508.7	5.6e-153 corticosteroid 11-beta-dehydrogenase isozyme 1 [EC:1.1.1.146]
13735_0:000141	K08656	1251.93	1545.5	0 dipeptidyl-peptidase 9 [EC:3.4.14.5]
13735_0:000142	K06778	3307.57	3658.3	0 receptor-type tyrosine-protein phosphatase S [EC:3.1.3.48]
13735_0:000143	K06709	412	1657.5	0 [histone H3]-trimethyl-L-lysine9/36 demethylase [EC:1.14.11.66 1.14.11.69]
13735_0:000145	K26390	176.33	374.7	1.4e-112 tumor necrosis factor alpha-induced protein 8
13735_0:000148	K06704	482.8	769.3	2.3e-231 disintegrin and metalloproteinase domain-containing protein 10 [EC:3.4.24.81]
13735_0:000149	K20287	572.83	712.5	2e-214 perilipin-3
13735_0:00014c	K25092	690.13	1233.7	0 scaffold attachment factor B
13735_0:00014f	K10374	470.27	476.7	2.8e-143 tropomyosin 2
13735_0:00014f	K10375	433.73	471.9	8.2e-142 tropomyosin 4
13735_0:000150	K24624	32.07	169.9	4.8e-50 MICOS complex subunit MIC13
13735_0:000151	K05842	269.7	672	8.5e-202 toll-like receptor adapter molecule 1
13735_0:000153	K13907	35.6	190.5	2e-56 cystatin-A/B
13735_0:000154	K04552	228.83	366.6	2.6e-110 ubiquitin-conjugating enzyme E2 L3 [EC:2.3.2.23]
13735_0:000156	K03165	681	1173.2	0 DNA topoisomerase III [EC:5.6.2.1]
13735_0:000157	K19922	1488.97	1801.5	0 peripheral-type benzodiazepine receptor-associated protein 1
13735_0:000158	K03478	111.53	116.5	6.9e-34 chitin disaccharide deacetylase [EC:3.5.1.105]
13735_0:000159	K12852	905.87	1429.4	0 116 kDa U5 small nuclear ribonucleoprotein component
13735_0:00015a	K23731	78.23	390.3	4.2e-117 coiled-coil domain-containing protein 103
13735_0:00015b	K05640	677.4	709.3	2e-213 glial fibrillary acidic protein
13735_0:00015e	K06856	112.53	187	2.4e-55 immunoglobulin heavy chain
13735_0:00015f	K06856	112.53	208	9.6e-62 immunoglobulin heavy chain
13735_0:000160	K21957	726.63	976.8	6.9e-294 pseudokinase FAM20A
13735_0:000161	K04639	618.1	725.2	1e-218 guanine nucleotide-binding protein subunit alpha-13
13735_0:000162	K11728	689.57	3178.6	0 nucleosome-remodeling factor subunit BPTF
13735_0:000164	K02677	1191.6	1267	0 classical protein kinase C alpha type [EC:2.7.11.13]
13735_0:000165	K13765	767.9	977	3e-294 regulator of G-protein signaling 9
13735_0:000165	K16449	156.43	282.6	4.1e-84 regulator of G-protein signaling
13735_0:000166	K04869	517.5	723.8	3.4e-218 voltage-dependent calcium channel gamma-4
13735_0:000167	K12823	690.37	1006.6	8.1e-303 ATP-dependent RNA helicase DDX5/DBP2 [EC:5.6.2.7]
13735_0:000168	K16767	447.43	1805.6	0 centrosomal protein CEP112
13735_0:000169	K25168	1130.73	2242.4	0 helicase with zinc finger domain [EC:5.6.2.-]
13735_0:00016a	K15043	780.33	998.9	7.4e-301 importin subunit alpha-1/8
13735_0:00016b	K04678	847.03	1653.7	0 E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]
13735_0:00016d	K04870	485.03	609.1	1.9e-183 voltage-dependent calcium channel gamma-5
13735_0:000170	K16544	85	1146.8	0 centrosomal protein CEP95
13735_0:000171	K04739	286.17	575.7	4e-173 cAMP-dependent protein kinase regulator
13735_0:000172	K17305	192.63	368.8	2.6e-110 beta-2-glycoprotein 1
13735_0:000173	K06974	39.13	461.6	2.4e-138 archaemetzincin [EC:3.4.-.-]
13735_0:000174	K03035	177.17	770.5	1.3e-231 26S proteasome regulatory subunit N5
13735_0:000176	K12381	545.67	1095.2	0 arylsulfatase G [EC:3.1.6.-]
13735_0:000178	K08183	450.23	885.2	1.3e-266 MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 6
13735_0:000179	K04385	925.33	1500.7	0 axin 2
13735_0:00017a	K04866	305.83	444.8	6.1e-134 voltage-dependent calcium channel gamma-1
13735_0:00017b	K10072	212.27	234	1.6e-69 C-type lectin domain family 2 member D
13735_0:00017c	K10072	212.27	242.6	4e-72 C-type lectin domain family 2 member D
13735_0:00017d	K20792	151.7	1490.9	0 N-alpha-acetyltransferase 15/16, NatA auxiliary subunit
13735_0:00017f	K11345	431.73	463.8	2.2e-139 inhibitor of growth protein 5
13735_0:000180	K08342	77.7	462.1	1e-138 cysteine protease ATG4 [EC:3.4.22.-]
13735_0:000181	K02561	203.1	391.6	1.5e-117 Bcl-2-related ovarian killer protein
13735_0:000182	K08838	468.13	743.2	6.7e-224 serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]
13735_0:000183	K06082	1436.17	1753.3	0 FERM, RhoGEF and pleckstrin domain protein 2
13735_0:000184	K18756	174.73	235.9	5.7e-70 protein bicaudal C
13735_0:000185	K16942	635.33	788	1.2e-237 septin 2
13735_0:000186	K18204	798.4	992.7	6.6e-299 D-2-hydroxyglutarate dehydrogenase [EC:1.1.99.39]
13735_0:000187	K23205	85.67	646	2.3e-194 THAP domain-containing protein 4
13735_0:000188	K09675	536.5	617.6	1.1e-185 galactose-3-O-sulfotransferase 2 [EC:2.8.2.-]
13735_0:000189	K00943	99.73	213.4	3.1e-63 dTMP kinase [EC:2.7.4.9]
13735_0:00018e	K06261	234.77	442.8	1.2e-132 platelet glycoprotein Ib alpha chain
13735_0:000192	K04415	467.6	999.1	3.6e-301 mitogen-activated protein kinase kinase kinase 8 [EC:2.7.11.25]
13735_0:000193	K10369	482.07	2678.2	0 supervillin
13735_0:000194	K24198	244.57	284.6	6.1e-85 sperm acrosome membrane-associated protein 3
13735_0:000194	K25707	247.5	267.8	9.3e-80 lysozyme [EC:3.2.1.17]
13735_0:000194	K13915	186.9	222.1	6.3e-66 lysozyme C [EC:3.2.1.17]
13735_0:000195	K11667	59.1	263.3	9.6e-79 INO80 complex subunit C
13735_0:000196	K18060	432.47	801.6	3.3e-241 poly(A) RNA polymerase, mitochondrial [EC:2.7.7.19]
13735_0:000198	K09299	1050.13	1615	0 zinc finger homeobox protein 1
13735_0:00019b	K21596	117.93	1378	0 calmodulin-binding transcription activator
13735_0:00019d	K14845	71.23	263.8	1.6e-78 RAT1-interacting protein
13735_0:00019e	K08880	54.93	392	2.4e-117 serine/threonine kinase 19 [EC:2.7.11.1]
13735_0:00019f	K09228	360.37	400.3	1.2e-119 KRAB domain-containing zinc finger protein
13735_0:00019f	K09191	325.1	367	1.3e-109 general transcription factor IIIA
13735_0:0001a1	K03907	328.27	479.1	1.8e-143 thrombomodulin
13735_0:0001a5	K11308	542.77	771	3.7e-232 histone acetyltransferase MYST1 [EC:2.3.1.48]
13735_0:0001a6	K01025	345.57	490.3	3.5e-147 sulfotransferase [EC:2.8.2.-]
13735_0:0001a7	K13098	357.67	420.2	1.2e-125 RNA-binding protein FUS
13735_0:0001a8	K24335	172.37	185.2	1.1e-54 protein disulfide-isomerase [EC:5.3.4.1]
13735_0:0001a9	K10072	212.27	241.6	7.8e-72 C-type lectin domain family 2 member D
13735_0:0001aa	K04257	107.23	199.8	4.2e-59 olfactory receptor
13735_0:0001ac	K04257	107.23	157.6	2.7e-46 olfactory receptor
13735_0:0001ae	K15209	110.13	312.2	4.2e-93 snRNA-activating protein complex subunit 2
13735_0:0001af	K03680	247.03	558	1.2e-167 translation initiation factor eIF-2B subunit delta
13735_0:0001b0	K15200	252.07	941.9	2.5e-283 general transcription factor 3C polypeptide 2
13735_0:0001b1	K20287	572.83	683.4	1.3e-205 perilipin-3
13735_0:0001b3	K25065	400.97	832.7	1.3e-250 hepatoma-derived growth factor-related protein 2
13735_0:0001b4	K14011	156.8	586.4	2.5e-176 UBX domain-containing protein 6
13735_0:0001b5	K10750	108.03	779.5	3.4e-234 chromatin assembly factor 1 subunit A
13735_0:0001b6	K20287	572.83	748.3	2.9e-225 perilipin-3
13735_0:0001b7	K25431	278.17	373.9	6.3e-112 leucine-rich alpha-2-glycoprotein
13735_0:0001b9	K11593	438.27	1358.2	0 eukaryotic translation initiation factor 2C
13735_0:0001ba	K11593	438.27	1267.8	0 eukaryotic translation initiation factor 2C
13735_0:0001bb	K11593	438.27	1356.7	0 eukaryotic translation initiation factor 2C
13735_0:0001bc	K25773	257.33	1256.7	0 claspin
13735_0:0001bd	K02935	21.5	177.4	1.8e-52 large subunit ribosomal protein L7/L12
13735_0:0001c0	K26500	430.4	1865.2	0 BOS complex subunit NOMO
13735_0:0001cb	K14850	180.03	346.1	1.9e-103 ribosomal RNA-processing protein 8 [EC:2.1.1.287]
13735_0:0001cc	K11584	121.23	931.2	3.6e-280 serine/threonine-protein phosphatase 2A regulatory subunit B'
13735_0:0001cd	K10842	50.77	583.1	1.8e-175 CDK-activating kinase assembly factor MAT1
13735_0:0001ce	K25484	103.53	217.6	1e-64 glycoprotein hormone beta-5
13735_0:0001cf	K11584	121.23	256.7	3.4e-76 serine/threonine-protein phosphatase 2A regulatory subunit B'
13735_0:0001d0	K19473	385.8	518.7	5.3e-156 homeobox protein SIX3/6
13735_0:0001d1	K24758	212.53	526.2	6.8e-158 WD repeat-containing protein 89
13735_0:0001d2	K15429	176.97	661.7	7.4e-199 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
13735_0:0001d3	K18051	1166.4	1443.2	0 novel protein kinase C eta type [EC:2.7.11.13]
13735_0:0001d4	K04457	685.43	740.4	6.2e-223 protein phosphatase 1A [EC:3.1.3.16]
13735_0:0001d6	K04908	1615.23	1649.4	0 potassium voltage-gated channel Eag-related subfamily H member 5
13735_0:0001d7	K15615	466.67	469.6	1.3e-140 homeobox protein SIX4
13735_0:0001d8	K25705	68	870	1e-261 protein SIX6OS1
13735_0:0001d9	K07864	404.83	449.4	1.4e-135 Ras homolog gene family, member J
13735_0:0001da	K14993	592.63	798.5	9.7e-241 solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 6
13735_0:0001db	K08268	794.03	907.4	5.5e-273 hypoxia-inducible factor 1 alpha
13735_0:0001dc	K15208	41.5	162.9	7.2e-48 snRNA-activating protein complex subunit 1
