"","Gene","Species"
"496","derCor","302602at32523"
"497","derMaw","302602at32523"
"498","emySub","302602at32523"
"499","gopAga","302602at32523"
"500","malTer","302602at32523"
"501","mesTub","302602at32523"
"502","pelCas","302602at32523"
"503","pelSin","302602at32523"
"504","plaMeg","302602at32523"
"505","podExp","302602at32523"
"506","terMex","302602at32523"
"507","carIns","308747at32523"
"508","cheAbi","308747at32523"
"509","cheMyd","308747at32523"
"510","chrPic","308747at32523"
"511","cuoAmb","308747at32523"
"512","cuoMcc","308747at32523"
"513","derCor","308747at32523"
"514","derMaw","308747at32523"
"515","emySub","308747at32523"
"516","mesTub","308747at32523"
"517","pelCas","308747at32523"
"518","pelSin","308747at32523"
"519","plaMeg","308747at32523"
"520","podExp","308747at32523"
"521","terMex","308747at32523"
"522","carIns","34372at32523"
"523","cheAbi","34372at32523"
"524","cheMyd","34372at32523"
"525","cheSer","34372at32523"
"526","chrPic","34372at32523"
"527","derCor","34372at32523"
"528","derMaw","34372at32523"
"529","emySub","34372at32523"
"530","gopAga","34372at32523"
"531","malTer","34372at32523"
"532","mesTub","34372at32523"
"533","pelCas","34372at32523"
"534","pelSin","34372at32523"
"535","plaMeg","34372at32523"
"536","podExp","34372at32523"
"537","terMex","34372at32523"
"538","cheAbi","44174at32523"
"539","cuoAmb","44174at32523"
"540","cuoMcc","44174at32523"
"541","derMaw","44174at32523"
"542","pelCas","44174at32523"
"543","pelSin","44174at32523"
"544","plaMeg","44174at32523"
"545","cheAbi","48547at32523"
"546","cheMyd","48547at32523"
"547","cheSer","48547at32523"
"548","chrPic","48547at32523"
"549","cuoAmb","48547at32523"
"550","cuoMcc","48547at32523"
"551","derMaw","48547at32523"
"552","emySub","48547at32523"
"553","gopAga","48547at32523"
"554","malTer","48547at32523"
"555","mesTub","48547at32523"
"556","pelCas","48547at32523"
"557","pelSin","48547at32523"
"558","plaMeg","48547at32523"
"559","podExp","48547at32523"
"560","cheMyd","53009at32523"
"561","gopAga","53009at32523"
"562","mesTub","53009at32523"
"563","pelSin","53009at32523"
"564","carIns","53386at32523"
"565","cheAbi","53386at32523"
"566","cheMyd","53386at32523"
"567","cheSer","53386at32523"
"568","chrPic","53386at32523"
"569","cuoAmb","53386at32523"
"570","cuoMcc","53386at32523"
"571","derCor","53386at32523"
"572","derMaw","53386at32523"
"573","emySub","53386at32523"
"574","gopAga","53386at32523"
"575","malTer","53386at32523"
"576","mesTub","53386at32523"
"577","pelCas","53386at32523"
"578","pelSin","53386at32523"
"579","plaMeg","53386at32523"
"580","podExp","53386at32523"
"581","cheAbi","69006at32523"
"582","cheSer","69006at32523"
"583","chrPic","69006at32523"
"584","terMex","69006at32523"
"585","carIns","73843at32523"
"586","cheAbi","73843at32523"
"587","cheMyd","73843at32523"
"588","cheSer","73843at32523"
"589","chrPic","73843at32523"
"590","cuoAmb","73843at32523"
"591","cuoMcc","73843at32523"
"592","derMaw","73843at32523"
"593","emySub","73843at32523"
"594","gopAga","73843at32523"
"595","malTer","73843at32523"
"596","mesTub","73843at32523"
"597","pelCas","73843at32523"
"598","pelSin","73843at32523"
"599","plaMeg","73843at32523"
"600","podExp","73843at32523"
"601","derCor","74571at32523"
"602","derMaw","74571at32523"
"603","emySub","74571at32523"
"604","carIns","82692at32523"
"605","cheAbi","82692at32523"
"606","cheMyd","82692at32523"
"607","cheSer","82692at32523"
"608","chrPic","82692at32523"
"609","cuoAmb","82692at32523"
"610","cuoMcc","82692at32523"
"611","derCor","82692at32523"
"612","derMaw","82692at32523"
"613","emySub","82692at32523"
"614","gopAga","82692at32523"
"615","malTer","82692at32523"
"616","mesTub","82692at32523"
"617","pelCas","82692at32523"
"618","pelSin","82692at32523"
"619","plaMeg","82692at32523"
"620","podExp","82692at32523"
"621","terMex","82692at32523"
"622","emySub","83777at32523"
"623","malTer","83777at32523"
"624","pelSin","83777at32523"
"625","podExp","83777at32523"
"626","derCor","92893at32523"
"627","gopAga","92893at32523"
"628","carIns","93628at32523"
"629","cheMyd","93628at32523"
"630","chrPic","93628at32523"
"631","cuoAmb","93628at32523"
"632","cuoMcc","93628at32523"
"633","derMaw","93628at32523"
"634","emySub","93628at32523"
"635","gopAga","93628at32523"
"636","malTer","93628at32523"
"637","mesTub","93628at32523"
"638","pelCas","93628at32523"
"639","pelSin","93628at32523"
"640","plaMeg","93628at32523"
"641","podExp","93628at32523"
"642","terMex","93628at32523"
